Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q212,alias,language,en-gb,The Ukraine,,,
Q212,alias,language,pam,Ukraine,,,
Q212,alias,language,en,UA,,,
Q212,alias,language,en,UKR,,,
,,,,,,,
Q212,description,language,en,country in Eastern Europe,,,
Q212,description,language,de,Staat in Osteuropa,,,
Q212,description,language,nl,land in Oost-Europa met hoofdstad Kiev,,,
Q212,description,language,it,stato dell'Europa orientale,,,
Q212,description,language,pl,państwo w Europie Wschodniej,,,
Q212,description,language,es,país de Europa,,,
Q212,description,language,nb,land i Øst-Europa,,,
Q212,description,language,en-gb,Country in Eastern Europe,,,
Q212,description,language,fr,pays d'Europe continentale,,,
Q212,description,language,ko,동유럽의 국가,,,
Q212,description,language,ru,страна в Европе,,,
Q212,description,language,fi,valtio Itä-Euroopassa,,,
Q212,description,language,ilo,pagilian idiay Europa,,,
Q212,description,language,hu,állam Kelet-Európában,,,
Q212,description,language,uk,держава у Східній Європі,,,
Q212,description,language,pt-br,país da Europa,,,
Q212,description,language,sr-ec,држава у источној Европи,,,
Q212,description,language,sr,држава у источној Европи,,,
Q212,description,language,sr-el,država u istočnoj Evropi,,,
Q212,description,language,ja,ヨーロッパの国家,,,
Q212,description,language,cs,stát ve východní Evropě,,,
Q212,description,language,sl,država v Vzhodni Evropi,,,
Q212,description,language,el,χώρα στην Ανατολική Ευρώπη,,,
Q212,description,language,roa-tara,State de l'Europe oriendale,,,
Q212,description,language,hr,država u istocčnoj Evropi,,,
Q212,description,language,kaa,Работягова Ирина Корнеевна 1909,,,
Q212,description,language,gl,país de Europa,,,
,,,,,,,
Q212,label,language,en,Ukraine,,,
Q212,label,language,ru,Украина,,,
Q212,label,language,de,Ukraine,,,
Q212,label,language,fr,Ukraine,,,
Q212,label,language,nl,Oekraïne,,,
Q212,label,language,it,Ucraina,,,
Q212,label,language,nb,Ukraina,,,
Q212,label,language,eo,Ukrainio,,,
Q212,label,language,pl,Ukraina,,,
Q212,label,language,es,Ucrania,,,
Q212,label,language,en-gb,Ukraine,,,
Q212,label,language,pam,Ukranya,,,
Q212,label,language,en-ca,Ukraine,,,
Q212,label,language,mk,Украина,,,
Q212,label,language,sw,Ukraine,,,
Q212,label,language,ab,Украина,,,
Q212,label,language,ace,Ukraina,,,
Q212,label,language,af,Oekraïne,,,
Q212,label,language,gsw,Ukraine,,,
Q212,label,language,am,ዩክሬን,,,
Q212,label,language,an,Ucraína,,,
Q212,label,language,ang,Ucræȝna,,,
Q212,label,language,ar,أوكرانيا,,,
Q212,label,language,arc,ܐܘܩܪܐܝܢܐ,,,
Q212,label,language,arz,اوكرانيا,,,
Q212,label,language,ast,Ucraína,,,
Q212,label,language,bar,Ukraine,,,
Q212,label,language,az,Ukrayna,,,
Q212,label,language,bcl,Ukranya,,,
Q212,label,language,be,Украіна,,,
Q212,label,language,be-tarask,Украіна,,,
Q212,label,language,bg,Украйна,,,
Q212,label,language,bi,Ukraine,,,
Q212,label,language,bn,ইউক্রেন,,,
Q212,label,language,bo,ཨུཀ་རཡི་ནི།,,,
Q212,label,language,bpy,ইউক্রেন,,,
Q212,label,language,br,Ukraina,,,
Q212,label,language,bs,Ukrajina,,,
Q212,label,language,bxr,Украйн,,,
Q212,label,language,yue,烏克蘭,,,
Q212,label,language,zh,乌克兰,,,
Q212,label,language,zea,Oekraïne,,,
Q212,label,language,ca,Ucraïna,,,
Q212,label,language,cbk-zam,Ukrania,,,
Q212,label,language,cdo,Ŭ-káik-làng,,,
Q212,label,language,ce,Украина,,,
Q212,label,language,ceb,Ukraine,,,
