Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q126125,label,language,fa,,سنت مارتین فرانسه,,,
Q126125,label,language,mr,,सेंट मार्टिन,,,
Q126125,label,language,ur,,سینٹ مارٹن,,,
Q126125,label,language,ka,,სენ-მარტენი,,,
Q126125,label,language,lt,,San Martenas,,,
Q126125,label,language,be,,Сен-Мартэн,,,
Q126125,label,language,nb,,Saint-Martin,,,
Q126125,label,language,sr,,Свети Мартин,,,
Q126125,label,language,zh,,法屬聖馬丁,,,
Q126125,label,language,he,,סן מרטן,,,
Q126125,label,language,yue,,法屬聖馬丁,,,
Q126125,label,language,sv,,Saint Martin,,,
Q126125,label,language,gl,,Saint-Martin,,,
Q126125,label,language,is,,Saint-Martin,,,
Q126125,label,language,sw,,Saint Martin,,,
Q126125,label,language,fy,,Sint-Marten,,,
Q126125,label,language,gag,,Sent Martin,,,
Q126125,label,language,ne,,सेन्ट मार्टिन,,,
,,,,,,,,
Q126125,claim,P1036,string,1,2--7297,deprecated,,
Q126125,claim,P17,wikibase-item,1,142,normal,,
Q126125,claim,P31,wikibase-item,1,719487,normal,,
Q126125,claim,P297,string,1,MF,normal,,
Q126125,claim,P298,string,1,MAF,normal,,
Q126125,claim,P299,string,1,663,normal,,
Q126125,claim,P300,string,1,FR-MF,normal,,
Q126125,claim,P373,string,1,Saint Martin (France),normal,,
Q126125,claim,P41,commonsMedia,1,Flag of France.svg,normal,,
Q126125,claim,P242,commonsMedia,1,Saint Martin in its region.svg,normal,,
Q126125,claim,P242,commonsMedia,2,Saint Martin-CIA WFB Map.png,normal,,
Q126125,claim,P36,wikibase-item,1,200605,normal,,
Q126125,claim,P30,wikibase-item,1,49,normal,,
Q126125,claim,P78,wikibase-item,1,160295,normal,,
Q126125,claim,P625,latitude,1,18.075277777778,normal,,
Q126125,claim,P625,longitude,1,-63.06,normal,,
Q126125,claim,P706,wikibase-item,1,664609,normal,,
Q126125,claim,P85,wikibase-item,1,41180,normal,,
Q126125,claim,P610,wikibase-item,1,5919800,normal,,
Q126125,claim,P47,wikibase-item,1,26273,normal,,
Q126125,claim,P163,wikibase-item,1,1064696,normal,,
Q126125,claim,P237,wikibase-item,1,1511666,normal,,
Q126125,claim,P38,wikibase-item,1,4916,normal,,
Q126125,claim,P474,string,1,+590,normal,,
Q126125,claim,P910,wikibase-item,1,8858682,normal,,
Q126125,claim,P646,string,1,/m/02phy_9,normal,,
Q126125,claim,P901,string,1,RN,normal,,
Q126125,claim,P982,string,1,cf9b9b79-1ebc-3b62-9e86-7cf03fb7d548,normal,,
Q126125,claim,P1151,wikibase-item,1,15643952,normal,,
Q126125,claim,P1566,string,1,3578421,normal,,
Q126125,claim,P131,wikibase-item,1,142,normal,,
Q126125,claim,P1464,wikibase-item,1,13336122,normal,,
Q126125,claim,P1465,wikibase-item,1,17477257,normal,,
Q126125,claim,P948,commonsMedia,1,Saint Martin-banner.jpg,normal,,
,,,,,,,,
Q126125,sitelink,site,afwiki,,Saint-Martin,,,
Q126125,sitelink,site,alswiki,,Saint-Martin (Insel),,,
Q126125,sitelink,site,anwiki,,Saint-Martin,,,
Q126125,sitelink,site,arwiki,,تجمع سان مارتين,,,
Q126125,sitelink,site,azwiki,,Sen-Marten,,,
Q126125,sitelink,site,be_x_oldwiki,,Сэн-Мартэн,,,
Q126125,sitelink,site,bewiki,,"Сен-Мартэн, Францыя",,,
Q126125,sitelink,site,bgwiki,,Сен Мартен (Френски Антилски острови),,,
Q126125,sitelink,site,brwiki,,Saint-Martin (Antilhez),,,
Q126125,sitelink,site,bswiki,,Sveti Martin (Francuska),,,
Q126125,sitelink,site,cawiki,,Saint-Martin (Antilles Franceses),,,
Q126125,sitelink,site,commonswiki,,Saint Martin (France),,,
Q126125,sitelink,site,cswiki,,Svatý Martin (francouzská část),,,
Q126125,sitelink,site,dawiki,,Saint-Martin,,,
Q126125,sitelink,site,dewiki,,Saint-Martin (Gebietskörperschaft),,,
Q126125,sitelink,site,dewikivoyage,,Saint-Martin (Gebietskörperschaft),,,
Q126125,sitelink,site,elwiki,,Άγιος Μαρτίνος (Γαλλία),,,
Q126125,sitelink,site,enwiki,,Collectivity of Saint Martin,,,
Q126125,sitelink,site,eowiki,,Saint-Martin,,,
Q126125,sitelink,site,eswiki,,San Martín (Francia),,,
Q126125,sitelink,site,eswikivoyage,,Saint-Martin,,,
Q126125,sitelink,site,etwiki,,Saint-Martin,,,
Q126125,sitelink,site,euwiki,,Saint Martin,,,
Q126125,sitelink,site,fawiki,,سنت مارتین فرانسه,,,
Q126125,sitelink,site,fiwiki,,Saint-Martin (Ranska),,,
Q126125,sitelink,site,frwiki,,Saint-Martin (Antilles françaises),,,
Q126125,sitelink,site,gagwiki,,Sent Martin,,,
Q126125,sitelink,site,glwiki,,"San Martín, Francia",,,
Q126125,sitelink,site,hewiki,,סן מרטן,,,
Q126125,sitelink,site,huwiki,,Saint-Martin,,,
Q126125,sitelink,site,hywiki,,Սեն Մարտեն (Ֆրանսիա),,,
Q126125,sitelink,site,idwiki,,Saint Martin (Perancis),,,
Q126125,sitelink,site,iswiki,,Saint-Martin,,,
Q126125,sitelink,site,itwiki,,Saint-Martin (Francia),,,
Q126125,sitelink,site,jawiki,,サン・マルタン (西インド諸島),,,
Q126125,sitelink,site,kawiki,,სენ-მარტენი,,,
Q126125,sitelink,site,kowiki,,생마르탱,,,
Q126125,sitelink,site,liwiki,,Sint Maarten (Frans),,,
Q126125,sitelink,site,lmowiki,,Saint-Martin (Francia),,,
Q126125,sitelink,site,ltwiki,,Sen Martenas,,,
Q126125,sitelink,site,lvwiki,,Senmartēna,,,
Q126125,sitelink,site,mkwiki,,Свети Мартин (Франција),,,
Q126125,sitelink,site,mrwiki,,सेंट मार्टिन,,,
Q126125,sitelink,site,nlwiki,,Sint-Maarten (Franse Antillen),,,
Q126125,sitelink,site,nnwiki,,Saint-Martin,,,
Q126125,sitelink,site,nowiki,,Saint-Martin,,,
Q126125,sitelink,site,ocwiki,,Collectivitat de Sant Martin,,,
Q126125,sitelink,site,oswiki,,Сен-Мартен (Франц),,,
Q126125,sitelink,site,plwiki,,Saint-Martin,,,
Q126125,sitelink,site,pmswiki,,"Saint-Martin (Fransa, Antile)",,,
Q126125,sitelink,site,pnbwiki,,سنٹ مارٹن,,,
Q126125,sitelink,site,ptwiki,,São Martinho (França),,,
Q126125,sitelink,site,rowiki,,Saint-Martin (Franța),,,
Q126125,sitelink,site,ruwiki,,Сен-Мартен (владение Франции),,,
Q126125,sitelink,site,shwiki,,"Saint-Martin, Francuska",,,
Q126125,sitelink,site,simplewiki,,Saint Martin (France),,,
Q126125,sitelink,site,srwiki,,Свети Мартин (Француска),,,
Q126125,sitelink,site,suwiki,,Saint-Martin,,,
Q126125,sitelink,site,swwiki,,Saint Martin,,,
Q126125,sitelink,site,tlwiki,,San Martin (Pransiya),,,
Q126125,sitelink,site,trwiki,,Saint Martin (Fransa),,,
Q126125,sitelink,site,ukwiki,,Сен-Мартен (Франція),,,
Q126125,sitelink,site,urwiki,,سینٹ مارٹن (فرانس),,,
Q126125,sitelink,site,viwiki,,Saint-Martin,,,
Q126125,sitelink,site,warwiki,,Saint Martin (Fransya),,,
Q126125,sitelink,site,yowiki,,Ìkólẹ̀jọ Saint Martin,,,
Q126125,sitelink,site,zh_yuewiki,,法屬聖馬丁,,,
Q126125,sitelink,site,zhwiki,,法屬聖馬丁,,,
