"ISO Country Code","English Country Name","French Country Name","Date of Membership"
"MLT","Malta","Malte","1976-12-28 00:00:00"
"MRT","Mauritania","Mauritanie","1962-01-23 00:00:00"
"MUS","Mauritius","Maurice","1969-07-17 00:00:00"
"MEX","Mexico","Mexique","1949-05-27 00:00:00"
"FSM","Micronesia, Federated States of","Micronésie, Etats fédérés de","1995-09-20 00:00:00"
"MCO","Monaco","Monaco","1996-04-09 00:00:00"
"MNG","Mongolia","Mongolie","1963-04-04 00:00:00"
"MNE","Montenegro","Monténégro","2007-01-05 00:00:00"
"MAR","Morocco","Maroc","1957-01-03 00:00:00"
"MOZ","Mozambique","Mozambique","1976-06-21 00:00:00"
"MMR","Myanmar","Myanmar","1949-08-19 00:00:00"
"NAM","Namibia","Namibie","1991-02-06 00:00:00"
"NPL","Nepal","Népal","1966-08-12 00:00:00"
"NLD","Netherlands","Pays-Bas","1951-09-12 00:00:00"
"NZL","New Zealand","Nouvelle-Zélande","1948-04-02 00:00:00"
"NIC","Nicaragua","Nicaragua","1959-02-27 00:00:00"
"NER","Niger","Niger","1960-10-28 00:00:00"
"NGA","Nigeria","Nigéria","1960-11-30 00:00:00"
"NIU","Niue","Nioué","1996-05-31 00:00:00"
"NOR","Norway","Norvège","1948-12-09 00:00:00"
"OMN","Oman","Oman","1975-01-03 00:00:00"
"PAK","Pakistan","Pakistan","1950-04-11 00:00:00"
"PAN","Panama","Panama","1967-09-12 00:00:00"
"PNG","Papua New Guinea","Papouasie-Nouvelle-Guinée","1975-12-15 00:00:00"
"PRY","Paraguay","Paraguay","1950-09-15 00:00:00"
"PER","Peru","Pérou","1949-12-30 00:00:00"
"PHL","Philippines","Philippines","1949-04-05 00:00:00"
"POL","Poland","Pologne","1950-05-16 00:00:00"
"PRT","Portugal","Portugal","1951-01-15 00:00:00"
"QAT","Qatar","Qatar","1975-04-04 00:00:00"
"KOR","Republic of Korea","République de Corée","1956-02-15 00:00:00"
"MDA","Republic of Moldova","République de Moldova","1994-11-21 00:00:00"
"ROU","Romania","Roumanie","1948-08-18 00:00:00"
"RUS","Russian Federation","Fédération de Russie","1948-04-02 00:00:00"
"RWA","Rwanda","Rwanda","1963-02-04 00:00:00"
"LCA","Saint Lucia","Sainte-Lucie","1981-03-02 00:00:00"
"WSM","Samoa","Samoa","1995-07-11 00:00:00"
"STP","Sao Tome and Principe","Sao Tomé-et-Principe","1976-11-23 00:00:00"
"SAU","Saudi Arabia","Arabie saoudite","1959-02-26 00:00:00"
"SEN","Senegal","Sénégal","1960-11-11 00:00:00"
"SRB","Serbia","Serbie","2001-03-23 00:00:00"
"SYC","Seychelles","Seychelles","1977-02-15 00:00:00"
"SLE","Sierra Leone","Sierra Leone","1962-03-30 00:00:00"
"SGP","Singapore","Singapour","1966-01-24 00:00:00"
"SVK","Slovakia","Slovaquie","1993-02-11 00:00:00"
"SVN","Slovenia","Slovénie","1992-08-20 00:00:00"
"SLB","Solomon Islands","Iles Salomon","1985-05-06 00:00:00"
"SOM","Somalia","Somalie","1964-03-02 00:00:00"
"ZAF","South Africa","Afrique du Sud","1950-01-17 00:00:00"
"SSD","South Sudan","Soudan du Sud","2012-12-14 00:00:00"
"ESP","Spain","Espagne","1951-02-27 00:00:00"
"LKA","Sri Lanka","Sri Lanka","1951-05-23 00:00:00"
"SDN","Sudan","Soudan","1956-12-03 00:00:00"
"SUR","Suriname","Suriname","1976-07-26 00:00:00"
"SWZ","Swaziland","Swaziland","1982-11-02 00:00:00"
"SWE","Sweden","Suède","1948-11-10 00:00:00"
"CHE","Switzerland","Suisse","1949-02-23 00:00:00"
"SYR","Syrian Arab Republic","République arabe syrienne","1952-07-16 00:00:00"
"TJK","Tajikistan","Tadjikistan","1993-08-10 00:00:00"
"THA","Thailand","Thaïlande","1949-07-11 00:00:00"
"MKD","The former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine","1993-06-01 00:00:00"
"TLS","Timor-Leste","Timor-Leste","2009-12-04 00:00:00"
"TGO","Togo","Togo","1960-10-28 00:00:00"
"TON","Tonga","Tonga","1996-02-25 00:00:00"
"TTO","Trinidad and Tobago","Trinité-et-Tobago","1963-02-01 00:00:00"
"TUN","Tunisia","Tunisie","1957-01-22 00:00:00"
"TUR","Turkey","Turquie","1949-08-05 00:00:00"
"TKM","Turkmenistan","Turkménistan","1992-12-04 00:00:00"
"TUV","Tuvalu","Tuvalu","2012-09-22 00:00:00"
"UGA","Uganda","Ouganda","1963-03-15 00:00:00"
"UKR","Ukraine","Ukraine","1948-04-12 00:00:00"
"ARE","United Arab Emirates","Emirats Arabes Unis","1986-12-17 00:00:00"
"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","1948-12-14 00:00:00"
"TZA","United Republic of Tanzania","République-Unie de Tanzanie","1962-09-14 00:00:00"
"USA","United States of America","Etats-Unis d'Amérique","1949-05-04 00:00:00"
"URY","Uruguay","Uruguay","1951-01-11 00:00:00"
"UZB","Uzbekistan","Ouzbékistan","1992-12-23 00:00:00"
"VUT","Vanuatu","Vanuatu","1982-06-24 00:00:00"
"VEN","Venezuela, Bolivarian Republic of","Venezuela, République bolivarienne du","1950-06-16 00:00:00"
"VNM","Viet Nam","Viet Nam","1975-07-08 00:00:00"
"YEM","Yemen","Yémen","1971-07-08 00:00:00"
"ZMB","Zambia","Zambie","1964-12-28 00:00:00"
"ZWE","Zimbabwe","Zimbabwe","1981-01-12 00:00:00"
