Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q813,alias,language,de,1,Kirgisien,,,
Q813,alias,language,de,2,Kirgistan,,,
Q813,alias,language,be-tarask,1,Кыргыская Рэспубліка,,,
Q813,alias,language,be-tarask,2,Кіргістан,,,
Q813,alias,language,be-tarask,3,Кыргызстан,,,
Q813,alias,language,be-tarask,4,Кіргізія,,,
Q813,alias,language,sgs,1,Kirgizija,,,
Q813,alias,language,sgs,2,Kirgėzėja,,,
Q813,alias,language,es,1,República Kirguisa,,,
Q813,alias,language,es,2,Kirguizistán,,,
Q813,alias,language,es,3,Kirguisia,,,
Q813,alias,language,pam,1,Kyrgyzstan,,,
Q813,alias,language,ko,1,키르기스,,,
Q813,alias,language,ru,1,Киргизская Республика,,,
Q813,alias,language,ru,2,Кыргызская Республика,,,
Q813,alias,language,ru,3,Кыргызстан,,,
Q813,alias,language,zh,1,吉尔吉斯共和国,,,
Q813,alias,language,zh-hans,1,吉尔吉斯共和国,,,
Q813,alias,language,zh-hant,1,吉爾吉斯共和國,,,
Q813,alias,language,zh-cn,1,吉尔吉斯共和国,,,
Q813,alias,language,zh-sg,1,吉尔吉斯共和国,,,
Q813,alias,language,zh-my,1,吉尔吉斯共和国,,,
Q813,alias,language,zh-hk,1,吉爾吉斯共和國,,,
Q813,alias,language,zh-tw,1,吉爾吉斯共和國,,,
Q813,alias,language,zh-mo,1,吉爾吉斯共和國,,,
Q813,alias,language,en,1,Kyrgyz Republic,,,
Q813,alias,language,en,2,kg,,,
Q813,alias,language,pt-br,1,Quirguizistão,,,
Q813,alias,language,pt-br,2,Quirguízia,,,
Q813,alias,language,pt-br,3,República Quirguiz,,,
Q813,alias,language,hu,1,Kirgiz Köztársaság,,,
Q813,alias,language,fr,1,Kirghizie,,,
Q813,alias,language,fr,2,Kirghizstan,,,
Q813,alias,language,eo,1,Kirgizujo,,,
,,,,,,,,
Q813,description,language,en,,country in Asia,,,
Q813,description,language,it,,Stato dell'Asia centrale,,,
Q813,description,language,de,,Staat in Zentralasien,,,
Q813,description,language,es,,país de Asia,,,
Q813,description,language,fr,,pays d'Asie centrale - ancien membre de l'Union soviétique,,,
Q813,description,language,ru,,страна в Азии,,,
Q813,description,language,zh,,中亚国家,,,
Q813,description,language,zh-hans,,中亚国家,,,
Q813,description,language,zh-hant,,中亞國家,,,
Q813,description,language,zh-cn,,中亚国家,,,
Q813,description,language,zh-sg,,中亚国家,,,
Q813,description,language,zh-my,,中亚国家,,,
Q813,description,language,zh-hk,,中亞國家,,,
Q813,description,language,zh-tw,,中亞國家,,,
Q813,description,language,zh-mo,,中亞國家,,,
Q813,description,language,ilo,,pagilian idiay Asia,,,
Q813,description,language,nb,,land i Sentral-Asia,,,
Q813,description,language,pt-br,,país da Ásia,,,
Q813,description,language,en-gb,,country in Asia,,,
Q813,description,language,ja,,中央アジアに位置する国家,,,
Q813,description,language,sr,,држава у средњој Азији,,,
Q813,description,language,sr-ec,,држава у средњој Азији,,,
Q813,description,language,sr-el,,država u srednjoj Aziji,,,
Q813,description,language,sv,,land i Asien,,,
Q813,description,language,hu,,állam Közép-Ázsiában,,,
Q813,description,language,uk,,держава в Середній Азії,,,
Q813,description,language,he,,Kiribati,,,
Q813,description,language,nl,,land in Azië,,,
,,,,,,,,
Q813,label,language,en,,Kyrgyzstan,,,
Q813,label,language,it,,Kirghizistan,,,
Q813,label,language,fr,,Kirghizistan,,,
Q813,label,language,de,,Kirgisistan,,,
Q813,label,language,es,,Kirguistán,,,
Q813,label,language,be-tarask,,Кыргыстан,,,
Q813,label,language,yue,,吉爾吉斯,,,
Q813,label,language,sgs,,Kirkizėjė,,,
Q813,label,language,rup,,Kirghistan,,,
Q813,label,language,nan,,Kyrgyzstan,,,
Q813,label,language,vro,,Kõrgõstan,,,
Q813,label,language,pam,,Kirgistan,,,
Q813,label,language,ko,,키르기스스탄,,,
Q813,label,language,nl,,Kirgizië,,,
Q813,label,language,ab,,Ҟырҕызсҭан,,,
Q813,label,language,ace,,Kyrgyzstan,,,
Q813,label,language,af,,Kirgisië,,,
Q813,label,language,am,,ኪርጊዝስታን,,,
Q813,label,language,an,,Kirguizistán,,,
Q813,label,language,ar,,قرغيزستان,,,
Q813,label,language,arc,,ܩܝܪܓܝܙܣܛܐܢ,,,
Q813,label,language,arz,,كيرجيزستان,,,
Q813,label,language,ast,,Kirguistán,,,
Q813,label,language,az,,Qırğızıstan,,,
Q813,label,language,ba,,Ҡырғыҙстан,,,
Q813,label,language,bar,,Kirgisistan,,,
Q813,label,language,bcl,,Kirgistan,,,
Q813,label,language,be,,Кыргызстан,,,
Q813,label,language,bg,,Киргизстан,,,
Q813,label,language,bn,,কিরগিজিস্তান,,,
Q813,label,language,bo,,ཀེ་རེ་གེཛུ་སུཏེན།,,,
Q813,label,language,bpy,,কিরগিজিস্তান,,,
Q813,label,language,br,,Kirgizstan,,,
Q813,label,language,bs,,Kirgistan,,,
Q813,label,language,bxr,,Кыргызстан,,,
Q813,label,language,ca,,Kirguizistan,,,
Q813,label,language,ce,,Киргизи,,,
Q813,label,language,ceb,,Kyrgyzstan,,,
Q813,label,language,chr,,ᎬᎩᏍᏔᏂ,,,
Q813,label,language,ckb,,قرغیزستان,,,
Q813,label,language,cs,,Kyrgyzstán,,,
Q813,label,language,csb,,Kirgistan,,,
Q813,label,language,cv,,Киргизи,,,
Q813,label,language,cy,,Kyrgyzstan,,,
Q813,label,language,da,,Kirgisistan,,,
Q813,label,language,diq,,Qırğızıstan,,,
Q813,label,language,dsb,,Kirgiziska,,,
Q813,label,language,dv,,ކިރިގިސްތާން,,,
Q813,label,language,ee,,Kyrgyzstan,,,
Q813,label,language,el,,Κιργιζία,,,
Q813,label,language,eo,,Kirgizio,,,
Q813,label,language,et,,Kõrgõzstan,,,
Q813,label,language,eu,,Kirgizistan,,,
Q813,label,language,ext,,Quirguistán,,,
Q813,label,language,fa,,قرقیزستان,,,
Q813,label,language,fi,,Kirgisia,,,
Q813,label,language,frp,,Kirguizistan,,,
Q813,label,language,fy,,Kirgyzje,,,
Q813,label,language,ga,,An Chirgeastáin,,,
Q813,label,language,gag,,Kırgızstan,,,
Q813,label,language,gd,,Cìorgastan,,,
Q813,label,language,gl,,Quirguicistán - Кыргыз Республикасы,,,
Q813,label,language,gu,,કીરગીઝસ્તાન,,,
Q813,label,language,gv,,Yn Chyrgistaan,,,
Q813,label,language,hak,,Kit-ngí-kit-sṳ̂-thán,,,
Q813,label,language,haw,,Kaikikana,,,
Q813,label,language,he,,קירגיזסטן,,,
Q813,label,language,hi,,किर्गिज़स्तान,,,
Q813,label,language,hif,,Kyrgyzstan,,,
Q813,label,language,hr,,Kirgistan,,,
Q813,label,language,hsb,,Kirgizistan,,,
Q813,label,language,ht,,Kirgistan,,,
Q813,label,language,hu,,Kirgizisztán,,,
Q813,label,language,hy,,Ղրղզստան,,,
Q813,label,language,ia,,Kyrgyzistan,,,
Q813,label,language,id,,Kirgizstan,,,
Q813,label,language,ie,,Kirgizistan,,,
Q813,label,language,ilo,,Kirgistan,,,
Q813,label,language,io,,Kirgizistan,,,
Q813,label,language,is,,Kirgisistan,,,
Q813,label,language,ja,,キルギス,,,
Q813,label,language,jv,,Kirgizstan,,,
Q813,label,language,ka,,ყირგიზეთი,,,
Q813,label,language,kaa,,Qırg'ızstan,,,
Q813,label,language,kab,,Kirgizistan,,,
Q813,label,language,kk,,Қырғызстан,,,
Q813,label,language,km,,កៀហ៊្សីស៊ីស្ថាន,,,
Q813,label,language,kn,,ಕಿರ್ಗಿಸ್ಥಾನ್,,,
Q813,label,language,ku,,Qirgizistan,,,
Q813,label,language,kv,,Кыргызстан,,,
Q813,label,language,kw,,Pow Kyrgys,,,
Q813,label,language,ky,,Кыргызстан,,,
Q813,label,language,la,,Chirgisia,,,
Q813,label,language,lb,,Kirgisistan,,,
Q813,label,language,li,,Kirgizië,,,
Q813,label,language,lij,,Kirghizistan,,,
Q813,label,language,lmo,,Kirghizistan,,,
Q813,label,language,ln,,Kirghizistáni,,,
Q813,label,language,lt,,Kirgizija,,,
Q813,label,language,lv,,Kirgizstāna,,,
Q813,label,language,mdf,,Киргиз мастор,,,
Q813,label,language,mhr,,Кыргызстан,,,
Q813,label,language,mk,,Киргистан,,,
Q813,label,language,ml,,കിർഗ്ഗിസ്ഥാൻ,,,
Q813,label,language,mn,,Кыргызстан,,,
Q813,label,language,mr,,किर्गिझस्तान,,,
Q813,label,language,ms,,Kyrgyzstan,,,
Q813,label,language,my,,ကာဂျစ္စတန်နိုင်ငံ,,,
Q813,label,language,mzn,,قرقیزستون,,,
Q813,label,language,na,,Kirgitan,,,
Q813,label,language,nah,,Quirguiztan,,,
Q813,label,language,nds,,Kirgisien,,,
Q813,label,language,nn,,Kirgisistan,,,
Q813,label,language,nov,,Kirgistan,,,
Q813,label,language,nv,,Kíígiz Bikéyah,,,
Q813,label,language,oc,,Quirguizstan,,,
Q813,label,language,or,,କିରଗିଜସ୍ତାନ,,,
Q813,label,language,os,,Хъиргъиз,,,
Q813,label,language,pa,,ਕਿਰਗਿਜ਼ਸਤਾਨ,,,
Q813,label,language,pih,,Kergistaan,,,
Q813,label,language,pl,,Kirgistan,,,
Q813,label,language,pms,,Kirghizistan,,,
Q813,label,language,pnb,,کرغیزستان,,,
Q813,label,language,ps,,قرغزستان,,,
Q813,label,language,pt,,Quirguistão,,,
Q813,label,language,qu,,Kirkisuyu,,,
Q813,label,language,ro,,Kirghiztan,,,
Q813,label,language,ru,,Киргизия,,,
Q813,label,language,rw,,Kirigizisitani,,,
Q813,label,language,sa,,किरगिस्थान,,,
Q813,label,language,sah,,Кыргыстаан,,,
Q813,label,language,scn,,Kirghizistan,,,
Q813,label,language,sco,,Kyrgyzstan,,,
Q813,label,language,sd,,ڪِرگزِستانُ,,,
Q813,label,language,se,,Kirgisistan,,,
Q813,label,language,sh,,Kirgistan,,,
Q813,label,language,sk,,Kirgizsko,,,
Q813,label,language,sl,,Kirgizistan,,,
Q813,label,language,so,,Qargistan,,,
Q813,label,language,sq,,Kirgistani,,,
Q813,label,language,sr,,Киргистан,,,
Q813,label,language,ss,,IKhirigi,,,
Q813,label,language,su,,Kirgistan,,,
Q813,label,language,sv,,Kirgizistan,,,
Q813,label,language,sw,,Kirgizia,,,
Q813,label,language,szl,,Kirgistan,,,
Q813,label,language,ta,,கிர்கிசுத்தான்,,,
Q813,label,language,te,,కిర్గిజిస్తాన్,,,
Q813,label,language,tg,,Қирғизистон,,,
Q813,label,language,th,,ประเทศคีร์กีซสถาน,,,
Q813,label,language,tk,,Gyrgyzystan,,,
Q813,label,language,tl,,Kyrgyzstan,,,
Q813,label,language,tr,,Kırgızistan,,,
Q813,label,language,tt,,Кыргызстан,,,
Q813,label,language,udm,,Киргизия,,,
Q813,label,language,ug,,قىرغىزىستان,,,
Q813,label,language,uk,,Киргизстан,,,
Q813,label,language,ur,,کرغیزستان,,,
Q813,label,language,uz,,Qirgʻiziston,,,
Q813,label,language,vep,,Kirgizstan,,,
Q813,label,language,vi,,Kyrgyzstan,,,
Q813,label,language,vo,,Kirgistän,,,
Q813,label,language,war,,Kirguistan,,,
Q813,label,language,wo,,Kirgistaan,,,
Q813,label,language,wuu,,吉尔吉斯斯坦,,,
Q813,label,language,xal,,Бурудин Орн,,,
Q813,label,language,yi,,קירגיזסטאן,,,
Q813,label,language,yo,,Kirgistani,,,
Q813,label,language,zh,,吉尔吉斯斯坦,,,
