Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q43,alias,language,ru,1,Türkiye,,,
Q43,alias,language,ru,2,Турецкая Республика,,,
Q43,alias,language,fr,1,République de Turquie,,,
Q43,alias,language,fr,2,République turque,,,
Q43,alias,language,su,1,Turkey,,,
Q43,alias,language,be-tarask,1,Турцыя,,,
Q43,alias,language,be-tarask,2,Турэцкая Рэспубліка,,,
Q43,alias,language,nan,1,Türkiye Kiōng-hô-kok,,,
Q43,alias,language,nan,2,Turkiye,,,
Q43,alias,language,nan,3,Turkey,,,
Q43,alias,language,nan,4,Thó͘-nī-kî,,,
Q43,alias,language,nan,5,Thó·-ní-kî,,,
Q43,alias,language,nan,6,Thó͘-ní-kî,,,
Q43,alias,language,zh-hans,1,土耳其共和国,,,
Q43,alias,language,zh-hant,1,土耳其共和國,,,
Q43,alias,language,zh-cn,1,土耳其共和国,,,
Q43,alias,language,zh-sg,1,土耳其共和国,,,
Q43,alias,language,zh-my,1,土耳其共和国,,,
Q43,alias,language,zh,1,土耳其共和国,,,
Q43,alias,language,zh-hk,1,土耳其共和國,,,
Q43,alias,language,zh-tw,1,土耳其共和國,,,
Q43,alias,language,zh-mo,1,土耳其共和國,,,
Q43,alias,language,ca,1,República de Turquia,,,
Q43,alias,language,ca,2,República Turca,,,
Q43,alias,language,ca,3,Türkiye,,,
Q43,alias,language,el,1,Τουρκική Δημοκρατία,,,
Q43,alias,language,th,1,ตุรกี,,,
Q43,alias,language,th,2,สาธารณรัฐตุรกี,,,
Q43,alias,language,th,3,Turkey,,,
Q43,alias,language,th,4,Republic of Turkey,,,
Q43,alias,language,en,1,Republic of Turkey,,,
Q43,alias,language,en,2,tr,,,
Q43,alias,language,ja,1,トルコ共和国,,,
Q43,alias,language,pt-br,1,República da Turquia,,,
Q43,alias,language,pt,1,República da Turquia,,,
Q43,alias,language,eo,1,Turkujo,,,
Q43,alias,language,gl,1,República de Turquia,,,
Q43,alias,language,gl,2,República Turca,,,
Q43,alias,language,tr,1,Türkiye Cumhuriyeti,,,
Q43,alias,language,tr,2,T.C.,,,
Q43,alias,language,gu,1,તુર્કી,,,
,,,,,,,,
Q43,description,language,en,,country spanning Southeastern Europe and Western Asia,,,
Q43,description,language,fr,,pays aux confins de l'Asie et de l'Europe,,,
Q43,description,language,it,,Stato dell'Asia occidentale,,,
Q43,description,language,ru,,"государство, расположенное в основном в юго-западной части Азии, частично в южной Европе.",,,
Q43,description,language,de,,Staat in Vorderasien,,,
Q43,description,language,es,,país de Europa,,,
Q43,description,language,en-gb,,country in Southern Europe,,,
Q43,description,language,ca,,estat entre Europa i l'Àsia.,,,
Q43,description,language,ko,,서남아시아의 아나톨리아와 유럽 남동부 발칸 반도의 동부 트라크야에 걸친 나라,,,
Q43,description,language,nb,,land i Sørøst-Europa og Vest-Asia,,,
Q43,description,language,zh-hans,,欧洲国家,,,
Q43,description,language,zh-hant,,歐洲國家,,,
Q43,description,language,zh-cn,,欧洲国家,,,
Q43,description,language,zh-sg,,欧洲国家,,,
Q43,description,language,zh-my,,欧洲国家,,,
Q43,description,language,zh,,欧洲国家,,,
Q43,description,language,zh-hk,,歐洲國家,,,
Q43,description,language,zh-tw,,歐洲國家,,,
Q43,description,language,zh-mo,,歐洲國家,,,
Q43,description,language,fi,,"valtio, joka sijaitsee Kaakkois-Euroopasta Lounais-Aasiaan",,,
Q43,description,language,ilo,,pagilian idiay Abagatan nga Europa,,,
Q43,description,language,ja,,南ヨーロッパと西アジアに位置する国,,,
Q43,description,language,pt-br,,país euro-asiático,,,
