Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q23408,alias,language,ru,Буве остров,,,
Q23408,alias,language,it,Bouvetøya,,,
Q23408,alias,language,de,Bouvetøya,,,
,,,,,,,
Q23408,description,language,en,uninabited subantarctic volcanic island,,,
Q23408,description,language,eu,Ozeano Australean dagoen sumendi-uhartea da,,,
Q23408,description,language,nb,norsk biland i Søratlanteren,,,
Q23408,description,language,fr,île volcanique inhabitée norvégienne de l'Atlantique sud,,,
Q23408,description,language,es,"pequeño territorio insular deshabitado del océano Atlántico Sur, dependiente de Noruega",,,
Q23408,description,language,it,isola vulcanica sub-antartica,,,
Q23408,description,language,de,unbewohnte Vulkaninsel im Südatlantik,,,
Q23408,description,language,nl,eiland van Noorwegen,,,
,,,,,,,
Q23408,label,language,ru,Остров Буве,,,
Q23408,label,language,af,Bouvet-eiland,,,
Q23408,label,language,ar,جزيرة بوفيه,,,
Q23408,label,language,bg,Буве,,,
Q23408,label,language,br,Enez Bouvet,,,
Q23408,label,language,ca,Bouvet,,,
Q23408,label,language,cs,Bouvetův ostrov,,,
Q23408,label,language,cy,Ynys Bouvet,,,
Q23408,label,language,da,Bouvetøen,,,
Q23408,label,language,de,Bouvetinsel,,,
Q23408,label,language,el,Μπουβέ,,,
Q23408,label,language,en,Bouvet Island,,,
Q23408,label,language,en-ca,Bouvet Island,,,
Q23408,label,language,en-gb,Bouvet Island,,,
Q23408,label,language,eo,Buvet-Insulo,,,
Q23408,label,language,es,Isla Bouvet,,,
Q23408,label,language,et,Bouvet' saar,,,
Q23408,label,language,fa,جزیره بووه,,,
Q23408,label,language,fi,Bouvet’nsaari,,,
Q23408,label,language,fo,Bouvetoy,,,
Q23408,label,language,fr,île Bouvet,,,
Q23408,label,language,fy,Bouveteilân,,,
Q23408,label,language,gl,Illa Bouvet,,,
Q23408,label,language,he,בובה,,,
Q23408,label,language,hr,Otok Bouvet,,,
Q23408,label,language,hu,Bouvet-sziget,,,
Q23408,label,language,id,Pulau Bouvet,,,
Q23408,label,language,io,Bouvet Insulo,,,
Q23408,label,language,is,Bouveteyja,,,
Q23408,label,language,it,Isola Bouvet,,,
Q23408,label,language,ja,ブーベ島,,,
Q23408,label,language,ka,ბუვე,,,
Q23408,label,language,ko,부베 섬,,,
Q23408,label,language,la,Insula Bouvet,,,
Q23408,label,language,lij,Isoa de Bouvet,,,
Q23408,label,language,lt,Buvė,,,
Q23408,label,language,lv,Buvē Sala,,,
Q23408,label,language,mn,Буве арал,,,
Q23408,label,language,ms,Pulau Bouvet,,,
Q23408,label,language,ne,बोउभेट टापु,,,
Q23408,label,language,nl,Bouveteiland,,,
Q23408,label,language,nn,Bouvetøya,,,
Q23408,label,language,pl,Wyspa Bouveta,,,
Q23408,label,language,pt,Ilha Bouvet,,,
Q23408,label,language,pt-br,Ilha Bouvet,,,
Q23408,label,language,qu,Bouvet Wat'a,,,
Q23408,label,language,ro,Insula Bouvet,,,
Q23408,label,language,rw,Ikirwa cya Bouve,,,
Q23408,label,language,sh,Otok Bouvet,,,
Q23408,label,language,sk,Bouvetov ostrov,,,
Q23408,label,language,sl,Bouvetov otok,,,
Q23408,label,language,sr,Буве,,,
Q23408,label,language,sv,Bouvetön,,,
Q23408,label,language,sw,Kisiwa cha Bouvet,,,
Q23408,label,language,tr,Bouvet Adası,,,
Q23408,label,language,uk,Буве,,,
Q23408,label,language,ur,جزیرہ بووہ,,,
Q23408,label,language,vi,Đảo Bouvet,,,
Q23408,label,language,wo,Dunu Buwet,,,
Q23408,label,language,yo,Erékùṣù Bouvet,,,
Q23408,label,language,zh,布韦岛,,,
Q23408,label,language,zh-cn,布韦岛,,,
Q23408,label,language,zh-tw,布韦岛,,,
Q23408,label,language,zh-sg,布韦岛,,,
Q23408,label,language,zh-mo,布韦岛,,,
Q23408,label,language,zh-hans,布韦岛,,,
Q23408,label,language,zh-hant,布韦岛,,,
Q23408,label,language,zh-hk,布韦岛,,,
Q23408,label,language,zh-my,布韦岛,,,
Q23408,label,language,eu,Bouvet uhartea,,,
Q23408,label,language,th,เกาะบูเว,,,
Q23408,label,language,nb,Bouvetøya,,,
Q23408,label,language,gsw,Bouvetinsle,,,
Q23408,label,language,be,Востраў Бувэ,,,
Q23408,label,language,kk,Буве аралы,,,
Q23408,label,language,ce,Бувен гӀайре,,,
,,,,,,,
20
20
Q23408,claim,P297,string,BV,normal,,
Q23408,claim,P298,string,BVT,normal,,
Q23408,claim,P299,string,074,normal,,
Q23408,claim,P373,string,Bouvet Island,normal,,

433729
23442
-54.433333333333
3.4

8308652
51
Q23408,claim,P227,string,4450775-6,normal,,
Q23408,claim,P214,string,249383208,normal,,
Q23408,claim,P646,string,/m/0167b,normal,,
Q23408,claim,P901,string,BV,normal,,
Q23408,claim,P1566,string,3371123,normal,,
,,,,,,,
Q23408,sitelink,site,ruwiki,Остров Буве,,,
Q23408,sitelink,site,afwiki,Bouvet-eiland,,,
Q23408,sitelink,site,arwiki,جزيرة بوفيه,,,
Q23408,sitelink,site,bgwiki,Буве,,,
Q23408,sitelink,site,brwiki,Enez Bouvet,,,
Q23408,sitelink,site,cawiki,Bouvet,,,
Q23408,sitelink,site,cswiki,Bouvetův ostrov,,,
Q23408,sitelink,site,cywiki,Ynys Bouvet,,,
Q23408,sitelink,site,dawiki,Bouvetøen,,,
Q23408,sitelink,site,dewiki,Bouvetinsel,,,
Q23408,sitelink,site,elwiki,Μπουβέ,,,
Q23408,sitelink,site,enwiki,Bouvet Island,,,
Q23408,sitelink,site,eowiki,Buvet-Insulo,,,
Q23408,sitelink,site,eswiki,Isla Bouvet,,,
Q23408,sitelink,site,etwiki,Bouvet' saar,,,
Q23408,sitelink,site,fawiki,جزیره بووه,,,
Q23408,sitelink,site,fiwiki,Bouvet’nsaari,,,
Q23408,sitelink,site,fowiki,Bouvetoy,,,
Q23408,sitelink,site,frwiki,Île Bouvet,,,
Q23408,sitelink,site,fywiki,Bouveteilân,,,
Q23408,sitelink,site,glwiki,Illa Bouvet,,,
Q23408,sitelink,site,hewiki,בובה (אי),,,
Q23408,sitelink,site,hrwiki,Otok Bouvet,,,
Q23408,sitelink,site,huwiki,Bouvet-sziget,,,
Q23408,sitelink,site,idwiki,Pulau Bouvet,,,
Q23408,sitelink,site,iowiki,Bouvet Insulo,,,
Q23408,sitelink,site,iswiki,Bouveteyja,,,
Q23408,sitelink,site,itwiki,Isola Bouvet,,,
Q23408,sitelink,site,jawiki,ブーベ島,,,
Q23408,sitelink,site,kawiki,ბუვე,,,
Q23408,sitelink,site,kowiki,부베 섬,,,
Q23408,sitelink,site,lawiki,Insula Bouvet,,,
Q23408,sitelink,site,lijwiki,Isoa de Bouvet,,,
Q23408,sitelink,site,ltwiki,Buvė,,,
Q23408,sitelink,site,lvwiki,Buvē Sala,,,
Q23408,sitelink,site,mnwiki,Буве арал,,,
Q23408,sitelink,site,mswiki,Pulau Bouvet,,,
Q23408,sitelink,site,newiki,बोउभेट टापु,,,
Q23408,sitelink,site,nlwiki,Bouveteiland,,,
Q23408,sitelink,site,nnwiki,Bouvetøya,,,
Q23408,sitelink,site,nowiki,Bouvetøya,,,
Q23408,sitelink,site,plwiki,Wyspa Bouveta,,,
Q23408,sitelink,site,ptwiki,Ilha Bouvet,,,
Q23408,sitelink,site,quwiki,Bouvet Wat'a,,,
Q23408,sitelink,site,rowiki,Insula Bouvet,,,
Q23408,sitelink,site,rwwiki,Ikirwa cya Bouve,,,
Q23408,sitelink,site,shwiki,Otok Bouvet,,,
Q23408,sitelink,site,simplewiki,Bouvet Island,,,
Q23408,sitelink,site,skwiki,Bouvetov ostrov,,,
Q23408,sitelink,site,slwiki,Bouvetov otok,,,
Q23408,sitelink,site,srwiki,Буве (острво),,,
Q23408,sitelink,site,svwiki,Bouvetön,,,
Q23408,sitelink,site,swwiki,Kisiwa cha Bouvet,,,
Q23408,sitelink,site,trwiki,Bouvet Adası,,,
Q23408,sitelink,site,ukwiki,Буве,,,
Q23408,sitelink,site,urwiki,جزیرہ بووہ,,,
Q23408,sitelink,site,viwiki,Đảo Bouvet,,,
Q23408,sitelink,site,wowiki,Dunu Buwet,,,
Q23408,sitelink,site,yowiki,Erékùṣù Bouvet,,,
Q23408,sitelink,site,zhwiki,布韦岛,,,
Q23408,sitelink,site,thwiki,เกาะบูเว,,,
Q23408,sitelink,site,euwiki,Bouvet uhartea,,,
Q23408,sitelink,site,enwikivoyage,Bouvet Island,,,
Q23408,sitelink,site,rowikivoyage,Insula Bouvet,,,
Q23408,sitelink,site,alswiki,Bouvetinsel,,,
Q23408,sitelink,site,bewiki,Востраў Бувэ,,,
Q23408,sitelink,site,commonswiki,Atlas of Bouvet Island,,,
Q23408,sitelink,site,kkwiki,Буве аралы,,,
Q23408,sitelink,site,cewiki,Бувен гӀайре,,,
