Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q16641,alias,language,es,Samoa Americana,,,
Q16641,alias,language,zh-hans,东萨摩亚,,,
Q16641,alias,language,en,as,,,
,,,,,,,
Q16641,description,language,en,US territory in the Pacific,,,
Q16641,description,language,de,US-amerikanisches Außengebiet,,,
Q16641,description,language,nb,amerikansk avhengig område i Stillehavet,,,
Q16641,description,language,es,territorio no incorporado de Estados Unidos,,,
Q16641,description,language,it,arcipelago del Pacifico meridionale,,,
Q16641,description,language,fr,territoire non incorporé et non organisé des États-Unis d'Amérique situé en Océanie,,,
Q16641,description,language,zh-hans,南太平洋的美国属地,,,
,,,,,,,
Q16641,label,language,en,American Samoa,,,
Q16641,label,language,de,Amerikanisch-Samoa,,,
Q16641,label,language,fr,Samoa américaines,,,
Q16641,label,language,ru,Американское Самоа,,,
Q16641,label,language,nb,Amerikansk Samoa,,,
Q16641,label,language,ace,Samoa Amirika,,,
Q16641,label,language,af,Amerikaans-Samoa,,,
Q16641,label,language,ar,ساموا الأمريكية,,,
Q16641,label,language,arz,ساموا الامريكيه,,,
Q16641,label,language,az,Amerika Samoası,,,
Q16641,label,language,be,Амерыканскае Самоа,,,
Q16641,label,language,bg,Американска Самоа,,,
Q16641,label,language,bpy,আমেরিকান সামোয়া,,,
Q16641,label,language,br,Samoa Amerikan,,,
Q16641,label,language,bs,Američka Samoa,,,
Q16641,label,language,ca,Samoa Nord-americana,,,
Q16641,label,language,cbk-zam,American Samoa,,,
Q16641,label,language,ckb,سەموای ئەمەریکا,,,
Q16641,label,language,cs,Americká Samoa,,,
Q16641,label,language,cy,Samoa America,,,
Q16641,label,language,da,Amerikansk Samoa,,,
Q16641,label,language,de-ch,Amerikanisch-Samoa,,,
Q16641,label,language,dv,އެމެރިކަން ސަމޯއާ,,,
Q16641,label,language,el,Αμερικανική Σαμόα,,,
Q16641,label,language,en-ca,American Samoa,,,
Q16641,label,language,en-gb,American Samoa,,,
Q16641,label,language,eo,Usona Samoo,,,
