Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q145,alias,language,en,1,UK,,,
Q145,alias,language,en,2,United Kingdom,,,
Q145,alias,language,en,3,United Kingdom of Great Britain and Northern Ireland,,,
Q145,alias,language,en,4,gb,,,
Q145,alias,language,en,5,UKGBNI,,,
Q145,alias,language,en,6,Great Britain,,,
Q145,alias,language,en-gb,1,Blighty,,,
Q145,alias,language,en-gb,2,United Kingdom of Great Britain and Northern Ireland,,,
Q145,alias,language,en-gb,3,UK,,,
Q145,alias,language,en-gb,4,Britain,,,
Q145,alias,language,de,1,UK,,,
Q145,alias,language,de,2,Vereinigtes Königreich Großbritannien und Nordirland,,,
Q145,alias,language,be-tarask,1,Вялікая Брытанія,,,
Q145,alias,language,be-tarask,2,Брытанія,,,
Q145,alias,language,be-tarask,3,Злучанае каралеўства,,,
Q145,alias,language,be-tarask,4,Аб’яднанае каралеўства,,,
Q145,alias,language,be-tarask,5,Аб'яднанае Каралеўства,,,
Q145,alias,language,nan,1,United Kingdom,,,
Q145,alias,language,nan,2,Eng-kok,,,
Q145,alias,language,nb,1,Det forente kongeriket,,,
Q145,alias,language,nb,2,Det forente kongeriket Storbritannia og Nord-Irland,,,
Q145,alias,language,ja,1,英国,,,
Q145,alias,language,ja,2,グレートブリテン及び北アイルランド連合王国,,,
Q145,alias,language,it,1,Regno Unito di Gran Bretagna e Irlanda del Nord,,,
Q145,alias,language,it,2,Gran Bretagna,,,
Q145,alias,language,it,3,Inghilterra,,,
Q145,alias,language,it,4,UK,,,
Q145,alias,language,zh,1,联合王国,,,
Q145,alias,language,zh,2,大不列颠及北爱尔兰联合王国,,,
Q145,alias,language,zh,3,不列颠,,,
Q145,alias,language,zh-cn,1,联合王国,,,
Q145,alias,language,zh-cn,2,大不列颠及北爱尔兰联合王国,,,
Q145,alias,language,zh-hans,1,联合王国,,,
Q145,alias,language,zh-hans,2,大不列颠及北爱尔兰联合王国,,,
Q145,alias,language,zh-hans,3,不列颠,,,
Q145,alias,language,pam,1,United Kingdom,,,
Q145,alias,language,diq,1,Britanya Gırd,,,
Q145,alias,language,diq,2,Britanya,,,
Q145,alias,language,diq,3,İngıltere,,,
Q145,alias,language,diq,4,Britanya Gırdı,,,
Q145,alias,language,diq,5,Britanya Gırde,,,
Q145,alias,language,zh-hant,1,聯合王國,,,
Q145,alias,language,zh-hant,2,大不列顛及北愛爾蘭聯合王國,,,
Q145,alias,language,zh-sg,1,联合王国,,,
Q145,alias,language,zh-sg,2,大不列颠及北爱尔兰联合王国,,,
Q145,alias,language,zh-my,1,联合王国,,,
Q145,alias,language,zh-my,2,大不列颠及北爱尔兰联合王国,,,
Q145,alias,language,zh-hk,1,聯合王國,,,
Q145,alias,language,zh-hk,2,大不列顛及北愛爾蘭聯合王國,,,
Q145,alias,language,zh-tw,1,聯合王國,,,
Q145,alias,language,zh-tw,2,大不列顛及北愛爾蘭聯合王國,,,
Q145,alias,language,zh-mo,1,聯合王國,,,
Q145,alias,language,zh-mo,2,大不列顛及北愛爾蘭聯合王國,,,
Q145,alias,language,ca,1,Regne Unit De La Gran Bretanya I Irlanda Del Nord,,,
Q145,alias,language,ca,2,UK,,,
Q145,alias,language,ca,3,United Kingdom,,,
Q145,alias,language,ca,4,Reialme Unit,,,
Q145,alias,language,ca,5,Reialme Unit de la Gran Bretanya i Irlanda del Nord,,,
Q145,alias,language,ca,6,Regions del Regne Unit,,,
Q145,alias,language,fi,1,Iso-Britannia,,,
Q145,alias,language,fi,2,Britannia,,,
Q145,alias,language,fi,3,United Kingdom,,,
Q145,alias,language,fi,4,UK,,,
Q145,alias,language,hu,1,Nagy Britannia és Észak-Írország Egyesült Királysága,,,
Q145,alias,language,hu,2,Nagy-Britannia,,,
Q145,alias,language,hu,3,UK,,,
Q145,alias,language,fr,1,UK,,,
Q145,alias,language,fr,2,Royaume-Uni de Grande-Bretagne et d’Irlande du Nord,,,
Q145,alias,language,he,1,בריטניה,,,
Q145,alias,language,pt-br,1,Reino Unido da Grã-Bretanha e Irlanda do Norte,,,
Q145,alias,language,pt-br,2,Grã-Bretanha,,,
Q145,alias,language,es,1,Reino Unido de Gran Bretaña e Irlanda del Norte,,,
Q145,alias,language,pl,1,Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej,,,
Q145,alias,language,cs,1,Spojené království Velké Británie a Severního Irska,,,
Q145,alias,language,cs,2,Británie,,,
Q145,alias,language,cs,3,Velká Británie,,,
Q145,alias,language,ru,1,Соединённое Королевство Великобритании и Северной Ирландии,,,
Q145,alias,language,ru,2,Соединённое Королевство,,,
Q145,alias,language,ru,3,United Kingdom,,,
Q145,alias,language,ru,4,Great Britain,,,
Q145,alias,language,ru,5,Британия,,,
Q145,alias,language,da,1,United Kingdom,,,
Q145,alias,language,da,2,Det Forenede Kongerige,,,
Q145,alias,language,dsb,1,Zjadnośone kralojstwo Wjelikeje Britaniskeje a Pódpołnocneje Irskeje,,,
Q145,alias,language,hsb,1,Zjednoćene kralestwo Wulkeje Britaniskeje a Sewjerneje Irskeje,,,
Q145,alias,language,mk,1,Велика Британија,,,
Q145,alias,language,mk,2,Британија,,,
Q145,alias,language,mk,3,Обединето Кралство на Велика Британија и Северна Ирска,,,
Q145,alias,language,sl,1,Združeno kraljestvo Velike Britanije in Severne Irske,,,
Q145,alias,language,nl,1,Verenigde Koningrijk,,,
Q145,alias,language,nl,2,V.K.,,,
Q145,alias,language,nl,3,United Kingdom,,,
Q145,alias,language,nl,4,United Kingdom of Great Britain and Northern Ireland,,,
Q145,alias,language,nl,5,Verenigd Konkrijk,,,
Q145,alias,language,nl,6,"United Kingdom of England, Scotland and Wales",,,
Q145,alias,language,nl,7,Y Deyrnas Unedig,,,
