"ISO Country Code","English Country Name","French Country Name","Date of Membership","CPDB URL"
"EGY","Egypt","Egypte","1950-01-10 00:00:00","https://www.wmo.int/cpdb/dashboard/egypt"
"SLV","El Salvador","El Salvador","1955-05-27 00:00:00","https://www.wmo.int/cpdb/dashboard/el-salvador"
"ERI","Eritrea","Erythrée","1993-07-08 00:00:00","https://www.wmo.int/cpdb/dashboard/eritrea"
"EST","Estonia","Estonie","1992-08-21 00:00:00","https://www.wmo.int/cpdb/dashboard/estonia"
"ETH","Ethiopia","Ethiopie","1953-12-03 00:00:00","https://www.wmo.int/cpdb/dashboard/ethiopia"
"FJI","Fiji","Fidji","1980-03-18 00:00:00","https://www.wmo.int/cpdb/dashboard/fiji"
"FIN","Finland","Finlande","1949-01-07 00:00:00","https://www.wmo.int/cpdb/dashboard/finland"
"FRA","France","France","1949-12-05 00:00:00","https://www.wmo.int/cpdb/dashboard/france"
"PYF","French Polynesia","Polynésie française","1949-12-05 00:00:00","https://www.wmo.int/cpdb/dashboard/french-polynesia"
"GAB","Gabon","Gabon","1961-06-05 00:00:00","https://www.wmo.int/cpdb/dashboard/gabon"
"GMB","Gambia","Gambie","1978-10-02 00:00:00","https://www.wmo.int/cpdb/dashboard/gambia"
"GEO","Georgia","Géorgie","1993-09-01 00:00:00","https://www.wmo.int/cpdb/dashboard/georgia"
"DEU","Germany","Allemagne","1954-06-10 00:00:00","https://www.wmo.int/cpdb/dashboard/germany"
"GHA","Ghana","Ghana","1957-05-06 00:00:00","https://www.wmo.int/cpdb/dashboard/ghana"
"GRC","Greece","Grèce","1950-01-20 00:00:00","https://www.wmo.int/cpdb/dashboard/greece"
"GTM","Guatemala","Guatemala","1952-03-21 00:00:00","https://www.wmo.int/cpdb/dashboard/guatemala"
"GIN","Guinea","Guinée","1959-03-27 00:00:00","https://www.wmo.int/cpdb/dashboard/guinea"
"GNB","Guinea-Bissau","Guinée-Bissau","1977-12-15 00:00:00","https://www.wmo.int/cpdb/dashboard/guinea-bissau"
"GUY","Guyana","Guyana","1966-11-22 00:00:00","https://www.wmo.int/cpdb/dashboard/guyana"
"HTI","Haiti","Haïti","1951-08-14 00:00:00","https://www.wmo.int/cpdb/dashboard/haiti"
"HND","Honduras","Honduras","1960-10-10 00:00:00","https://www.wmo.int/cpdb/dashboard/honduras"
"HKG","Hong Kong, China","Hong Kong, Chine","1948-12-14 00:00:00","https://www.wmo.int/cpdb/dashboard/hong-kong-china"
"HUN","Hungary","Hongrie","1951-02-15 00:00:00","https://www.wmo.int/cpdb/dashboard/hungary"
"ISL","Iceland","Islande","1948-01-16 00:00:00","https://www.wmo.int/cpdb/dashboard/iceland"
"IND","India","Inde","1949-04-27 00:00:00","https://www.wmo.int/cpdb/dashboard/india"
"IDN","Indonesia","Indonésie","1950-11-16 00:00:00","https://www.wmo.int/cpdb/dashboard/indonesia"
"IRN","Iran, Islamic Republic of","Iran, République islamique d'","1959-09-30 00:00:00","https://www.wmo.int/cpdb/dashboard/iran-islamic-republic-of"
"IRQ","Iraq","Iraq","1950-02-21 00:00:00","https://www.wmo.int/cpdb/dashboard/iraq"
"IRL","Ireland","Irlande","1950-03-14 00:00:00","https://www.wmo.int/cpdb/dashboard/ireland"
"ISR","Israel","Israël","1949-09-30 00:00:00","https://www.wmo.int/cpdb/dashboard/israel"
"ITA","Italy","Italie","1951-01-09 00:00:00","https://www.wmo.int/cpdb/dashboard/italy"
"JAM","Jamaica","Jamaïque","1963-05-29 00:00:00","https://www.wmo.int/cpdb/dashboard/jamaica"
"JPN","Japan","Japon","1953-08-11 00:00:00","https://www.wmo.int/cpdb/dashboard/japan"
"JOR","Jordan","Jordanie","1955-07-11 00:00:00","https://www.wmo.int/cpdb/dashboard/jordan"
