iso3_code,common_name,state_or_territory,wmo_member_since,cpdb_url
GUY,Guyana,State,1966-11-22,https://www.wmo.int/cpdb/dashboard/guyana
HTI,Haiti,State,1951-08-14,https://www.wmo.int/cpdb/dashboard/haiti
HND,Honduras,State,1960-10-10,https://www.wmo.int/cpdb/dashboard/honduras
HKG,"Hong Kong SAR China",Territory,1948-12-14,https://www.wmo.int/cpdb/dashboard/hong-kong-china
HUN,Hungary,State,1951-02-15,https://www.wmo.int/cpdb/dashboard/hungary
ISL,Iceland,State,1948-01-16,https://www.wmo.int/cpdb/dashboard/iceland
IND,India,State,1949-04-27,https://www.wmo.int/cpdb/dashboard/india
IDN,Indonesia,State,1950-11-16,https://www.wmo.int/cpdb/dashboard/indonesia
IRN,Iran,State,1959-09-30,https://www.wmo.int/cpdb/dashboard/iran-islamic-republic-of
IRQ,Iraq,State,1950-02-21,https://www.wmo.int/cpdb/dashboard/iraq
IRL,Ireland,State,1950-03-14,https://www.wmo.int/cpdb/dashboard/ireland
ISR,Israel,State,1949-09-30,https://www.wmo.int/cpdb/dashboard/israel
ITA,Italy,State,1951-01-09,https://www.wmo.int/cpdb/dashboard/italy
JAM,Jamaica,State,1963-05-29,https://www.wmo.int/cpdb/dashboard/jamaica
JPN,Japan,State,1953-08-11,https://www.wmo.int/cpdb/dashboard/japan
JOR,Jordan,State,1955-07-11,https://www.wmo.int/cpdb/dashboard/jordan
KAZ,Kazakhstan,State,1993-05-05,https://www.wmo.int/cpdb/dashboard/kazakhstan
KEN,Kenya,State,1964-06-02,https://www.wmo.int/cpdb/dashboard/kenya
KIR,Kiribati,State,2003-03-26,https://www.wmo.int/cpdb/dashboard/kiribati
KWT,Kuwait,State,1962-12-01,https://www.wmo.int/cpdb/dashboard/kuwait
KGZ,Kyrgyzstan,State,1994-07-20,https://www.wmo.int/cpdb/dashboard/kyrgyzstan
LAO,Laos,State,1955-06-01,https://www.wmo.int/cpdb/dashboard/lao-people-s-democratic-republic
LVA,Latvia,State,1992-05-15,https://www.wmo.int/cpdb/dashboard/latvia
LBN,Lebanon,State,1948-12-22,https://www.wmo.int/cpdb/dashboard/lebanon
LSO,Lesotho,State,1979-08-03,https://www.wmo.int/cpdb/dashboard/lesotho
LBR,Liberia,State,1974-02-07,https://www.wmo.int/cpdb/dashboard/liberia
LBY,Libya,State,1955-12-29,https://www.wmo.int/cpdb/dashboard/libya
LTU,Lithuania,State,1992-06-03,https://www.wmo.int/cpdb/dashboard/lithuania
LUX,Luxembourg,State,1952-10-29,https://www.wmo.int/cpdb/dashboard/luxembourg
MAC,"Macau SAR China",Territory,1996-01-24,https://www.wmo.int/cpdb/dashboard/macao-china
MKD,Macedonia,State,1993-06-01,https://www.wmo.int/cpdb/dashboard/the-former-yugoslav-republic-of-macedonia
MDG,Madagascar,State,1960-12-15,https://www.wmo.int/cpdb/dashboard/madagascar
MWI,Malawi,State,1965-02-15,https://www.wmo.int/cpdb/dashboard/malawi
MYS,Malaysia,State,1958-05-19,https://www.wmo.int/cpdb/dashboard/malaysia
MDV,Maldives,State,1978-06-01,https://www.wmo.int/cpdb/dashboard/maldives
MLI,Mali,State,1960-11-11,https://www.wmo.int/cpdb/dashboard/mali
MLT,Malta,State,1976-12-28,https://www.wmo.int/cpdb/dashboard/malta
MRT,Mauritania,State,1962-01-23,https://www.wmo.int/cpdb/dashboard/mauritania
MUS,Mauritius,State,1969-07-17,https://www.wmo.int/cpdb/dashboard/mauritius
MEX,Mexico,State,1949-05-27,https://www.wmo.int/cpdb/dashboard/mexico
FSM,Micronesia,State,1995-09-20,https://www.wmo.int/cpdb/dashboard/micronesia-federated-states-of
MDA,Moldova,State,1994-11-21,https://www.wmo.int/cpdb/dashboard/republic-of-moldova
MCO,Monaco,State,1996-04-09,https://www.wmo.int/cpdb/dashboard/monaco
MNG,Mongolia,State,1963-04-04,https://www.wmo.int/cpdb/dashboard/mongolia
MNE,Montenegro,State,2007-01-05,https://www.wmo.int/cpdb/dashboard/montenegro
MAR,Morocco,State,1957-01-03,https://www.wmo.int/cpdb/dashboard/morocco
MOZ,Mozambique,State,1976-06-21,https://www.wmo.int/cpdb/dashboard/mozambique
MMR,"Myanmar (Burma)",State,1949-08-19,https://www.wmo.int/cpdb/dashboard/myanmar
NAM,Namibia,State,1991-02-06,https://www.wmo.int/cpdb/dashboard/namibia
NPL,Nepal,State,1966-08-12,https://www.wmo.int/cpdb/dashboard/nepal
NLD,Netherlands,State,1951-09-12,https://www.wmo.int/cpdb/dashboard/netherlands
NCL,"New Caledonia",Territory,1949-12-05,https://www.wmo.int/cpdb/dashboard/new-caledonia
NZL,"New Zealand",State,1948-04-02,https://www.wmo.int/cpdb/dashboard/new-zealand
NIC,Nicaragua,State,1959-02-27,https://www.wmo.int/cpdb/dashboard/nicaragua
NER,Niger,State,1960-10-28,https://www.wmo.int/cpdb/dashboard/niger
NGA,Nigeria,State,1960-11-30,https://www.wmo.int/cpdb/dashboard/nigeria
NIU,Niue,State,1996-05-31,https://www.wmo.int/cpdb/dashboard/niue
PRK,"North Korea",State,1975-05-27,https://www.wmo.int/cpdb/dashboard/democratic-people-s-republic-of-korea
