Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q974,alias,language,be-tarask,1,Заір,,,
Q974,alias,language,be-tarask,2,ДР Конга,,,
Q974,alias,language,be-tarask,3,Дэмакратычная Рэспубліка Конґа,,,
Q974,alias,language,nan,1,Zaire,,,
Q974,alias,language,en,1,DRC,,,
Q974,alias,language,en,2,DR Congo,,,
Q974,alias,language,en,3,Congo-Kinshasa,,,
Q974,alias,language,en,4,Zaire,,,
Q974,alias,language,en,5,Congo,,,
Q974,alias,language,en,6,Democratic Republic of Congo,,,
Q974,alias,language,en,7,cd,,,
Q974,alias,language,en,8,Dem. Republic of the Congo,,,
Q974,alias,language,en,9,Dem. Republic of Congo,,,
Q974,alias,language,en,10,Dem. Rep. Congo,,,
Q974,alias,language,pam,1,Democratic Republic of the Congo,,,
Q974,alias,language,de,1,DR Kongo,,,
Q974,alias,language,de,2,Dem. Rep. Kongo,,,
Q974,alias,language,de,3,Kongo-Léopoldville,,,
Q974,alias,language,de,4,Kongo-Kinshasa,,,
Q974,alias,language,de,5,Kongo,,,
Q974,alias,language,de,6,Kongo (Kinshasa),,,
Q974,alias,language,de,7,DRK,,,
Q974,alias,language,nb,1,Kongo-Kinshasa,,,
Q974,alias,language,nb,2,Kongo,,,
Q974,alias,language,fr,1,Congo-Kinshasa,,,
Q974,alias,language,fr,2,RDC,,,
Q974,alias,language,fr,3,Congo,,,
Q974,alias,language,sr,1,ДР Конго,,,
Q974,alias,language,new,1,प्रजातान्तृक गणतन्त्र कंगो,,,
Q974,alias,language,new,2,प्रजातान्त्रिक गणतान्त्रिक कङ्गो,,,
Q974,alias,language,nl,1,Democratische Republiek Congo,,,
Q974,alias,language,nl,2,DR Congo,,,
Q974,alias,language,nl,3,DRC,,,
Q974,alias,language,jv,1,Democratic Republic of the Congo,,,
Q974,alias,language,hu,1,Kongói Szabad Állam,,,
Q974,alias,language,hu,2,Belga Kongó,,,
Q974,alias,language,hu,3,Kongó-Léopoldville,,,
Q974,alias,language,hu,4,Kongó-Kinshasa,,,
Q974,alias,language,hu,5,Zaire,,,
Q974,alias,language,mk,1,ДР Конго,,,
Q974,alias,language,mk,2,Заир,,,
Q974,alias,language,mk,3,Конго-Киншаса,,,
Q974,alias,language,mk,4,ДРК,,,
Q974,alias,language,el,1,Ζαΐρ,,,
Q974,alias,language,gl,1,République Démocratique du Congo,,,
Q974,alias,language,gl,2,Congo Kinshasa,,,
Q974,alias,language,gl,3,Congo,,,
Q974,alias,language,gl,4,Zaire,,,
Q974,alias,language,sv,1,Demokratiska republiken Kongo,,,
Q974,alias,language,sv,2,DRK,,,
Q974,alias,language,sv,3,Kongo,,,
Q974,alias,language,sv,4,Zaire,,,
Q974,alias,language,sv,5,DR Kongo,,,
Q974,alias,language,ru,1,ДРК,,,
Q974,alias,language,ru,2,ДР Конго,,,
Q974,alias,language,ru,3,Конго,,,
Q974,alias,language,ko,1,콩고 민주 공화국,,,
,,,,,,,,
Q974,description,language,en,,country in Africa,,,
Q974,description,language,es,,País de África,,,
Q974,description,language,it,,Stato dell'Africa centrale,,,
Q974,description,language,fr,,pays d'Afrique centrale,,,
Q974,description,language,ru,,страна в Африке,,,
Q974,description,language,de,,Staat in Zentralafrika,,,
Q974,description,language,nb,,republikk i Sentral-Afrika,,,
Q974,description,language,ilo,,pagilian idiay Aprika,,,
Q974,description,language,sr,,држава у централној Африци,,,
Q974,description,language,sr-ec,,држава у централној Африци,,,
Q974,description,language,sr-el,,država u centralnoj Africi,,,
Q974,description,language,zh-hans,,位于非洲中部的国家，首都是金夏沙,,,
Q974,description,language,nl,,"land in Afrika, informele naam van de Democratische Republiek Congo",,,
Q974,description,language,hu,,állam Közép-Afrikában,,,
Q974,description,language,mk,,земја во Африка,,,
Q974,description,language,el,,χώρα της κεντρικής Αφρικής,,,
Q974,description,language,gl,,país de África,,,
Q974,description,language,sv,,stat i Centralafrika,,,
Q974,description,language,br,,bro e Afrika,,,
,,,,,,,,
Q974,label,language,en,,Democratic Republic of the Congo,,,
Q974,label,language,es,,República Democrática del Congo,,,
Q974,label,language,be-tarask,,Дэмакратычная Рэспубліка Конга,,,
Q974,label,language,nan,,Congo Bîn-chú Kiōng-hô-kok,,,
Q974,label,language,fr,,République démocratique du Congo,,,
Q974,label,language,it,,Repubblica Democratica del Congo,,,
Q974,label,language,en-ca,,Democratic Republic of the Congo,,,
Q974,label,language,en-gb,,Democratic Republic of the Congo,,,
Q974,label,language,nl,,Congo-Kinshasa,,,
Q974,label,language,ace,,Republik Demokratik Kongo,,,
Q974,label,language,af,,Demokratiese Republiek van die Kongo,,,
Q974,label,language,am,,ኮንጎ ዲሞክራሲያዊ ሪፐብሊክ,,,
Q974,label,language,an,,Republica Democratica d'o Congo,,,
Q974,label,language,ang,,Folcrīcelicu Cyneƿīse þæs Congƿes,,,
Q974,label,language,ar,,جمهورية الكونغو الديمقراطية,,,
Q974,label,language,arc,,ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ,,,
Q974,label,language,arz,,جمهورية كونجو الديموقراطيه,,,
Q974,label,language,ast,,República Democrática d'El Congu,,,
Q974,label,language,az,,Konqo Demokratik Respublikası,,,
Q974,label,language,bcl,,Demokratikong Republika kan Kongo,,,
Q974,label,language,be,,Дэмакратычная Рэспубліка Конга,,,
Q974,label,language,bg,,Демократична република Конго,,,
Q974,label,language,bjn,,Ripublik Demokratik Kongo,,,
Q974,label,language,bm,,Kongo ka Bɛjɛfanga Fasojamana,,,
Q974,label,language,bn,,গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র,,,
Q974,label,language,bo,,ཀོང་གོ་མི་དམངས་དམངས་གཙོ།,,,
Q974,label,language,bpy,,গনতান্ত্রিক কঙ্গো প্রজাতন্ত্র,,,
Q974,label,language,br,,Republik Demokratel Kongo,,,
Q974,label,language,bs,,Demokratska Republika Kongo,,,
Q974,label,language,ca,,República Democràtica del Congo,,,
Q974,label,language,ce,,Халкъа куьйгаллийца йолу Пачхьалкх Конго,,,
Q974,label,language,ceb,,Republikang Demokratiko sa Congo,,,
Q974,label,language,chy,,Democratic Republic of the Congo,,,
Q974,label,language,ckb,,کۆماری دیموکراتیکی کۆنگۆ,,,
Q974,label,language,cs,,Demokratická republika Kongo,,,
Q974,label,language,cv,,Конго Демократиллĕ Республики,,,
Q974,label,language,cy,,Gweriniaeth Ddemocrataidd Congo,,,
Q974,label,language,da,,Demokratiske Republik Congo,,,
Q974,label,language,de,,Demokratische Republik Kongo,,,
Q974,label,language,diq,,Cumurêtê Kongoê Demokratiki,,,
Q974,label,language,dsb,,Demokratiska republika Kongo,,,
Q974,label,language,dv,,ކޮންގޯ,,,
Q974,label,language,el,,Λαϊκή Δημοκρατία του Κονγκό,,,
Q974,label,language,eo,,Demokratia Respubliko Kongo,,,
Q974,label,language,et,,Kongo Demokraatlik Vabariik,,,
Q974,label,language,eu,,Kongoko Errepublika Demokratikoa,,,
Q974,label,language,ext,,Repúbrica Democrática del Congu,,,
Q974,label,language,fa,,جمهوری دموکراتیک کنگو,,,
Q974,label,language,fi,,Kongon demokraattinen tasavalta,,,
Q974,label,language,fo,,Fólkaræðiliga Lýðveldið Kongo,,,
Q974,label,language,frp,,Rèpublica dèmocratica du Congô,,,
Q974,label,language,fy,,Demokratyske Republyk Kongo,,,
Q974,label,language,ga,,Poblacht Dhaonlathach an Chongó,,,
Q974,label,language,gag,,Kongo Demokratik Respublikası,,,
Q974,label,language,gan,,剛果民主共和國,,,
Q974,label,language,gd,,Poblachd Dheamocrach na Congo,,,
Q974,label,language,gl,,República Democrática do Congo,,,
Q974,label,language,gn,,Tetã Jekopytyjoja Kongo,,,
Q974,label,language,gv,,Pobblaght Gheynlagh ny Congo,,,
Q974,label,language,ha,,Jamhuriyar dimokuradiyya Kwango,,,
Q974,label,language,he,,הרפובליקה הדמוקרטית של קונגו,,,
Q974,label,language,hi,,कांगो लोकतान्त्रिक गणराज्य,,,
Q974,label,language,hif,,Democratic Republic of the Congo,,,
Q974,label,language,hr,,Demokratska Republika Kongo,,,
Q974,label,language,hsb,,Demokratiska republika Kongo,,,
Q974,label,language,ht,,Kongo,,,
Q974,label,language,hu,,Kongói Demokratikus Köztársaság,,,
Q974,label,language,hy,,Կոնգոյի Դեմոկրատական Հանրապետություն,,,
Q974,label,language,ia,,Republica Democratic del Congo,,,
Q974,label,language,id,,Republik Demokratik Kongo,,,
Q974,label,language,ie,,Democratic Republic de Congo,,,
Q974,label,language,ilo,,Demokratiko a Republika iti Kongo,,,
Q974,label,language,io,,Demokratial Republiko Kongo,,,
Q974,label,language,is,,Austur-Kongó,,,
Q974,label,language,ja,,コンゴ民主共和国,,,
Q974,label,language,jbo,,lo gugdecugu,,,
Q974,label,language,jv,,Republik Demokratik Kongo,,,
Q974,label,language,ka,,კონგოს დემოკრატიული რესპუბლიკა,,,
Q974,label,language,kg,,Repubilika ya Kongo ya Dimokalasi,,,
Q974,label,language,kk,,Конго Демократиялық Республикасы,,,
Q974,label,language,kn,,ಕಾಂಗೋ ಪ್ರಜಾಸತ್ತಾತ್ಮಕ ಗಣರಾಜ್ಯ,,,
Q974,label,language,ko,,콩고민주공화국,,,
Q974,label,language,ksh,,Demokratische Republek Kongo,,,
Q974,label,language,ku,,Kongoya Demokratîk,,,
Q974,label,language,kw,,Repoblek Werinel Kongo,,,
Q974,label,language,la,,Respublica Democratica Congensis,,,
Q974,label,language,lad,,Repuvlika Demokratika del Kongo,,,
Q974,label,language,lb,,Demokratesch Republik Kongo,,,
Q974,label,language,li,,Kongo,,,
Q974,label,language,lij,,Repubbrica Democratica do Congo,,,
Q974,label,language,lmo,,Repüblica Demucratica del Congo,,,
Q974,label,language,ln,,Kongó-Kinsásá,,,
Q974,label,language,lt,,Kongo Demokratinė Respublika,,,
Q974,label,language,ltg,,Konga Demokratiskuo Republika,,,
Q974,label,language,lv,,Kongo Demokrātiskā Republika,,,
Q974,label,language,mg,,Repoblika Demokratikan'i Kongo,,,
Q974,label,language,mk,,Демократска Република Конго,,,
Q974,label,language,ml,,ഡെമോക്രാറ്റിക് റിപബ്ലിക്ക് ഓഫ് കോംഗോ,,,
Q974,label,language,mn,,Бүгд Найрамдах Ардчилсан Конго Улс,,,
Q974,label,language,mr,,काँगोचे लोकशाही प्रजासत्ताक,,,
Q974,label,language,ms,,Republik Demokratik Congo,,,
Q974,label,language,my,,ကွန်ဂိုဒီမိုကရက်တစ်သမ္မတနိုင်ငံ,,,
Q974,label,language,na,,Ripubrikit Engame Kongo,,,
Q974,label,language,nah,,Tlācatlahtohcāyōtl Tlācatēpacholiztli in Congo,,,
Q974,label,language,nds,,Demokraatsche Republiek Kongo,,,
Q974,label,language,nn,,Den demokratiske republikken Kongo,,,
Q974,label,language,nov,,Demokrati Republike de Kongo,,,
Q974,label,language,nso,,Democratic Republic of the Congo,,,
Q974,label,language,nv,,Kéyah Káango Shádiʼááhjí Siʼánígíí,,,
Q974,label,language,oc,,Republica Democratica de Còngo,,,
Q974,label,language,or,,କଙ୍ଗୋ,,,
Q974,label,language,os,,Конгойы Демократон Республикæ,,,
Q974,label,language,pam,,Demokratika Republika ning Kongo,,,
Q974,label,language,pap,,Republika demokratika di Kongo,,,
Q974,label,language,pih,,Demokratik Repablik o' t' Kongo,,,
Q974,label,language,pl,,Demokratyczna Republika Konga,,,
Q974,label,language,pms,,Repùblica Democràtica dël Còngo,,,
Q974,label,language,pnb,,لوکراج کانگو,,,
Q974,label,language,pt,,República Democrática do Congo,,,
Q974,label,language,qu,,Kungu Runakamaq Republika,,,
Q974,label,language,ro,,Republica Democrată Congo,,,
Q974,label,language,ru,,Демократическая Республика Конго,,,
Q974,label,language,rue,,Демократічна Републіка Конґо,,,
Q974,label,language,sah,,Конго Демократ Республиката,,,
Q974,label,language,sc,,Repùbrica Democràtiga de su Congo,,,
Q974,label,language,scn,,Ripùbbrica Dimucràtica dû Congu,,,
Q974,label,language,sco,,Democratic Republic o the Congo,,,
Q974,label,language,se,,Kongo demokráhtalaš dásseváldi,,,
Q974,label,language,sg,,Kùodùorùosêse tî Ngunuhalëzo tî Kongö,,,
Q974,label,language,sh,,Demokratska Republika Kongo,,,
Q974,label,language,sk,,Kongo,,,
Q974,label,language,sl,,Demokratična republika Kongo,,,
Q974,label,language,sn,,Democratic Republic of the Congo,,,
Q974,label,language,so,,Jamhuuriyada Dimuqaraadiga Kongo,,,
Q974,label,language,sq,,Republika Demokratike e Kongos,,,
Q974,label,language,sr,,Демократска Република Конго,,,
Q974,label,language,ss,,IKhongo,,,
Q974,label,language,stq,,Demokratiske Republik Kongo,,,
Q974,label,language,su,,Républik Démokratik Kongo,,,
Q974,label,language,sv,,Kongo-Kinshasa,,,
Q974,label,language,sw,,Jamhuri ya Kidemokrasia ya Kongo,,,
Q974,label,language,szl,,Dymokratyczno Republika Kůnga,,,
Q974,label,language,ta,,காங்கோ மக்களாட்சிக் குடியரசு,,,
Q974,label,language,th,,สาธารณรัฐประชาธิปไตยคองโก,,,
Q974,label,language,tk,,Kongo Demokratik Respublikasy,,,
Q974,label,language,tl,,Demokratikong Republika ng Konggo,,,
Q974,label,language,tr,,Demokratik Kongo Cumhuriyeti,,,
Q974,label,language,ts,,Democratic Republic of the Congo,,,
Q974,label,language,tt,,Конго Демократик Җөмһүрияте,,,
Q974,label,language,ug,,كونگو دېموكراتىك جۇمھۇرىيىتى,,,
Q974,label,language,uk,,Демократична Республіка Конго,,,
Q974,label,language,ur,,جمہوری جمہوریہ کانگو,,,
Q974,label,language,uz,,Kongo Demokratik Respublikasi,,,
Q974,label,language,vec,,Republica Democratica del Congo,,,
Q974,label,language,vi,,Cộng hòa Dân chủ Congo,,,
Q974,label,language,vo,,Kongoän,,,
Q974,label,language,wa,,Republike democratike do Congo,,,
Q974,label,language,war,,Republika Demokatika han Congo,,,
Q974,label,language,wo,,Kongóo-Kinshasa,,,
Q974,label,language,wuu,,刚果民主共和国,,,
Q974,label,language,xal,,Конһлмудин Улс Орн,,,
Q974,label,language,yi,,דעמאקראטישע רעפובליק פון קאנגא,,,
Q974,label,language,yo,,Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò,,,
Q974,label,language,za,,Ganggoj Minzcuj Gunghozgoz,,,
Q974,label,language,zh,,刚果民主共和国,,,
Q974,label,language,zh-cn,,刚果民主共和国,,,
Q974,label,language,zh-hans,,刚果民主共和国,,,
Q974,label,language,zh-hant,,刚果民主共和国,,,
Q974,label,language,zu,,IRiphabliki Labantu weKongo,,,
Q974,label,language,roa-tara,,Repubbleche Democrateche d'u Congo,,,
Q974,label,language,nb,,Den demokratiske republikken Kongo,,,
Q974,label,language,vls,,Congo-Kinshasa,,,
Q974,label,language,pa,,ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ,,,
Q974,label,language,rw,,Repubulika Iharanira Demokarasi ya Kongo,,,
Q974,label,language,lez,,Демократиядин Республика Конго,,,
Q974,label,language,ki,,Democratic Republic of the Congo,,,
Q974,label,language,si,,කොංගෝ ප්‍රජාතන්ත්‍රවාදී ජනරජය,,,
Q974,label,language,sr-ec,,Демократска Република Конго,,,
Q974,label,language,sr-el,,Demokratska Republika Kongo,,,
Q974,label,language,bxr,,Ардчилсан Конго Улас,,,
Q974,label,language,ne,,प्रजातान्त्रिक गणतन्त्र कंगो,,,
Q974,label,language,ba,,Конго Демократик Республикаһы,,,
Q974,label,language,crh-latn,,Kongo,,,
Q974,label,language,gsw,,Demokratischi Republik Kongo,,,
Q974,label,language,vro,,Kongo Demokraatlik Vabariik,,,
Q974,label,language,sgs,,Kuonga Demuokratėnė Respoblėka,,,
Q974,label,language,lzh,,剛果民主共和國,,,
Q974,label,language,yue,,剛果民主共和國,,,
Q974,label,language,mt,,Repubblika Demokratika tal-Kongo,,,
Q974,label,language,new,,प्रजातान्त्रिक गणतन्त्र कङ्गो,,,
Q974,label,language,min,,Republik Demokratik Kongo,,,
Q974,label,language,sa,,कांगो गणराज्यम्,,,
Q974,label,language,om,,Riippabiliika Dimookiraatawaa Koongoo,,,
Q974,label,language,vep,,Kongon Demokratine Tazovaldkund,,,
Q974,label,language,cdo,,Congo Mìng-ciō Gê̤ṳng-huò-guók,,,
Q974,label,language,kab,,Tagduda Tamegdayt n Kungu,,,
Q974,label,language,pt-br,,República Democrática do Congo,,,
Q974,label,language,st,,Rephabliki ya Demokrasi ya Kongo,,,
Q974,label,language,mrj,,Конго Демократи Республика,,,
Q974,label,language,lrc,,کومره ولات مردم کیخا کنگو,,,
Q974,label,language,mzn,,زئیر,,,
Q974,label,language,bh,,कांगो डेमोक्रेटिक रिपब्लिक,,,
Q974,label,language,hak,,Kông-kó Mìn-chú Khiung-fò-koet,,,
Q974,label,language,azb,,کنقو دموکراتیک جومهوریتی,,,
Q974,label,language,ky,,Конго Демократиялык Республикасы,,,
Q974,label,language,xmf,,კონგოშ დემოკრატიული რესპუბლიკა,,,
,,,,,,,,
Q974,claim,P1151,wikibase-item,1,14614578,normal,,
Q974,claim,P30,wikibase-item,1,15,normal,,
Q974,claim,P47,wikibase-item,1,929,normal,,
Q974,claim,P47,wikibase-item,2,958,normal,,
Q974,claim,P47,wikibase-item,3,1036,normal,,
Q974,claim,P47,wikibase-item,4,1037,normal,,
Q974,claim,P47,wikibase-item,5,967,normal,,
Q974,claim,P47,wikibase-item,6,924,normal,,
Q974,claim,P47,wikibase-item,7,953,normal,,
Q974,claim,P47,wikibase-item,8,916,normal,,
Q974,claim,P47,wikibase-item,9,971,normal,,
Q974,claim,P47,wikibase-item,10,1049,normal,,
Q974,claim,P36,wikibase-item,1,3838,normal,,
Q974,claim,P31,wikibase-item,1,3624078,normal,,
Q974,claim,P31,wikibase-item,2,6256,normal,,
Q974,claim,P31,wikibase-item,3,160016,normal,+1960-09-20T00:00:00Z,
Q974,claim,P35,wikibase-item,1,57416,normal,,
Q974,claim,P37,wikibase-item,1,150,normal,,
Q974,claim,P38,wikibase-item,1,4734,normal,,
Q974,claim,P78,wikibase-item,1,40673,normal,,
Q974,claim,P41,commonsMedia,1,Flag of the Democratic Republic of the Congo.svg,normal,+2006-02-20T00:00:00Z,
Q974,claim,P41,commonsMedia,2,Flag of the Democratic Republic of the Congo (2003-2006).svg,normal,+2003-01-01T00:00:00Z,+2006-02-20T00:00:00Z
Q974,claim,P41,commonsMedia,3,Flag of the Democratic Republic of the Congo (1997-2003).svg,normal,+1997-01-01T00:00:00Z,+2003-01-01T00:00:00Z
Q974,claim,P85,wikibase-item,1,222294,normal,,
Q974,claim,P138,wikibase-item,1,3503,normal,,
Q974,claim,P297,string,1,CD,normal,,
Q974,claim,P298,string,1,COD,normal,,
Q974,claim,P299,string,1,180,normal,,
Q974,claim,P227,string,1,4067357-1,normal,,
Q974,claim,P94,commonsMedia,1,Coat of arms of the Democratic Republic of the Congo.svg,normal,,
Q974,claim,P242,commonsMedia,1,LocationDRCongo.svg,normal,,
Q974,claim,P474,string,1,+243,normal,,
Q974,claim,P6,wikibase-item,1,57883,normal,,
Q974,claim,P373,string,1,Democratic Republic of the Congo,normal,,
Q974,claim,P691,string,1,ge134279,normal,,
Q974,claim,P163,wikibase-item,1,164584,normal,,
