Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q884,alias,language,nb,1,Syd-Korea,,,
Q884,alias,language,nb,2,Republikken Korea,,,
Q884,alias,language,be-tarask,1,Паўднёвая Карэя,,,
Q884,alias,language,nan,1,Tāi-hân-bîn-kok,,,
Q884,alias,language,nan,2,Lâm-hân,,,
Q884,alias,language,nan,3,Tāi-hân Bîn-kok,,,
Q884,alias,language,es,1,República de Corea,,,
Q884,alias,language,ja,1,韓国,,,
Q884,alias,language,it,1,Repubblica di Corea,,,
Q884,alias,language,ko,1,한국,,,
Q884,alias,language,ko,2,남한,,,
Q884,alias,language,ko,3,남조선,,,
Q884,alias,language,en,1,Republic of Korea,,,
Q884,alias,language,en,2,ROK,,,
Q884,alias,language,en,3,대한민국,,,
Q884,alias,language,en,4,大韓民國,,,
Q884,alias,language,en,5,Daehan Minguk,,,
Q884,alias,language,en,6,The Republic of Great Han,,,
Q884,alias,language,en,7,Republic of Great Han,,,
Q884,alias,language,en,8,Korea,,,
Q884,alias,language,en,9,Koryŏ,,,
Q884,alias,language,en,10,kr,,,
Q884,alias,language,en,11,Rep. Korea,,,
Q884,alias,language,nl,1,Republiek Korea,,,
Q884,alias,language,de,1,Republik Korea,,,
Q884,alias,language,de,2,Süd-Korea,,,
Q884,alias,language,de,3,Hanguk,,,
Q884,alias,language,de,4,Suedkorea,,,
Q884,alias,language,de,5,대한민국,,,
Q884,alias,language,de,6,大韓民國,,,
Q884,alias,language,de,7,Daehan Minguk,,,
Q884,alias,language,zh-hant,1,韓國,,,
Q884,alias,language,zh-hant,2,南韓,,,
Q884,alias,language,fi,1,Etelä-Korea,,,
Q884,alias,language,cy,1,Gweriniaeth Corea,,,
Q884,alias,language,hu,1,Koreai Köztársaság,,,
Q884,alias,language,zh-hk,1,南韓,,,
Q884,alias,language,zh-hk,2,韓國,,,
Q884,alias,language,he,1,דרום-קוריאה,,,
Q884,alias,language,he,2,דרום קוריאה,,,
Q884,alias,language,he,3,רפובליקת קוריאה,,,
Q884,alias,language,ru,1,Южная Корея,,,
Q884,alias,language,el,1,Δημοκρατία της Κορέας,,,
Q884,alias,language,mk,1,Република Кореја,,,
Q884,alias,language,gl,1,República de Corea,,,
Q884,alias,language,zh-hans,1,韩国,,,
