Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q36004,alias,language,zh,科科斯（基林）群岛,,,
Q36004,alias,language,zh,可可群岛,,,
Q36004,alias,language,zh,可可斯群島,,,
Q36004,alias,language,zh,科科斯群岛,,,
Q36004,alias,language,zh,科科斯群島,,,
Q36004,alias,language,zh,科科斯(基林)群岛,,,
Q36004,alias,language,pl,Wyspy Keelinga,,,
Q36004,alias,language,eu,Cocos Uhartea,,,
Q36004,alias,language,es,Isla de Cocos,,,
Q36004,alias,language,es,Coco Islands,,,
Q36004,alias,language,es,Islas Keeling,,,
Q36004,alias,language,es,Keeling,,,
Q36004,alias,language,es,Las Islas Cocos,,,
Q36004,alias,language,es,Keeling Islands,,,
Q36004,alias,language,ta,கொகோசு (கீலிங்) தீவுகள்,,,
Q36004,alias,language,ta,கொக்கோசு தீவுகள்,,,
Q36004,alias,language,ta,கொக்கோஸ் தீவுகள்,,,
Q36004,alias,language,ta,கொக்கோஸ்,,,
Q36004,alias,language,ta,கோக்கோஸ் (கீலிங்) தீவுகள்,,,
Q36004,alias,language,ta,கீலிங் தீவுகள்,,,
Q36004,alias,language,ta,கொக்கோஸ் (கீலிங்) தீவுகள்,,,
Q36004,alias,language,ta,கொகோசு,,,
Q36004,alias,language,af,Cocos (Keeling) Eilande,,,
Q36004,alias,language,af,Cocos (Keeling)-eilande,,,
Q36004,alias,language,hu,Keeling-szigetek,,,
Q36004,alias,language,hu,Kókusz-szigetek,,,
Q36004,alias,language,et,Kookosesaared,,,
Q36004,alias,language,et,Põhja Keeling,,,
Q36004,alias,language,et,Keelingi saared,,,
Q36004,alias,language,et,Lõuna-Keeling,,,
Q36004,alias,language,et,Põhja-Kookosesaar,,,
Q36004,alias,language,et,Kookossaarte ala,,,
Q36004,alias,language,et,Lõuna-Kookossaared,,,
Q36004,alias,language,et,North Keeling,,,
Q36004,alias,language,el,Κόκος,,,
Q36004,alias,language,el,Κόκος Νήσοι,,,
Q36004,alias,language,el,Νήσοι Κήλινγκ,,,
Q36004,alias,language,el,Κόκος Κήλινγκ Νήσοι,,,
Q36004,alias,language,el,Νήσοι Κόκος,,,
Q36004,alias,language,nl,Cocos (Keeling) Eilanden,,,
Q36004,alias,language,nl,Keeling Eilanden,,,
Q36004,alias,language,nl,Cocos eilanden,,,
Q36004,alias,language,nl,Keelingeilanden,,,
Q36004,alias,language,nl,Keeling islands,,,
Q36004,alias,language,nl,Kokoseilanden,,,
Q36004,alias,language,nl,Cocos Islands,,,
Q36004,alias,language,sv,Cocos Islands,,,
Q36004,alias,language,sv,Keeling Islands,,,
Q36004,alias,language,sv,Cocosöarna,,,
Q36004,alias,language,ar,قائمة جزر جزر كوكس,,,
Q36004,alias,language,ar,جزر كيلينغ,,,
Q36004,alias,language,ar,جزر كوكوس,,,
Q36004,alias,language,pt,Território das Ilhas Cocos,,,
Q36004,alias,language,pt,Território das Ilhas Keeling,,,
Q36004,alias,language,pt,Ilhas Keeling,,,
Q36004,alias,language,eo,Kokosinsulo,,,
Q36004,alias,language,eo,Cocos Islands,,,
Q36004,alias,language,eo,Keeling islands,,,
Q36004,alias,language,su,Kapuloan Kokos,,,
Q36004,alias,language,ru,Кокосовые (Килинг) острова,,,
Q36004,alias,language,ru,Кокосовы Острова,,,
Q36004,alias,language,ru,Килинг,,,
Q36004,alias,language,sr,Острва Килинг,,,
Q36004,alias,language,sr,Cocos Islands,,,
Q36004,alias,language,tr,Kokos Adaları,,,
Q36004,alias,language,tr,Cocos (Keeling) Adaları,,,
Q36004,alias,language,tr,Cocos (Keeling) Islands,,,
Q36004,alias,language,fi,Keeling-saaret,,,
Q36004,alias,language,fi,CCK,,,
Q36004,alias,language,fi,Cocos-saaret,,,
Q36004,alias,language,fi,Keelingsaaret,,,
Q36004,alias,language,uk,Територія Кокосових (Кілінгових) островів,,,
Q36004,alias,language,uk,Кокосові (Кілінгові) острови,,,
Q36004,alias,language,be-tarask,Какосавыя выспы,,,
Q36004,alias,language,nn,Kokos-øyane,,,
Q36004,alias,language,nn,Keelingøyane,,,
Q36004,alias,language,nn,Kokosøyene,,,
Q36004,alias,language,nn,Kokos-øyene,,,
Q36004,alias,language,nn,Cocos Islands,,,
Q36004,alias,language,nn,Keeling Islands,,,
Q36004,alias,language,nn,Cocos (Keeling) Islands,,,
Q36004,alias,language,da,Kokos- og Keelingøerne,,,
Q36004,alias,language,da,Cocos- og Keelingøerne,,,
Q36004,alias,language,da,Keelingøerne,,,
Q36004,alias,language,da,Kokosøerne,,,
Q36004,alias,language,nan,Cocos kap Keeling Kûn-tó,,,
Q36004,alias,language,nan,Cocos (Keeling) Islands,,,
Q36004,alias,language,fr,Iles Cocos,,,
Q36004,alias,language,fr,Îles Keeling,,,
Q36004,alias,language,fr,Îles Cocos ou Keeling,,,
Q36004,alias,language,yo,Àwọn Erékùsù Kókósì,,,
Q36004,alias,language,yo,The Cocos (Keeling) Islands,,,
Q36004,alias,language,yo,Cocos Islands,,,
Q36004,alias,language,yo,Keeling Islands,,,
Q36004,alias,language,yo,Cocos (Keeling) Islands,,,
Q36004,alias,language,lv,Kīlinga salas,,,
Q36004,alias,language,lv,Kokosa salas,,,
Q36004,alias,language,lv,Kokosu Salas,,,
Q36004,alias,language,lv,CCK,,,
Q36004,alias,language,it,Isole Keeling,,,
Q36004,alias,language,it,Isole Cocos,,,
Q36004,alias,language,it,Keeling,,,
Q36004,alias,language,it,Cocos e Keeling,,,
Q36004,alias,language,it,Cocos,,,
Q36004,alias,language,it,Cocos Keeling Islands,,,
Q36004,alias,language,it,Cocos (Keeling) Islands,,,
Q36004,alias,language,de,Keeling-Inseln,,,
Q36004,alias,language,de,Keelinginseln,,,
Q36004,alias,language,de,Cocos-Keeling-Islands,,,
Q36004,alias,language,de,Cocos-Inseln,,,
Q36004,alias,language,de,Cocos-Keeling-Inseln,,,
Q36004,alias,language,de,Cocos Islands,,,
Q36004,alias,language,de,Keeling Islands,,,
Q36004,alias,language,id,The Cocos (Keeling) Islands,,,
Q36004,alias,language,id,Cocos Islands,,,
Q36004,alias,language,id,Cocos (Keeling) Islands,,,
Q36004,alias,language,ja,キーリング諸島,,,
Q36004,alias,language,ja,ココス島,,,
Q36004,alias,language,ja,ココス (キーリング) 諸島,,,
Q36004,alias,language,vi,Quần đảo Keeling,,,
Q36004,alias,language,vi,Quần đảo Cocos (Keeling)s,,,
Q36004,alias,language,sh,Kokos (Kiling) Ostrva,,,
Q36004,alias,language,sh,Keelingovi otoci,,,
Q36004,alias,language,sh,Kokosovi (Keeling) Otoci,,,
Q36004,alias,language,sh,Kokosova ostrva,,,
Q36004,alias,language,sh,Kokosovi (Keelingovi) Otoci,,,
Q36004,alias,language,sh,Kilingova ostrva,,,
Q36004,alias,language,wo,Cocos (Keeling) Islands,,,
Q36004,alias,language,cu,Кокосовꙑє острова,,,
Q36004,alias,language,hi,कोकोस द्वीपसमूह,,,
Q36004,alias,language,hi,कोकोज (कीलिंग) द्वीप समूह,,,
Q36004,alias,language,wuu,科科斯（基林）群岛,,,
Q36004,alias,language,lzh,Cocos Adaları,,,
Q36004,alias,language,sk,Territory of Keeling Islands,,,
Q36004,alias,language,sk,Territory of Cocos (Keeling) Islands,,,
Q36004,alias,language,sk,Territory of Cocos Islands,,,
Q36004,alias,language,sk,Cocos Islands,,,
Q36004,alias,language,sk,Keeling Islands,,,
Q36004,alias,language,mn,Кокос (Кийлинг) Арал,,,
Q36004,alias,language,th,Cocos Islands,,,
Q36004,alias,language,th,Cocos (Keeling) Islands,,,
Q36004,alias,language,ca,Illes de Cocos,,,
Q36004,alias,language,cy,Ynysoedd Keeling,,,
Q36004,alias,language,war,Cocos (Keeling) Islands,,,
Q36004,alias,language,cs,Keelingovy ostrovy,,,
Q36004,alias,language,fa,جزایر نارگیل,,,
Q36004,alias,language,fa,جزایر کیلینگ,,,
Q36004,alias,language,fa,جزایر کوکو,,,
Q36004,alias,language,fa,جزایر (کیلینگ) کوکو,,,
