cid,name,type,notnull,dflt_value,pk
0,"Country Name To Identify",TEXT,0,NULL,0
1,"Matching Country Name",TEXT,0,NULL,0
2,"ISO Country Code",TEXT,0,NULL,0
3,"Matching Method",TEXT,0,NULL,0
