cid,name,type,notnull,dflt_value,pk
0,Group,TEXT,0,NULL,0
1,Country,TEXT,0,NULL,0
2,"Flag Picture URL",TEXT,0,NULL,0
3,"Flag URL",TEXT,0,NULL,0
4,"Country URL",TEXT,0,NULL,0
