cid,name,type,notnull,dflt_value,pk
0,"ISO Country Code",TEXT,0,NULL,0
1,"English Country Name",TEXT,0,NULL,0
2,"French Country Name",TEXT,0,NULL,0
3,"Date of Membership",TEXT,0,NULL,0
