Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q115,alias,language,fr,République fédérale démocratique d'Éthiopie,,,
Q115,alias,language,be-tarask,Эфіопія,,,
Q115,alias,language,be-tarask,Эфіёпія,,,
Q115,alias,language,nan,Ethiopia,,,
Q115,alias,language,ca,Abissínia,,,
Q115,alias,language,ca,República Democràtica Federal d'Etiòpia,,,
Q115,alias,language,ca,Etiopia,,,
Q115,alias,language,ca,Imperi abissini,,,
Q115,alias,language,he,חבש,,,
Q115,alias,language,it,Repubblica Federale Democratica d'Etiopia,,,
Q115,alias,language,pt-br,República Democrática Federal da Etiópia,,,
Q115,alias,language,sr,Абисинија,,,
Q115,alias,language,ru,Федеративная Демократическая Республика Эфиопия,,,
Q115,alias,language,ru,Абиссиния,,,
Q115,alias,language,ang,Æthiopia,,,
Q115,alias,language,hu,Etióp Szövetségi Demokratikus Köztársaság,,,
Q115,alias,language,en,Federal Democratic Republic of Ethiopia,,,
Q115,alias,language,en,et,,,
Q115,alias,language,el,Ομοσπονδιακή Δημοκρατία της Αιθιοπίας,,,
Q115,alias,language,gl,República Democrática Federal de Etiopía,,,
Q115,alias,language,ja,エチオピア連邦民主共和国,,,
,,,,,,,
Q115,description,language,en,country in Africa,,,
Q115,description,language,fr,État indépendant situé dans la Corne de l'Afrique,,,
Q115,description,language,de,Staat in Ostafrika,,,
Q115,description,language,es,país de África,,,
Q115,description,language,pl,państwo położone we wschodniej Afryce,,,
Q115,description,language,it,Stato dell'Africa,,,
Q115,description,language,nb,land i Øst-Afrika,,,
Q115,description,language,ru,страна в Африке,,,
Q115,description,language,ca,república democràtica federal de l'Àfrica nord-oriental,,,
Q115,description,language,fi,valtio Itä-Afrikassa,,,
Q115,description,language,he,מדינה באפריקה,,,
Q115,description,language,ilo,pagilian idiay Aprika,,,
Q115,description,language,pt-br,país da África,,,
Q115,description,language,ta,ஆப்பிரிக்க நாடு,,,
Q115,description,language,zh-hans,非洲国家,,,
Q115,description,language,zh,非洲国家,,,
Q115,description,language,zh-hant,非洲國家,,,
Q115,description,language,sr,држава у источној Африци,,,
Q115,description,language,sr-ec,држава у источној Африци,,,
Q115,description,language,sr-el,država u istočnoj Africi,,,
Q115,description,language,ja,アフリカの国家,,,
Q115,description,language,am,tsegaye gebiremedihin,,,
Q115,description,language,uk,держава на сході Африки,,,
Q115,description,language,hu,állam Kelet-Afrikában,,,
Q115,description,language,el,χώρα της ανατολικής Αφρικής,,,
Q115,description,language,gl,país africano,,,
Q115,description,language,nl,land in het oosten van Afrika,,,
,,,,,,,
Q115,label,language,en,Ethiopia,,,
Q115,label,language,fr,Éthiopie,,,
Q115,label,language,ru,Эфиопия,,,
Q115,label,language,pl,Etiopia,,,
Q115,label,language,de,Äthiopien,,,
Q115,label,language,es,Etiopía,,,
Q115,label,language,be-tarask,Этыёпія,,,
Q115,label,language,nan,Ityop'iya,,,
Q115,label,language,it,Etiopia,,,
Q115,label,language,en-ca,Ethiopia,,,
Q115,label,language,en-gb,Ethiopia,,,
Q115,label,language,ta,எதியோப்பியா,,,
Q115,label,language,fi,Etiopia,,,
Q115,label,language,da,Etiopien,,,
Q115,label,language,zh,埃塞俄比亚,,,
Q115,label,language,ml,എത്യോപ്യ,,,
Q115,label,language,cs,Etiopie,,,
Q115,label,language,eo,Etiopio,,,
Q115,label,language,nl,Ethiopië,,,
Q115,label,language,ace,Ethiopia,,,
Q115,label,language,af,Ethiopië,,,
Q115,label,language,gsw,Ethiopie,,,
Q115,label,language,am,ኢትዮጵያ,,,
Q115,label,language,an,Etiopia,,,
Q115,label,language,ar,إثيوبيا,,,
Q115,label,language,arc,ܟܘܫ,,,
Q115,label,language,arz,اثيوبيا,,,
Q115,label,language,ast,Etiopía,,,
Q115,label,language,av,Хабашистан,,,
Q115,label,language,az,Efiopiya,,,
Q115,label,language,ba,Эфиопия,,,
Q115,label,language,bcl,Etyopya,,,
Q115,label,language,be,Эфіопія,,,
Q115,label,language,bg,Етиопия,,,
Q115,label,language,bjn,Ethiopia,,,
Q115,label,language,bm,Etiopia,,,
Q115,label,language,bn,ইথিওপিয়া,,,
Q115,label,language,bo,ཨི་ཐི་ཨོ་པི་ཡ།,,,
Q115,label,language,bpy,ইথিওপিয়া,,,
Q115,label,language,br,Etiopia,,,
Q115,label,language,bs,Etiopija,,,
Q115,label,language,ca,Etiòpia,,,
Q115,label,language,ceb,Etiopia,,,
Q115,label,language,ckb,ئەتیۆپیا,,,
Q115,label,language,cu,Єѳїопїꙗ,,,
Q115,label,language,cv,Эфиопи,,,
