Alpha-2 ISO Country Code,Numeric ISO Country Code,Alpha-3 ISO Country Code,FIPS 10,Internet TLD
TZ,834,TZA,,
UA,804,UKR,UP,
UG,800,UGA,,
UM,581,UMI,,
US,840,USA,,
UY,858,URY,,
UZ,860,UZB,,
VA,336,VAT,VT,
VC,670,VCT,,
VE,862,VEN,,
VG,092,VGB,VI,
VI,850,VIR,VQ,
VN,704,VNM,VM,
VU,548,VUT,NH,
WF,876,WLF,,
WS,882,WSM,,
XA,973,XAA,,
XB,974,XBB,,
XC,975,XCC,,
XD,976,XDD,,
XE,977,XEE,,
XF,978,XFF,,
XG,979,XGG,,
XH,980,XHH,,
XI,981,XII,,
XJ,982,XJJ,,
XK,983,XKK,,
XL,984,XLL,,
XM,985,XMM,,
XN,986,XNN,,
XO,987,XOO,,
XP,988,XPP,,
XQ,989,XQQ,,
XR,990,XRR,,
XS,991,XSS,,
XT,992,XTT,,
XU,993,XUU,,
XV,994,XVV,,
XW,995,XWW,,
XX,996,XXX,,
XY,997,XYY,,
XZ,998,XZZ,,
YD,720,YMD,,
YE,887,YEM,YM,
YT,175,MYT,MF,
YU,891,YUG,,
ZA,710,ZAF,SF,
ZM,894,ZMB,ZA,
ZR,180,ZAR,,
ZW,716,ZWE,ZI,
ZZ,999,ZZZ,,ACADEMY ACCOUNTANTS ACTIVE ACTOR AERO AGENCY AIRFORCE ARCHI ARMY ARPA ASIA ASSOCIATES ATTORNEY AUCTION AUDIO AUTOS AXA BAR BARGAINS BAYERN BEER BERLIN BEST BID BIKE BIO BIZ BLACK BLACKFRIDAY BLUE BMW BOUTIQUE BRUSSELS BUILD BUILDERS BUZZ BZH CAB CAMERA CAMP CANCERRESEARCH CAPETOWN CAPITAL CARDS CARE CAREER CAREERS CASH CAT CATERING CENTER CEO CHEAP CHRISTMAS CHURCH CITIC CITY CLAIMS CLEANING CLINIC CLOTHING CLUB CODES COFFEE COLLEGE COLOGNE COM COMMUNITY COMPANY COMPUTER CONDOS CONSTRUCTION CONSULTING CONTRACTORS COOKING COOL COOP COUNTRY CREDIT CREDITCARD CRUISES CUISINELLA DANCE DATING DEALS DEGREE DEMOCRAT DENTAL DENTIST DESI DIAMONDS DIGITAL DIRECT DIRECTORY DISCOUNT DNP DOMAINS DURBAN EDU EDUCATION EMAIL ENGINEER ENGINEERING ENTERPRISES EQUIPMENT ESTATE EUS EVENTS EXCHANGE EXPERT EXPOSED FAIL FARM FEEDBACK FINANCE FINANCIAL FISH FISHING FITNESS FLIGHTS FLORIST FOO FOUNDATION FROGANS FUND FURNITURE FUTBOL GAL GALLERY GENT GIFT GIVES GLASS GLOBAL GLOBO GMO GOP GOV GRAPHICS GRATIS GREEN GRIPE GUIDE GUITARS GURU HAMBURG HAUS HEALTHCARE HIPHOP HIV HOLDINGS HOLIDAY HOMES HORSE HOST HOUSE IMMOBILIEN INDUSTRIES INFO INK INSTITUTE INSURE INT INTERNATIONAL INVESTMENTS JETZT JOBS JOBURG JUEGOS KAUFEN KIM KITCHEN KIWI KOELN KRD KRED LACAIXA LAND LAWYER LEASE LGBT LIFE LIGHTING LIMITED LIMO LINK LOANS LONDON LOTTO LUXE LUXURY MAISON MANAGEMENT MANGO MARKET MARKETING MEDIA MEET MELBOURNE MENU MIAMI MIL MINI MOBI MODA MOE MONASH MORTGAGE MOSCOW MOTORCYCLES MUSEUM NAGOYA NAME NAVY NET NEUSTAR NGO NHK NINJA NRA NRW NYC OKINAWA ONG ONL ORG ORGANIC OVH PARIS PARTNERS PARTS PHOTO PHOTOGRAPHY PHOTOS PHYSIO PICS PICTURES PINK PLACE PLUMBING POST PRAXI PRESS PRO PRODUCTIONS PROPERTIES PUB QPON QUEBEC REALTOR RECIPES RED REHAB REISE REISEN REN RENTALS REPAIR REPORT REPUBLICAN REST REVIEWS RICH RIO ROCKS RODEO RUHR RYUKYU SAARLAND SCB SCHMIDT SCHULE SCOT SERVICES SEXY SHIKSHA SHOES SINGLES SOCIAL SOFTWARE SOHU SOLAR SOLUTIONS SOY SPACE SPIEGEL SUPPLIES SUPPLY SUPPORT SURF SURGERY SUZUKI SYSTEMS TATTOO TAX TECHNOLOGY TEL TIENDA TIPS TIROL TODAY TOKYO TOOLS TOP TOWN TOYS TRADE TRAINING TRAVEL UNIVERSITY UNO VACATIONS VEGAS VENTURES VERSICHERUNG VET VIAJES VILLAS VISION VLAANDEREN VODKA VOTE VOTING VOTO VOYAGE WANG WATCH WEBCAM WEBSITE WED WHOSWHO WIEN WIKI WILLIAMHILL WORKS WTC WTF XN--3BST00M XN--3DS443G XN--3E0B707E XN--45BRJ9C XN--4GBRIM XN--55QW42G XN--55QX5D XN--6FRZ82G XN--6QQ986B3XL XN--80ADXHKS XN--80AO21A XN--80ASEHDB XN--80ASWG XN--90A3AC XN--C1AVG XN--CG4BKI XN--CLCHC0EA0B2G2A9GCD XN--CZR694B XN--CZRU2D XN--D1ACJ3B XN--FIQ228C5HS XN--FIQ64B XN--FIQS8S XN--FIQZ9S XN--FPCRJ9C3D XN--FZC2C9E2C XN--GECRJ9C XN--H2BRJ9C XN--I1B6B1A6A2E XN--IO0A7I XN--J1AMH XN--J6W193G XN--KPRW13D XN--KPRY57D XN--KPUT3I XN--L1ACC XN--LGBBAT1AD8J XN--MGB9AWBF XN--MGBA3A4F16A XN--MGBAAM7A8H XN--MGBAB2BD XN--MGBAYH7GPA XN--MGBBH1A71E XN--MGBC0A9AZCG XN--MGBERP4A5D4AR XN--MGBX4CD0AB XN--NGBC5AZD XN--NQV7F XN--NQV7FS00EMA XN--O3CW4H XN--OGBPF8FL XN--P1AI XN--PGBS0DH XN--Q9JYB4C XN--RHQV96G XN--S9BRJ9C XN--SES554G XN--UNUP4Y XN--WGBH1C XN--WGBL6A XN--XKC2AL3HYE2A XN--XKC2DL3A5EE0H XN--YFRO4I67O XN--YGBI2AMMX XN--ZFR164B XXX XYZ YACHTS YANDEX YOKOHAMA ZONE
