"ISO Country Code","English Country Name","French Country Name","Date of Membership"
"NER","Niger","Niger","1960-10-28"
"NGA","Nigeria","Nigéria","1960-11-30"
"NIU","Niue","Nioué","1996-05-31"
"NOR","Norway","Norvège","1948-12-09"
"OMN","Oman","Oman","1975-01-03"
"PAK","Pakistan","Pakistan","1950-04-11"
"PAN","Panama","Panama","1967-09-12"
"PNG","Papua New Guinea","Papouasie-Nouvelle-Guinée","1975-12-15"
"PRY","Paraguay","Paraguay","1950-09-15"
"PER","Peru","Pérou","1949-12-30"
"PHL","Philippines","Philippines","1949-04-05"
"POL","Poland","Pologne","1950-05-16"
"PRT","Portugal","Portugal","1951-01-15"
"QAT","Qatar","Qatar","1975-04-04"
"KOR","Republic of Korea","République de Corée","1956-02-15"
"MDA","Republic of Moldova","République de Moldova","1994-11-21"
"ROU","Romania","Roumanie","1948-08-18"
"RUS","Russian Federation","Fédération de Russie","1948-04-02"
"RWA","Rwanda","Rwanda","1963-02-04"
"LCA","Saint Lucia","Sainte-Lucie","1981-03-02"
"WSM","Samoa","Samoa","1995-07-11"
"STP","Sao Tome and Principe","Sao Tomé-et-Principe","1976-11-23"
"SAU","Saudi Arabia","Arabie saoudite","1959-02-26"
"SEN","Senegal","Sénégal","1960-11-11"
"SRB","Serbia","Serbie","2001-03-23"
"SYC","Seychelles","Seychelles","1977-02-15"
"SLE","Sierra Leone","Sierra Leone","1962-03-30"
"SGP","Singapore","Singapour","1966-01-24"
"SVK","Slovakia","Slovaquie","1993-02-11"
"SVN","Slovenia","Slovénie","1992-08-20"
"SLB","Solomon Islands","Iles Salomon","1985-05-06"
"SOM","Somalia","Somalie","1964-03-02"
"ZAF","South Africa","Afrique du Sud","1950-01-17"
"SSD","South Sudan","Soudan du Sud","2012-12-14"
"ESP","Spain","Espagne","1951-02-27"
"LKA","Sri Lanka","Sri Lanka","1951-05-23"
"SDN","Sudan","Soudan","1956-12-03"
"SUR","Suriname","Suriname","1976-07-26"
"SWZ","Swaziland","Swaziland","1982-11-02"
"SWE","Sweden","Suède","1948-11-10"
"CHE","Switzerland","Suisse","1949-02-23"
"SYR","Syrian Arab Republic","République arabe syrienne","1952-07-16"
"TJK","Tajikistan","Tadjikistan","1993-08-10"
"THA","Thailand","Thaïlande","1949-07-11"
"MKD","The former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine","1993-06-01"
"TLS","Timor-Leste","Timor-Leste","2009-12-04"
"TGO","Togo","Togo","1960-10-28"
"TON","Tonga","Tonga","1996-02-25"
"TTO","Trinidad and Tobago","Trinité-et-Tobago","1963-02-01"
"TUN","Tunisia","Tunisie","1957-01-22"
"TUR","Turkey","Turquie","1949-08-05"
"TKM","Turkmenistan","Turkménistan","1992-12-04"
"TUV","Tuvalu","Tuvalu","2012-09-22"
"UGA","Uganda","Ouganda","1963-03-15"
"UKR","Ukraine","Ukraine","1948-04-12"
"ARE","United Arab Emirates","Emirats Arabes Unis","1986-12-17"
"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","1948-12-14"
"TZA","United Republic of Tanzania","République-Unie de Tanzanie","1962-09-14"
"USA","United States of America","Etats-Unis d'Amérique","1949-05-04"
"URY","Uruguay","Uruguay","1951-01-11"
"UZB","Uzbekistan","Ouzbékistan","1992-12-23"
"VUT","Vanuatu","Vanuatu","1982-06-24"
"VEN","Venezuela, Bolivarian Republic of","Venezuela, République bolivarienne du","1950-06-16"
"VNM","Viet Nam","Viet Nam","1975-07-08"
"YEM","Yemen","Yémen","1971-07-08"
"ZMB","Zambia","Zambie","1964-12-28"
"ZWE","Zimbabwe","Zimbabwe","1981-01-12"
