Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q958,alias,language,fr,République du Soudan du Sud,,,
Q958,alias,language,fr,Sud-Soudan,,,
Q958,alias,language,es,República de Sudán del Sur,,,
Q958,alias,language,en,Republic of South Sudan,,,
Q958,alias,language,en,Southern Sudan,,,
Q958,alias,language,en,ss,,,
Q958,alias,language,pt-br,República do Sudão do Sul,,,
Q958,alias,language,fi,Etelä-Sudanin tasavalta,,,
Q958,alias,language,ru,Республика Южный Судан,,,
Q958,alias,language,hu,Dél-szudáni Köztársaság,,,
Q958,alias,language,zh-hans,南苏丹共和国,,,
,,,,,,,
Q958,description,language,en,country in Africa,,,
Q958,description,language,fr,pays d'Afrique du Nord,,,
Q958,description,language,es,País de África,,,
Q958,description,language,it,stato dell'Africa,,,
Q958,description,language,ru,страна в Африке,,,
Q958,description,language,de,Binnenstaat in Afrika,,,
Q958,description,language,he,מדינה,,,
Q958,description,language,nb,land i Sentral-Afrika,,,
Q958,description,language,pt-br,país da África,,,
Q958,description,language,nl,land in Afrika,,,
Q958,description,language,fi,valtio Itä-Afrikassa,,,
Q958,description,language,ilo,pagilian idiay Aprika,,,
Q958,description,language,sr,држава у средњој Африци,,,
Q958,description,language,sr-ec,држава у средњој Африци,,,
Q958,description,language,sr-el,država u srednjoj Africi,,,
Q958,description,language,pt,país africano,,,
Q958,description,language,zh-hans,非洲东部的内陆国家,,,
Q958,description,language,hu,állam Kelet-Afrikában,,,
,,,,,,,
Q958,label,language,en,South Sudan,,,
Q958,label,language,fr,Soudan du Sud,,,
Q958,label,language,es,Sudán del Sur,,,
Q958,label,language,en-ca,South Sudan,,,
Q958,label,language,en-gb,South Sudan,,,
Q958,label,language,nl,Zuid-Soedan,,,
Q958,label,language,de,Südsudan,,,
Q958,label,language,pl,Sudan Południowy,,,
Q958,label,language,af,Suid-Soedan,,,
Q958,label,language,am,ደቡብ ሱዳን,,,
Q958,label,language,an,Sudán d'o Sud,,,
Q958,label,language,ang,Sūþsudan,,,
Q958,label,language,ar,جنوب السودان,,,
Q958,label,language,arc,ܬܝܡܢܐ ܕܣܘܕܐܢ,,,
Q958,label,language,arz,جنوب السودان,,,
Q958,label,language,ast,Sudán del Sur,,,
Q958,label,language,av,Югалъулаб Судан,,,
Q958,label,language,az,Cənubi Sudan,,,
Q958,label,language,bcl,Habagatan Sudan,,,
Q958,label,language,be,Паўднёвы Судан,,,
Q958,label,language,bg,Южен Судан,,,
Q958,label,language,bn,দক্ষিণ সুদান,,,
Q958,label,language,br,Soudan ar Su,,,
Q958,label,language,bs,Južni Sudan,,,
Q958,label,language,ca,Sudan del Sud,,,
Q958,label,language,ceb,Habagatang Sudan,,,
Q958,label,language,ckb,باشووری سوودان,,,
Q958,label,language,cs,Jižní Súdán,,,
Q958,label,language,cv,Кăнтăр Судан,,,
Q958,label,language,cy,De Sudan,,,
Q958,label,language,da,Sydsudan,,,
Q958,label,language,diq,Sudanê Veroci,,,
Q958,label,language,dsb,Pódpołdnjowy Sudan,,,
Q958,label,language,el,Νότιο Σουδάν,,,
Q958,label,language,eo,Sud-Sudano,,,
Q958,label,language,et,Lõuna-Sudaan,,,
Q958,label,language,eu,Hego Sudan,,,
Q958,label,language,ext,Sudán del Sul,,,
Q958,label,language,fa,سودان جنوبی,,,
Q958,label,language,fi,Etelä-Sudan,,,
Q958,label,language,fo,Suðursudan,,,
Q958,label,language,frr,Süüdsudaan,,,
Q958,label,language,fy,Súd-Sûdan,,,
Q958,label,language,ga,An tSúdáin Theas,,,
Q958,label,language,gd,Sudàn a Deas,,,
Q958,label,language,gl,Sudán do Sur - South Sudan,,,
Q958,label,language,gv,Yn Toodaan Yiass,,,
Q958,label,language,he,דרום סודאן,,,
Q958,label,language,hi,दक्षिण सूडान,,,
Q958,label,language,hr,Južni Sudan,,,
Q958,label,language,hsb,Južny Sudan,,,
Q958,label,language,hu,Dél-Szudán,,,
Q958,label,language,hy,Հարավային Սուդան,,,
Q958,label,language,ia,Sudan del Sud,,,
Q958,label,language,id,Sudan Selatan,,,
Q958,label,language,ie,Sud-Sudan,,,
Q958,label,language,io,Sud-Sudan,,,
Q958,label,language,is,Suður-Súdan,,,
Q958,label,language,it,Sudan del Sud,,,
Q958,label,language,ja,南スーダン,,,
Q958,label,language,jv,Sudan Kidul,,,
Q958,label,language,ka,სამხრეთი სუდანი,,,
Q958,label,language,kaa,Qubla Sudan,,,
Q958,label,language,kk,Оңтүстік Судан,,,
Q958,label,language,ko,남수단,,,
Q958,label,language,koi,Лунвыв Судан,,,
Q958,label,language,ksh,Südsudan,,,
Q958,label,language,ku,Sûdana Başûr,,,
Q958,label,language,kv,Лунвыв Судан,,,
Q958,label,language,kw,Soudan Soth,,,
Q958,label,language,la,Sudania Australis,,,
Q958,label,language,lad,Sudan del Sud,,,
Q958,label,language,lb,Südsudan,,,
Q958,label,language,lbe,Кьилвалул Судан,,,
Q958,label,language,li,Zuid-Soedan,,,
Q958,label,language,lij,Sudan do Sud,,,
Q958,label,language,lmo,Süd Sudan,,,
Q958,label,language,lt,Pietų Sudanas,,,
Q958,label,language,lv,Dienvidsudāna,,,
Q958,label,language,mdf,Лямбеширень Судан,,,
Q958,label,language,mk,Јужен Судан,,,
Q958,label,language,ml,ദക്ഷിണ സുഡാൻ,,,
Q958,label,language,mr,दक्षिण सुदान,,,
Q958,label,language,mrj,Кечӹвӓлвел Судан,,,
Q958,label,language,ms,Sudan Selatan,,,
Q958,label,language,my,တောင်ဆူဒန်နိုင်ငံ,,,
Q958,label,language,mzn,جنوبی سودان,,,
Q958,label,language,na,South Sudan,,,
Q958,label,language,nah,Sudan Huitztlāmpa,,,
Q958,label,language,nds,Süüdsudan,,,
Q958,label,language,nn,Sør-Sudan,,,
Q958,label,language,nv,Shádiʼááhjí Soodą́ą,,,
Q958,label,language,oc,Sodan del Sud,,,
Q958,label,language,or,ଦକ୍ଷିଣ ସୁଦାନ,,,
Q958,label,language,pa,ਦੱਖਣੀ ਸੂਡਾਨ,,,
Q958,label,language,pnb,دکھن سوڈان,,,
Q958,label,language,ps,سوېلي سوډان,,,
Q958,label,language,pt,Sudão do Sul,,,
Q958,label,language,qu,Urin Sudan,,,
Q958,label,language,rm,Sudan dal Sid,,,
Q958,label,language,ro,Sudanul de Sud,,,
Q958,label,language,ru,Южный Судан,,,
Q958,label,language,sc,Sudan Meridionali,,,
Q958,label,language,scn,Sudan dû Sud,,,
Q958,label,language,sco,Sooth Sudan,,,
Q958,label,language,se,Lulli-Sudan,,,
Q958,label,language,sg,Sudäan-Mbongo,,,
Q958,label,language,sh,Južni Sudan,,,
Q958,label,language,sk,Južný Sudán,,,
Q958,label,language,sl,Južni Sudan,,,
Q958,label,language,sn,South Sudan,,,
Q958,label,language,so,Koonfur Suudaan,,,
Q958,label,language,sq,Sudani i Jugut,,,
Q958,label,language,sr,Јужни Судан,,,
Q958,label,language,su,Sudan Kidul,,,
Q958,label,language,sv,Sydsudan,,,
Q958,label,language,sw,Sudan Kusini,,,
Q958,label,language,szl,Połedńowy Sudan,,,
Q958,label,language,ta,தெற்கு சூடான்,,,
Q958,label,language,te,దక్షిణ సూడాన్,,,
Q958,label,language,th,ประเทศเซาท์ซูดาน,,,
Q958,label,language,tk,Günorta Sudan,,,
Q958,label,language,tl,Timog Sudan,,,
Q958,label,language,tr,Güney Sudan,,,
Q958,label,language,tt,Көньяк Судан,,,
Q958,label,language,udm,Лымшор Судан,,,
Q958,label,language,uk,Південний Судан,,,
Q958,label,language,ur,جنوبی سوڈان,,,
Q958,label,language,uz,Janubiy Sudan,,,
Q958,label,language,vec,Sud Sudan,,,
Q958,label,language,vi,Nam Sudan,,,
Q958,label,language,vo,Sulüda-Sudän,,,
Q958,label,language,war,Salatan nga Sudan,,,
Q958,label,language,yi,דרום סודאן,,,
Q958,label,language,yo,Gúúsù Sudan,,,
Q958,label,language,zh,南苏丹,,,
Q958,label,language,zh-cn,南苏丹,,,
Q958,label,language,zh-hans,南苏丹,,,
Q958,label,language,zh-hant,南蘇丹,,,
Q958,label,language,zu,ISudan yaseNingizimu,,,
Q958,label,language,nds-nl,Zuudsoedan,,,
Q958,label,language,roa-tara,Sudan d'u Sud,,,
Q958,label,language,nb,Sør-Sudan,,,
Q958,label,language,pt-br,Sudão do Sul,,,
Q958,label,language,ky,Түштүк Судан,,,
Q958,label,language,stq,Suud-Sudan,,,
Q958,label,language,pam,Mauling Sudan,,,
Q958,label,language,ilo,Abagatan a Sudan,,,
Q958,label,language,sr-ec,Јужни Судан,,,
Q958,label,language,sr-el,Južni Sudan,,,
Q958,label,language,zea,Zuud-Soedan,,,
Q958,label,language,ts,Sudan-Dzonga,,,
Q958,label,language,bxr,Урда Судан,,,
Q958,label,language,ba,Көньяҡ Судан,,,
Q958,label,language,mt,Sudan t'Isfel,,,
Q958,label,language,be-tarask,Паўднёвы Судан,,,
Q958,label,language,crh-latn,Cenübiy Sudan,,,
Q958,label,language,gsw,Südsudan,,,
Q958,label,language,sgs,Pėitū Sudans,,,
Q958,label,language,nan,Lâm Sudan,,,
Q958,label,language,lzh,南蘇丹,,,
Q958,label,language,yue,南蘇丹,,,
Q958,label,language,kg,Sudan ya Sudi,,,
Q958,label,language,bm,Worodugu Soudan,,,
Q958,label,language,gag,Üülen Sudan,,,
Q958,label,language,om,Sudaan Kibbaa,,,
Q958,label,language,ee,Anyiehe Sudã,,,
Q958,label,language,de-ch,Südsudan,,,
Q958,label,language,ki,Sũdana ya Kuthini,,,
Q958,label,language,bh,दक्खिन सूडान,,,
Q958,label,language,bjn,Sudan Salatan,,,
Q958,label,language,cdo,Nàng Sudan,,,
Q958,label,language,ce,Къилба Судан,,,
Q958,label,language,vep,Suvisudan,,,
,,,,,,,
Q958,claim,P571,time,+2011-07-09T00:00:00Z,normal,,
Q958,claim,P610,wikibase-item,948298,normal,,
Q958,claim,P122,wikibase-item,512187,normal,,
Q958,claim,P30,wikibase-item,15,normal,,
Q958,claim,P47,wikibase-item,1049,normal,,
Q958,claim,P47,wikibase-item,115,normal,,
Q958,claim,P47,wikibase-item,114,normal,,
Q958,claim,P47,wikibase-item,1036,normal,,
Q958,claim,P47,wikibase-item,974,normal,,
Q958,claim,P47,wikibase-item,929,normal,,
Q958,claim,P47,wikibase-item,7172,normal,,
Q958,claim,P47,wikibase-item,750659,normal,,
Q958,claim,P36,wikibase-item,1947,normal,,
Q958,claim,P37,wikibase-item,1860,normal,,
Q958,claim,P35,wikibase-item,57315,normal,,
Q958,claim,P38,wikibase-item,244366,normal,,
Q958,claim,P38,wikibase-item,271206,normal,,
Q958,claim,P78,wikibase-item,717118,normal,,
Q958,claim,P41,commonsMedia,Flag of South Sudan.svg,normal,,
Q958,claim,P94,commonsMedia,Coat of arms of South Sudan.svg,normal,,
Q958,claim,P297,string,SS,normal,,
Q958,claim,P298,string,SSD,normal,,
Q958,claim,P299,string,728,normal,,
Q958,claim,P373,string,South Sudan,normal,,
Q958,claim,P163,wikibase-item,182782,normal,,
Q958,claim,P242,commonsMedia,South Sudan hd (orthographic projection).svg,normal,,
Q958,claim,P31,wikibase-item,3624078,normal,,
Q958,claim,P31,wikibase-item,123480,normal,,
Q958,claim,P625,latitude,7,normal,,
Q958,claim,P625,longitude,30,normal,,
Q958,claim,P150,wikibase-item,332095,normal,,
Q958,claim,P150,wikibase-item,491111,normal,,
Q958,claim,P150,wikibase-item,491138,normal,,
Q958,claim,P150,wikibase-item,491096,normal,,
Q958,claim,P150,wikibase-item,488519,normal,,
Q958,claim,P150,wikibase-item,487709,normal,,
Q958,claim,P150,wikibase-item,319979,normal,,
Q958,claim,P150,wikibase-item,488904,normal,,
Q958,claim,P150,wikibase-item,319965,normal,,
Q958,claim,P150,wikibase-item,487702,normal,,
Q958,claim,P463,wikibase-item,1065,normal,,
Q958,claim,P463,wikibase-item,7159,normal,,
Q958,claim,P910,wikibase-item,6985610,normal,,
Q958,claim,P474,string,+211,normal,,
Q958,claim,P237,wikibase-item,208148,normal,,
Q958,claim,P421,wikibase-item,6760,normal,,
Q958,claim,P948,commonsMedia,Yei township (South Sudan) banner.jpg,normal,,
Q958,claim,P349,string,001140574,normal,,
Q958,claim,P214,string,173031028,normal,,
Q958,claim,P982,string,d500d5dc-e4b0-30cb-92bc-1bc79ac2f5b4,normal,,
Q958,claim,P17,wikibase-item,958,normal,,
Q958,claim,P646,string,/m/05rznz,normal,,
Q958,claim,P901,string,OD,normal,,
Q958,claim,P227,string,7755222-2,normal,,
Q958,claim,P1566,string,7909807,normal,,
Q958,claim,P1464,wikibase-item,18668009,normal,,
Q958,claim,P402,string,1656678,normal,,
Q958,claim,P1792,wikibase-item,7074376,normal,,
Q958,claim,P194,wikibase-item,5018721,normal,,
,,,,,,,
Q958,sitelink,site,afwiki,Suid-Soedan,,,
Q958,sitelink,site,alswiki,Südsudan,,,
Q958,sitelink,site,amwiki,ደቡብ ሱዳን,,,
Q958,sitelink,site,angwiki,Sūþsudan,,,
Q958,sitelink,site,anwiki,Sudán d'o Sud,,,
Q958,sitelink,site,arcwiki,ܬܝܡܢܐ ܕܣܘܕܐܢ,,,
Q958,sitelink,site,arwiki,جنوب السودان,,,
Q958,sitelink,site,arzwiki,جنوب السودان,,,
Q958,sitelink,site,astwiki,Sudán del Sur,,,
Q958,sitelink,site,avwiki,Югалъулаб Судан,,,
Q958,sitelink,site,azwiki,Cənubi Sudan,,,
Q958,sitelink,site,bat_smgwiki,Pėitū Sudans,,,
Q958,sitelink,site,bawiki,Көньяҡ Судан,,,
Q958,sitelink,site,bclwiki,Habagatan Sudan,,,
Q958,sitelink,site,be_x_oldwiki,Паўднёвы Судан,,,
Q958,sitelink,site,bewiki,Паўднёвы Судан,,,
Q958,sitelink,site,bgwiki,Южен Судан,,,
Q958,sitelink,site,bmwiki,Worodugu Soudan,,,
Q958,sitelink,site,bnwiki,দক্ষিণ সুদান,,,
Q958,sitelink,site,brwiki,Soudan ar Su,,,
Q958,sitelink,site,bswiki,Južni Sudan,,,
Q958,sitelink,site,bxrwiki,Урда Судан,,,
Q958,sitelink,site,cawiki,Sudan del Sud,,,
Q958,sitelink,site,cebwiki,Habagatang Sudan,,,
Q958,sitelink,site,ckbwiki,سوودانی باشوور,,,
Q958,sitelink,site,commonswiki,South Sudan,,,
Q958,sitelink,site,crhwiki,Cenübiy Sudan,,,
Q958,sitelink,site,cswiki,Jižní Súdán,,,
Q958,sitelink,site,cvwiki,Кăнтăр Судан,,,
Q958,sitelink,site,cywiki,De Sudan,,,
Q958,sitelink,site,dawiki,Sydsudan,,,
Q958,sitelink,site,dewiki,Südsudan,,,
Q958,sitelink,site,dewikivoyage,Südsudan,,,
Q958,sitelink,site,diqwiki,Sudanê Veroci,,,
Q958,sitelink,site,dsbwiki,Pódpołdnjowy Sudan,,,
Q958,sitelink,site,eewiki,Anyiehe Sudã,,,
Q958,sitelink,site,elwiki,Νότιο Σουδάν,,,
Q958,sitelink,site,enwiki,South Sudan,,,
Q958,sitelink,site,enwikivoyage,South Sudan,,,
Q958,sitelink,site,eowiki,Sud-Sudano,,,
Q958,sitelink,site,eswiki,Sudán del Sur,,,
Q958,sitelink,site,eswikivoyage,Sudán del Sur,,,
Q958,sitelink,site,etwiki,Lõuna-Sudaan,,,
Q958,sitelink,site,euwiki,Hego Sudan,,,
Q958,sitelink,site,extwiki,Sudán del Sul,,,
Q958,sitelink,site,fawiki,سودان جنوبی,,,
Q958,sitelink,site,fiwiki,Etelä-Sudan,,,
Q958,sitelink,site,fowiki,Suðursudan,,,
Q958,sitelink,site,frrwiki,Süüdsudaan,,,
Q958,sitelink,site,frwiki,Soudan du Sud,,,
Q958,sitelink,site,frwikivoyage,Soudan du Sud,,,
Q958,sitelink,site,fywiki,Súd-Sûdan,,,
Q958,sitelink,site,gagwiki,Üülen Sudan,,,
Q958,sitelink,site,gawiki,An tSúdáin Theas,,,
Q958,sitelink,site,gdwiki,Sudàn a Deas,,,
Q958,sitelink,site,glwiki,Sudán do Sur,,,
Q958,sitelink,site,gvwiki,Yn Toodaan Yiass,,,
Q958,sitelink,site,hewiki,דרום סודאן,,,
Q958,sitelink,site,hewikivoyage,דרום סודאן,,,
Q958,sitelink,site,hiwiki,दक्षिण सूडान,,,
Q958,sitelink,site,hrwiki,Južni Sudan,,,
Q958,sitelink,site,hsbwiki,Južny Sudan,,,
Q958,sitelink,site,huwiki,Dél-Szudán,,,
Q958,sitelink,site,hywiki,Հարավային Սուդան,,,
Q958,sitelink,site,iawiki,Sudan del Sud,,,
Q958,sitelink,site,idwiki,Sudan Selatan,,,
Q958,sitelink,site,iewiki,Sud-Sudan,,,
Q958,sitelink,site,ilowiki,Abagatan a Sudan,,,
Q958,sitelink,site,iowiki,Sud-Sudan,,,
Q958,sitelink,site,iswiki,Suður-Súdan,,,
Q958,sitelink,site,itwiki,Sudan del Sud,,,
Q958,sitelink,site,itwikivoyage,Sudan del Sud,,,
Q958,sitelink,site,jawiki,南スーダン,,,
Q958,sitelink,site,jvwiki,Sudan Kidul,,,
Q958,sitelink,site,kaawiki,Qubla Sudan,,,
Q958,sitelink,site,kawiki,სამხრეთი სუდანი,,,
Q958,sitelink,site,kgwiki,Sudan ya Sudi,,,
Q958,sitelink,site,kkwiki,Оңтүстік Судан,,,
Q958,sitelink,site,koiwiki,Лунвыв Судан,,,
Q958,sitelink,site,kowiki,남수단,,,
Q958,sitelink,site,kshwiki,Südsudan,,,
Q958,sitelink,site,kuwiki,Sûdana Başûr,,,
Q958,sitelink,site,kvwiki,Лунвыв Судан,,,
Q958,sitelink,site,kwwiki,Soudan Soth,,,
Q958,sitelink,site,kywiki,Түштүк Судан,,,
Q958,sitelink,site,ladwiki,Sudan del Sud,,,
Q958,sitelink,site,lawiki,Sudania Australis,,,
Q958,sitelink,site,lbewiki,Кьилвалул Судан,,,
Q958,sitelink,site,lbwiki,Südsudan,,,
Q958,sitelink,site,lijwiki,Sudan do Sud,,,
Q958,sitelink,site,liwiki,Zuid-Soedan,,,
Q958,sitelink,site,lmowiki,Süd Sudan,,,
Q958,sitelink,site,ltwiki,Pietų Sudanas,,,
Q958,sitelink,site,lvwiki,Dienvidsudāna,,,
Q958,sitelink,site,mdfwiki,Лямбеширень Судан,,,
Q958,sitelink,site,mkwiki,Јужен Судан,,,
Q958,sitelink,site,mlwiki,ദക്ഷിണ സുഡാൻ,,,
Q958,sitelink,site,mrjwiki,Кечӹвӓлвел Судан,,,
Q958,sitelink,site,mrwiki,दक्षिण सुदान,,,
Q958,sitelink,site,mswiki,Sudan Selatan,,,
Q958,sitelink,site,mtwiki,Sudan t'Isfel,,,
Q958,sitelink,site,mywiki,တောင်ဆူဒန်နိုင်ငံ,,,
Q958,sitelink,site,mznwiki,جنوبی سودان,,,
Q958,sitelink,site,nahwiki,Sudan Huitztlāmpa,,,
Q958,sitelink,site,nawiki,South Sudan,,,
Q958,sitelink,site,nds_nlwiki,Zuudsoedan,,,
Q958,sitelink,site,ndswiki,Süüdsudan,,,
Q958,sitelink,site,nlwiki,Zuid-Soedan,,,
Q958,sitelink,site,nlwikivoyage,Zuid-Soedan,,,
Q958,sitelink,site,nnwiki,Sør-Sudan,,,
Q958,sitelink,site,nowiki,Sør-Sudan,,,
