line 297 column 195 - Warning: <img> proprietary attribute "data-file-height"
line 305 column 1 - Warning: <table> lacks "summary" attribute
line 307 column 191 - Warning: <img> proprietary attribute "srcset"
line 307 column 191 - Warning: <img> proprietary attribute "data-file-width"
line 307 column 191 - Warning: <img> proprietary attribute "data-file-height"
line 317 column 1 - Warning: <table> lacks "summary" attribute
line 320 column 1 - Warning: <table> lacks "summary" attribute
line 322 column 167 - Warning: <img> proprietary attribute "srcset"
line 322 column 167 - Warning: <img> proprietary attribute "data-file-width"
line 322 column 167 - Warning: <img> proprietary attribute "data-file-height"
line 330 column 1 - Warning: <table> lacks "summary" attribute
line 332 column 161 - Warning: <img> proprietary attribute "srcset"
line 332 column 161 - Warning: <img> proprietary attribute "data-file-width"
line 332 column 161 - Warning: <img> proprietary attribute "data-file-height"
line 340 column 1 - Warning: <table> lacks "summary" attribute
line 342 column 171 - Warning: <img> proprietary attribute "srcset"
line 342 column 171 - Warning: <img> proprietary attribute "data-file-width"
line 342 column 171 - Warning: <img> proprietary attribute "data-file-height"
line 350 column 1 - Warning: <table> lacks "summary" attribute
line 352 column 174 - Warning: <img> proprietary attribute "srcset"
line 352 column 174 - Warning: <img> proprietary attribute "data-file-width"
line 352 column 174 - Warning: <img> proprietary attribute "data-file-height"
line 360 column 1 - Warning: <table> lacks "summary" attribute
line 362 column 157 - Warning: <img> proprietary attribute "srcset"
line 362 column 157 - Warning: <img> proprietary attribute "data-file-width"
line 362 column 157 - Warning: <img> proprietary attribute "data-file-height"
line 372 column 1 - Warning: <table> lacks "summary" attribute
line 374 column 154 - Warning: <img> proprietary attribute "srcset"
line 374 column 154 - Warning: <img> proprietary attribute "data-file-width"
line 374 column 154 - Warning: <img> proprietary attribute "data-file-height"
line 382 column 1 - Warning: <table> lacks "summary" attribute
line 384 column 151 - Warning: <img> proprietary attribute "srcset"
line 384 column 151 - Warning: <img> proprietary attribute "data-file-width"
line 384 column 151 - Warning: <img> proprietary attribute "data-file-height"
line 392 column 1 - Warning: <table> lacks "summary" attribute
line 394 column 182 - Warning: <img> proprietary attribute "srcset"
line 394 column 182 - Warning: <img> proprietary attribute "data-file-width"
line 394 column 182 - Warning: <img> proprietary attribute "data-file-height"
line 402 column 1 - Warning: <table> lacks "summary" attribute
line 404 column 183 - Warning: <img> proprietary attribute "srcset"
line 404 column 183 - Warning: <img> proprietary attribute "data-file-width"
line 404 column 183 - Warning: <img> proprietary attribute "data-file-height"
line 414 column 1 - Warning: <table> lacks "summary" attribute
line 416 column 164 - Warning: <img> proprietary attribute "srcset"
line 416 column 164 - Warning: <img> proprietary attribute "data-file-width"
line 416 column 164 - Warning: <img> proprietary attribute "data-file-height"
line 424 column 1 - Warning: <table> lacks "summary" attribute
line 426 column 189 - Warning: <img> proprietary attribute "srcset"
line 426 column 189 - Warning: <img> proprietary attribute "data-file-width"
line 426 column 189 - Warning: <img> proprietary attribute "data-file-height"
line 434 column 1 - Warning: <table> lacks "summary" attribute
line 436 column 163 - Warning: <img> proprietary attribute "srcset"
line 436 column 163 - Warning: <img> proprietary attribute "data-file-width"
line 436 column 163 - Warning: <img> proprietary attribute "data-file-height"
line 444 column 1 - Warning: <table> lacks "summary" attribute
line 446 column 211 - Warning: <img> proprietary attribute "srcset"
line 446 column 211 - Warning: <img> proprietary attribute "data-file-width"
line 446 column 211 - Warning: <img> proprietary attribute "data-file-height"
line 454 column 1 - Warning: <table> lacks "summary" attribute
line 456 column 152 - Warning: <img> proprietary attribute "srcset"
line 456 column 152 - Warning: <img> proprietary attribute "data-file-width"
line 456 column 152 - Warning: <img> proprietary attribute "data-file-height"
