Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q35086,alias,language,zh,1,南喬治亞,,,
Q35086,alias,language,zh,2,南乔治亚和南桑德韦奇群岛,,,
Q35086,alias,language,zh,3,南三明治群島,,,
Q35086,alias,language,zh,4,南乔治亚岛和南桑威奇群岛,,,
Q35086,alias,language,zh,5,南喬治亞島和南三明治群島,,,
Q35086,alias,language,zh,6,南喬治亞和桑威奇群島,,,
Q35086,alias,language,zh,7,南佐治亞島與南桑威奇群島,,,
Q35086,alias,language,zh,8,南乔治亚与南桑威奇群岛,,,
Q35086,alias,language,zh,9,南佐治亞及南三文治群島,,,
Q35086,alias,language,zh,10,南喬治亞與南三明治群島,,,
Q35086,alias,language,zh,11,南喬治亞群島,,,
Q35086,alias,language,zh,12,南喬治亞和南三文治群島,,,
Q35086,alias,language,zh,13,南桑德维奇群岛,,,
Q35086,alias,language,zh,14,南喬治亞及南三明治群島,,,
Q35086,alias,language,zh,15,南乔治亚岛和南桑德韦奇岛,,,
Q35086,alias,language,zh,16,南喬治亞及南桑威奇群島,,,
Q35086,alias,language,zh,17,南乔治亚岛,,,
Q35086,alias,language,eu,1,Hego Georgia eta Hego Sandwich uharteak,,,
Q35086,alias,language,eu,2,Hegoaldeko Georgiak eta Hego Sandwich uharteak,,,
Q35086,alias,language,gd,1,Seòirsia-a-Deas is na h-Eileanan Sandwich-a-Deas,,,
Q35086,alias,language,gd,2,South Georgia and South Sandwich Islands,,,
Q35086,alias,language,gd,3,South Georgia,,,
Q35086,alias,language,bs,1,Sendvička ostrva,,,
Q35086,alias,language,bs,2,Južna Georgia,,,
Q35086,alias,language,bs,3,Južna Georgija i arhipelag Sandwich,,,
Q35086,alias,language,bs,4,Južna Džordžija,,,
Q35086,alias,language,es,1,Territorio Británico de Ultramar de las islas Georgias del Sur y Sándwich del Sur,,,
Q35086,alias,language,es,2,Territorio Británico de Ultramar de las Islas Georgias del Sur y Sandwich del Sur,,,
Q35086,alias,language,es,3,IGSSS,,,
Q35086,alias,language,es,4,Territorio británico de ultramar de las islas Georgias y Sandwich del Sur,,,
Q35086,alias,language,es,5,Territorio britanico de ultramar de las islas Georgias y Sandwich del Sur,,,
Q35086,alias,language,es,6,Islas Georgias del Sur e Islas Sandwich del Sur,,,
Q35086,alias,language,es,7,Territorio Britanico de Ultramar de las islas Georgias del Sur y Sandwich del Sur,,,
