iso3_code,common_name,un_member_since,wmo_member_since
MHL,"Marshall Islands",1991-09-17,NULL
MRT,Mauritania,1961-10-27,1962-01-23
MUS,Mauritius,1968-04-24,1969-07-17
MEX,Mexico,1945-11-07,1949-05-27
FSM,Micronesia,1991-09-17,1995-09-20
MDA,Moldova,1992-03-02,1994-11-21
MCO,Monaco,1993-05-28,1996-04-09
MNG,Mongolia,1961-10-27,1963-04-04
MNE,Montenegro,2006-06-28,2007-01-05
MAR,Morocco,1956-11-12,1957-01-03
MOZ,Mozambique,1975-09-16,1976-06-21
MMR,"Myanmar (Burma)",1948-04-19,1949-08-19
NAM,Namibia,1990-04-23,1991-02-06
NRU,Nauru,1999-09-14,NULL
NPL,Nepal,1955-12-14,1966-08-12
NLD,Netherlands,1945-12-10,1951-09-12
NCL,"New Caledonia",NULL,1949-12-05
NZL,"New Zealand",1945-10-24,1948-04-02
NIC,Nicaragua,1945-10-24,1959-02-27
NER,Niger,1960-09-20,1960-10-28
NGA,Nigeria,1960-10-07,1960-11-30
NIU,Niue,NULL,1996-05-31
PRK,"North Korea",1991-09-17,1975-05-27
NOR,Norway,1945-11-27,1948-12-09
OMN,Oman,1971-10-07,1975-01-03
PAK,Pakistan,1947-09-30,1950-04-11
PLW,Palau,1994-12-15,NULL
PAN,Panama,1945-11-13,1967-09-12
PNG,"Papua New Guinea",1975-10-10,1975-12-15
PRY,Paraguay,1945-10-24,1950-09-15
PER,Peru,1945-10-31,1949-12-30
PHL,Philippines,1945-10-24,1949-04-05
POL,Poland,1945-10-24,1950-05-16
PRT,Portugal,1955-12-14,1951-01-15
QAT,Qatar,1971-09-21,1975-04-04
ROU,Romania,1955-12-14,1948-08-18
RUS,Russia,1945-10-24,1948-04-02
RWA,Rwanda,1962-09-18,1963-02-04
WSM,Samoa,1976-12-15,1995-07-11
SMR,"San Marino",1992-03-02,NULL
SAU,"Saudi Arabia",1945-10-24,1959-02-26
SEN,Senegal,1960-09-28,1960-11-11
SRB,Serbia,2000-11-01,2001-03-23
SYC,Seychelles,1976-09-21,1977-02-15
SLE,"Sierra Leone",1961-09-27,1962-03-30
SGP,Singapore,1965-09-21,1966-01-24
SVK,Slovakia,1993-01-19,1993-02-11
SVN,Slovenia,1992-05-22,1992-08-20
SLB,"Solomon Islands",1978-09-19,1985-05-06
SOM,Somalia,1960-09-20,1964-03-02
ZAF,"South Africa",1945-11-07,1950-01-17
KOR,"South Korea",1991-09-17,1956-02-15
SSD,"South Sudan",2011-07-14,2012-12-14
ESP,Spain,1955-12-14,1951-02-27
LKA,"Sri Lanka",1955-12-14,1951-05-23
KNA,"St. Kitts & Nevis",1983-09-23,NULL
LCA,"St. Lucia",1979-09-18,1981-03-02
VCT,"St. Vincent & Grenadines",1980-09-16,NULL
SDN,Sudan,1956-11-12,1956-12-03
SUR,Suriname,1975-12-04,1976-07-26
SWZ,Swaziland,1968-09-24,1982-11-02
SWE,Sweden,1946-11-19,1948-11-10
CHE,Switzerland,2002-09-10,1949-02-23
SYR,Syria,1945-10-24,1952-07-16
STP,"São Tomé & Príncipe",1975-09-16,1976-11-23
TJK,Tajikistan,1992-03-02,1993-08-10
TZA,Tanzania,1961-12-14,1962-09-14
THA,Thailand,1946-12-16,1949-07-11
TLS,Timor-Leste,2002-09-27,2009-12-04
TGO,Togo,1960-09-20,1960-10-28
TON,Tonga,1999-09-14,1996-02-25
TTO,"Trinidad & Tobago",1962-09-18,1963-02-01
TUN,Tunisia,1956-11-12,1957-01-22
TUR,Turkey,1945-10-24,1949-08-05
TKM,Turkmenistan,1992-03-02,1992-12-04
TUV,Tuvalu,2000-09-05,2012-09-22
UGA,Uganda,1962-10-25,1963-03-15
UKR,Ukraine,1945-10-24,1948-04-12
ARE,"United Arab Emirates",1971-12-09,1986-12-17
GBR,"United Kingdom",1945-10-24,1948-12-14
USA,"United States",1945-10-24,1949-05-04
URY,Uruguay,1945-12-18,1951-01-11
UZB,Uzbekistan,1992-03-02,1992-12-23
VUT,Vanuatu,1981-09-15,1982-06-24
VEN,Venezuela,1945-11-15,1950-06-16
VNM,Vietnam,1977-09-20,1975-07-08
YEM,Yemen,1947-09-30,1971-07-08
ZMB,Zambia,1964-12-01,1964-12-28
ZWE,Zimbabwe,1980-08-25,1981-01-12
