Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q6256,alias,language,be-tarask,1,Краіны,,,
Q6256,alias,language,pam,1,Country,,,
Q6256,alias,language,sr,1,држава,,,
Q6256,alias,language,la,1,pagus,,,
Q6256,alias,language,es,1,Países,,,
Q6256,alias,language,it,1,Stato sovrano,,,
,,,,,,,,
Q6256,description,language,nb,,geografisk region som rettslig utgjør en selvstendig enhet i politisk geografi,,,
Q6256,description,language,nds,,Sülfstännige politsch Eenheeten un afhängige Rebeed,,,
Q6256,description,language,de,,"Region, die rechtlich als eigenständige Einheit in der politischen Geographie identifiziert ist",,,
Q6256,description,language,es,,"región legalmente identificada como una entidad geopolítica particular, con un gobierno, administración y leyes propias",,,
Q6256,description,language,en,,distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics,,,
Q6256,description,language,it,,divisione politica all'interno di una certa entità geografica,,,
Q6256,description,language,el,,περιοχή νομικά διακρινόμενη ως ξεχωριστή οντότητα στην πολιτική γεωγραφία,,,
Q6256,description,language,ilo,,rehion a legado a nainaganan a kas maysa a naisangsangayan nga entidad iti politikal a heograpia,,,
Q6256,description,language,nl,,geografische regio,,,
Q6256,description,language,pt-br,,região legalmente identificada como uma entidade distinta na geografia política,,,
Q6256,description,language,en-gb,,region legally identified as a distinct entity in political geography,,,
Q6256,description,language,ru,,"область, осознаваемая как отдельная единица в социальной географии",,,
Q6256,description,language,fr,,région généralement identifiée comme une entité géopolitique distincte,,,
Q6256,description,language,sv,,ett landområde med politiskt självstyre,,,
Q6256,description,language,gl,,"rexión legalmente identificada como unha entidade geopolítica particular, cun goberno, administración e leis propias",,,
Q6256,description,language,scn,,riggioni giugràfica cu carattirizzazzioni pulìtica distinta,,,
Q6256,description,language,pl,,"odrębny region lub kraina geograficzna, w skład której mogą wchodzić jednostki terytorialne o zróżnicowanej charakterystyce polityczno-administracyjnej",,,
Q6256,description,language,ast,,"en xeografía, una rexón distinta, un términu ampliu que puede incluir divisiones polítiques o rexones con otres carauterístiques polítiques distintes",,,
,,,,,,,,
Q6256,label,language,en,,country,,,
Q6256,label,language,fr,,pays,,,
Q6256,label,language,nb,,land,,,
Q6256,label,language,be-tarask,,краіна,,,
Q6256,label,language,pam,,Bangsa,,,
Q6256,label,language,nds,,Staat,,,
Q6256,label,language,en-ca,,country,,,
Q6256,label,language,en-gb,,country,,,
Q6256,label,language,af,,Land,,,
Q6256,label,language,an,,País,,,
Q6256,label,language,ar,,بلد,,,
Q6256,label,language,ay,,Jach'a marka,,,
Q6256,label,language,az,,Ölkə,,,
Q6256,label,language,be,,краіна,,,
Q6256,label,language,bn,,দেশ,,,
Q6256,label,language,br,,Bro,,,
Q6256,label,language,bs,,Zemlja,,,
Q6256,label,language,ca,,país,,,
Q6256,label,language,cdo,,Guók-gă,,,
Q6256,label,language,ceb,,Nasod,,,
Q6256,label,language,ckb,,وڵات,,,
Q6256,label,language,cy,,Gwlad,,,
Q6256,label,language,el,,χώρα,,,
Q6256,label,language,eo,,lando,,,
Q6256,label,language,es,,país,,,
Q6256,label,language,et,,Maa,,,
Q6256,label,language,eu,,Herrialde,,,
Q6256,label,language,ext,,País,,,
Q6256,label,language,fa,,کشور,,,
Q6256,label,language,gan,,國家,,,
Q6256,label,language,gd,,Dùthaich,,,
Q6256,label,language,gl,,país,,,
Q6256,label,language,gu,,દેશ,,,
Q6256,label,language,gv,,Çheer,,,
Q6256,label,language,haw,,Kaumokuʻāina,,,
Q6256,label,language,hif,,Des,,,
Q6256,label,language,ht,,Peyi,,,
Q6256,label,language,hu,,ország,,,
Q6256,label,language,hy,,երկիր,,,
Q6256,label,language,ia,,Pais,,,
Q6256,label,language,ilo,,Pagilian,,,
Q6256,label,language,io,,Lando,,,
Q6256,label,language,it,,Paese,,,
Q6256,label,language,ja,,国,,,
Q6256,label,language,jbo,,gugde,,,
Q6256,label,language,ka,,ქვეყანა,,,
Q6256,label,language,kk,,Ел,,,
Q6256,label,language,ko,,국토,,,
Q6256,label,language,ku,,Welat,,,
Q6256,label,language,la,,Territorium,,,
Q6256,label,language,lad,,Pais,,,
Q6256,label,language,ln,,Esé,,,
Q6256,label,language,lt,,Šalis,,,
Q6256,label,language,lv,,valsts,,,
Q6256,label,language,mhr,,Эл,,,
Q6256,label,language,mr,,देश,,,
Q6256,label,language,ms,,Negara,,,
Q6256,label,language,mwl,,Paíç,,,
Q6256,label,language,my,,တိုင်းပြည်,,,
Q6256,label,language,ne,,देश,,,
Q6256,label,language,new,,देय्,,,
Q6256,label,language,nl,,land,,,
Q6256,label,language,pnb,,دیس,,,
