Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q39,alias,language,de,Schweizerische Eidgenossenschaft,,,
Q39,alias,language,de,Suisse,,,
Q39,alias,language,de,Svizzera,,,
Q39,alias,language,de,Svizra,,,
Q39,alias,language,de,Switzerland,,,
Q39,alias,language,nl,Zwitserse Bondsstaat,,,
Q39,alias,language,nl,Zwitsers Eedgenootschap,,,
Q39,alias,language,nl,Zwitserse Confederatie,,,
Q39,alias,language,nb,Det sveitsiske edsforbund,,,
Q39,alias,language,nb,Konføderasjonen Sveits,,,
Q39,alias,language,nb,Confœderatio Helvetica,,,
Q39,alias,language,zh-hans,瑞士联邦,,,
Q39,alias,language,zh-hant,瑞士聯邦,,,
Q39,alias,language,zh-cn,瑞士联邦,,,
Q39,alias,language,zh-sg,瑞士联邦,,,
Q39,alias,language,zh-my,瑞士联邦,,,
Q39,alias,language,zh,瑞士联邦,,,
Q39,alias,language,zh-hk,瑞士聯邦,,,
Q39,alias,language,zh-tw,瑞士聯邦,,,
Q39,alias,language,zh-mo,瑞士聯邦,,,
Q39,alias,language,ca,Confederació Helvètica,,,
Q39,alias,language,ca,Suissa,,,
Q39,alias,language,ca,Confederació Suïssa,,,
Q39,alias,language,en,Swiss Confederation,,,
Q39,alias,language,en,CH,,,
Q39,alias,language,en,ch,,,
Q39,alias,language,th,สวิตเซอร์แลนด์,,,
Q39,alias,language,th,สมาพันธรัฐสวิส,,,
Q39,alias,language,th,สวิส,,,
Q39,alias,language,th,Switzerland,,,
Q39,alias,language,rm,Confederaziun svizra,,,
Q39,alias,language,pt-br,Confederação Suíça,,,
Q39,alias,language,ta,சுவிட்ஸர்லாந்து,,,
Q39,alias,language,ta,சுவிற்சர்லாந்து,,,
Q39,alias,language,ta,சுவிஸ்,,,
Q39,alias,language,ta,ஸ்விட்சர்லாந்து,,,
Q39,alias,language,ta,ஸ்விட்சலாந்து,,,
Q39,alias,language,ta,சுவிஸர்லாந்து,,,
Q39,alias,language,ta,சுவிஸ் கூட்டமைப்பு,,,
Q39,alias,language,fa,سوییس,,,
Q39,alias,language,fr,Confédération helvétique,,,
Q39,alias,language,fr,Confédération suisse,,,
Q39,alias,language,fi,Sveitsin valaliitto,,,
Q39,alias,language,pl,Konfederacja Szwajcarska,,,
Q39,alias,language,pl,Schweiz,,,
Q39,alias,language,pl,Svizzera,,,
Q39,alias,language,pl,Schweizerische Eidgenossenschaft,,,
Q39,alias,language,pl,Confédération suisse,,,
Q39,alias,language,pl,Confederazione Svizzera,,,
Q39,alias,language,pl,Confederaziun svizra,,,
Q39,alias,language,ru,Svizzera,,,
Q39,alias,language,ru,Suisse,,,
Q39,alias,language,ru,Schweiz,,,
Q39,alias,language,ru,Швейцарская Конфедерация,,,
Q39,alias,language,it,Confederazione Svizzera,,,
Q39,alias,language,it,Confederazione Elvetica,,,
Q39,alias,language,pt,Confederação Suíça,,,
Q39,alias,language,el,Ελβετική Συνομοσπονδία,,,
Q39,alias,language,la,Confoederatio Helvetica,,,
Q39,alias,language,gl,Confederación Suíza,,,
Q39,alias,language,gl,Confoederatio Helvetica,,,
Q39,alias,language,gl,Confederación Helvética,,,
Q39,alias,language,ja,スイス連邦,,,
,,,,,,,
Q39,description,language,en,country in Western Europe,,,
Q39,description,language,de,Staat in Mitteleuropa,,,
Q39,description,language,fr,pays d'Europe,,,
Q39,description,language,it,stato dell'Europa centrale,,,
Q39,description,language,es,país de Europa,,,
Q39,description,language,en-gb,country in Europe,,,
Q39,description,language,nb,land i Europa,,,
Q39,description,language,zh-hant,西歐國家,,,
Q39,description,language,ru,страна в Европе,,,
Q39,description,language,zh-hans,西欧国家,,,
Q39,description,language,zh-cn,西欧国家,,,
Q39,description,language,zh-sg,西欧国家,,,
Q39,description,language,zh-my,西欧国家,,,
Q39,description,language,zh,西欧国家,,,
Q39,description,language,zh-hk,西歐國家,,,
Q39,description,language,zh-tw,西歐國家,,,
Q39,description,language,zh-mo,西歐國家,,,
Q39,description,language,ca,estat alpí sense accés al mar localitzat a Europa central,,,
Q39,description,language,fi,valtio Keski-Euroopassa,,,
Q39,description,language,ilo,pagilian idiay Tengnga nga Europa,,,
Q39,description,language,la,civitas in Europa,,,
Q39,description,language,pt-br,país da Europa,,,
Q39,description,language,nl,land in Europa,,,
Q39,description,language,ta,ஐரோப்பிய நாடு,,,
Q39,description,language,fa,کشوری در اروپا,,,
Q39,description,language,he,מדינה אירופאית,,,
Q39,description,language,br,stad en Europa,,,
Q39,description,language,be-tarask,краіна ў Эўропе,,,
Q39,description,language,lv,valsts Eiropā,,,
Q39,description,language,sv,förbundsrepublik i Centraleuropa,,,
Q39,description,language,sr,држава у средњој Европи,,,
Q39,description,language,sr-ec,држава у средњој Европи,,,
Q39,description,language,sr-el,država u srednjoj Evropi,,,
Q39,description,language,ja,西ヨーロッパに位置する国家,,,
Q39,description,language,cs,stát ve střední Evropě,,,
Q39,description,language,pt,"república federal composta por 26 estados, chamados de cantões",,,
Q39,description,language,de-ch,Staat in Mitteleuropa,,,
Q39,description,language,uk,нейтральна конфедеративна республіка в Західній Європі,,,
Q39,description,language,hu,állam Közép-Európában,,,
Q39,description,language,ro,stat în Europa Centrală,,,
Q39,description,language,el,χώρα της δυτικοκεντρικής Ευρώπης,,,
Q39,description,language,gl,estado federal da Europa central,,,
Q39,description,language,pl,państwo w Europie,,,
,,,,,,,
Q39,label,language,en,Switzerland,,,
Q39,label,language,de,Schweiz,,,
Q39,label,language,fr,Suisse,,,
Q39,label,language,it,Svizzera,,,
Q39,label,language,nl,Zwitserland,,,
Q39,label,language,pl,Szwajcaria,,,
Q39,label,language,es,Suiza,,,
Q39,label,language,ru,Швейцария,,,
Q39,label,language,en-gb,Switzerland,,,
Q39,label,language,ja,スイス,,,
Q39,label,language,nb,Sveits,,,
Q39,label,language,zh-hant,瑞士,,,
Q39,label,language,en-ca,Switzerland,,,
Q39,label,language,la,Helvetia,,,
Q39,label,language,mk,Швајцарија,,,
Q39,label,language,hsb,Šwicarska,,,
Q39,label,language,dsb,Šwicarska,,,
Q39,label,language,pt,Suíça,,,
Q39,label,language,eo,Svislando,,,
Q39,label,language,sw,Uswisi,,,
Q39,label,language,ace,Swiss,,,
Q39,label,language,af,Switserland,,,
Q39,label,language,am,ስዊዘርላንድ,,,
Q39,label,language,an,Suiza,,,
Q39,label,language,ang,Sƿissland,,,
Q39,label,language,ar,سويسرا,,,
Q39,label,language,arc,ܣܘܝܣܪܐ,,,
Q39,label,language,arz,سويسرا,,,
Q39,label,language,ast,Suiza,,,
Q39,label,language,az,İsveçrə,,,
Q39,label,language,ba,Швейцария,,,
Q39,label,language,bar,Schweiz,,,
Q39,label,language,bcl,Suisa,,,
Q39,label,language,be,Швейцарыя,,,
Q39,label,language,bg,Швейцария,,,
Q39,label,language,bi,Switzerland,,,
Q39,label,language,bn,সুইজারল্যান্ড,,,
Q39,label,language,bo,སུད་སི།,,,
Q39,label,language,bpy,সুইজারল্যান্ড,,,
Q39,label,language,br,Suis,,,
Q39,label,language,bs,Švicarska,,,
Q39,label,language,bug,Swiss,,,
Q39,label,language,ca,Suïssa,,,
Q39,label,language,cdo,Sô̤i-sê̤ṳ,,,
Q39,label,language,ce,Швейцари,,,
Q39,label,language,ceb,Swisa,,,
Q39,label,language,chr,ᏍᏫᏣᎳᏂ,,,
Q39,label,language,ckb,سویسرا,,,
Q39,label,language,co,Svizzera,,,
Q39,label,language,cs,Švýcarsko,,,
Q39,label,language,csb,Szwajcarskô,,,
Q39,label,language,cu,Свицєра,,,
Q39,label,language,cv,Швейцари,,,
Q39,label,language,cy,Y Swistir,,,
Q39,label,language,da,Schweiz,,,
Q39,label,language,diq,İswiçre,,,
Q39,label,language,dv,ސުވިޒަލޭންޑު,,,
Q39,label,language,dz,སུའིཊ་ཛར་ལེན་,,,
Q39,label,language,ee,Switzerland,,,
Q39,label,language,el,Ελβετία,,,
Q39,label,language,eml,Svézzra,,,
Q39,label,language,et,Šveits,,,
Q39,label,language,eu,Suitza,,,
Q39,label,language,ext,Suiça,,,
Q39,label,language,fa,سوئیس,,,
Q39,label,language,fi,Sveitsi,,,
Q39,label,language,fo,Sveis,,,
Q39,label,language,frp,Suisse,,,
Q39,label,language,frr,Swaits,,,
Q39,label,language,fur,Svuizare,,,
Q39,label,language,fy,Switserlân,,,
Q39,label,language,ga,An Eilvéis,,,
Q39,label,language,gag,Şveyțariya,,,
Q39,label,language,gd,An Eilbheis,,,
Q39,label,language,gl,Suíza,,,
Q39,label,language,gu,સ્વિત્ઝરલેન્ડ,,,
Q39,label,language,gv,Yn Elveeish,,,
Q39,label,language,hak,Shuì-sṳ,,,
Q39,label,language,haw,Kuikilani,,,
Q39,label,language,he,שווייץ,,,
Q39,label,language,hi,स्विट्ज़रलैण्ड,,,
Q39,label,language,hif,Switzerland,,,
Q39,label,language,hr,Švicarska,,,
Q39,label,language,ht,Swis,,,
Q39,label,language,hu,Svájc,,,
Q39,label,language,hy,Շվեյցարիա,,,
Q39,label,language,ia,Switza,,,
Q39,label,language,id,Swiss,,,
Q39,label,language,ie,Svissia,,,
Q39,label,language,ilo,Suisa,,,
Q39,label,language,io,Suisia,,,
Q39,label,language,is,Sviss,,,
Q39,label,language,jbo,elvetias,,,
Q39,label,language,jv,Swiss,,,
Q39,label,language,ka,შვეიცარია,,,
Q39,label,language,kaa,Shveytsariya,,,
Q39,label,language,kbd,Шуэцарэ,,,
Q39,label,language,kg,Suisi,,,
Q39,label,language,kk,Швейцария,,,
Q39,label,language,kl,Schweizi,,,
Q39,label,language,kn,ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್,,,
Q39,label,language,ko,스위스,,,
Q39,label,language,koi,Швейцарму,,,
Q39,label,language,krc,Швейцария,,,
Q39,label,language,ku,Swîsre,,,
Q39,label,language,kv,Швейцария,,,
Q39,label,language,kw,Swistir,,,
Q39,label,language,ky,Швейцария,,,
Q39,label,language,lad,Suisa,,,
Q39,label,language,lb,Schwäiz,,,
Q39,label,language,lez,Швейцария,,,
Q39,label,language,li,Zwitserland,,,
Q39,label,language,lij,Svissëa,,,
Q39,label,language,lmo,Svìzzera,,,
Q39,label,language,ln,Swisi,,,
Q39,label,language,lt,Šveicarija,,,
Q39,label,language,ltg,Šveicareja,,,
Q39,label,language,lv,Šveice,,,
Q39,label,language,mdf,Швайцарие,,,
Q39,label,language,mg,Soisa,,,
Q39,label,language,mhr,Швейцарий,,,
Q39,label,language,ml,സ്വിറ്റ്സർലാന്റ്,,,
Q39,label,language,mn,Швейцари,,,
Q39,label,language,mr,स्वित्झर्लंड,,,
Q39,label,language,ms,Switzerland,,,
Q39,label,language,mt,Żvizzera,,,
Q39,label,language,my,ဆွစ်ဇာလန်နိုင်ငံ,,,
Q39,label,language,na,Witsierand,,,
Q39,label,language,nah,Suiza,,,
Q39,label,language,nap,Sguizzera,,,
Q39,label,language,nds,Swiez,,,
Q39,label,language,ne,स्विजरल्याण्ड,,,
Q39,label,language,nn,Sveits,,,
Q39,label,language,nov,Suisia,,,
Q39,label,language,nrm,Suisse,,,
Q39,label,language,nv,Swis Bikéyah,,,
Q39,label,language,oc,Soïssa,,,
Q39,label,language,or,ସୁଇଜରଲ୍ୟାଣ୍ଡ,,,
Q39,label,language,os,Швейцари,,,
Q39,label,language,pa,ਸਵਿਟਜ਼ਰਲੈਂਡ,,,
Q39,label,language,pag,Switzerland,,,
Q39,label,language,pam,Suiza,,,
Q39,label,language,pap,Suisa,,,
Q39,label,language,pcd,Suisse,,,
Q39,label,language,pdc,Schweiz,,,
Q39,label,language,pfl,Schwaiz,,,
Q39,label,language,pih,Switsaland,,,
Q39,label,language,pms,Svìssera,,,
Q39,label,language,pnb,سویٹزرلینڈ,,,
Q39,label,language,pnt,Ελβετία,,,
Q39,label,language,ps,سويس,,,
Q39,label,language,qu,Suwisa,,,
Q39,label,language,rm,Svizra,,,
Q39,label,language,rmy,Elveciya,,,
Q39,label,language,ro,Elveția,,,
Q39,label,language,rue,Швайц,,,
Q39,label,language,rw,Ubusuwisi,,,
Q39,label,language,sa,स्विट्झर्ल्याण्ड्,,,
Q39,label,language,sah,Швейцария,,,
Q39,label,language,sc,Isvìtzera,,,
Q39,label,language,scn,Svìzzira,,,
Q39,label,language,sco,Swisserland,,,
Q39,label,language,se,Šveica,,,
Q39,label,language,sh,Švajcarska,,,
Q39,label,language,si,ස්විට්සර්ලන්තය,,,
Q39,label,language,sk,Švajčiarsko,,,
Q39,label,language,sl,Švica,,,
Q39,label,language,so,Iswisarland,,,
Q39,label,language,sq,Zvicra,,,
Q39,label,language,sr,Швајцарска,,,
Q39,label,language,ss,ISwizalandi,,,
Q39,label,language,stq,Swaits,,,
Q39,label,language,su,Suis,,,
Q39,label,language,sv,Schweiz,,,
Q39,label,language,szl,Szwajcaryjo,,,
Q39,label,language,ta,சுவிட்சர்லாந்து,,,
Q39,label,language,te,స్విట్జర్లాండ్,,,
Q39,label,language,tet,Suisa,,,
Q39,label,language,tg,Швейтсария,,,
Q39,label,language,th,ประเทศสวิตเซอร์แลนด์,,,
Q39,label,language,tk,Şweýsariýa,,,
