Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q17063,alias,language,en,Department of Mayotte,,,
Q17063,alias,language,en,yt,,,
Q17063,alias,language,el,Υπερπόντιο διαμέρισμα της Μαγιότ,,,
,,,,,,,
Q17063,description,language,fr,région et département d'outre mer français situé dans l'archipel des Comores,,,
Q17063,description,language,en,overseas department and region of France,,,
Q17063,description,language,af,Franse departement,,,
Q17063,description,language,ar,إقليم فرنسي,,,
Q17063,description,language,an,departemento frances,,,
Q17063,description,language,ast,departamentu de Francia,,,
Q17063,description,language,bar,Französisches Département,,,
Q17063,description,language,bg,Департамент на Франция,,,
Q17063,description,language,ca,departament de França,,,
Q17063,description,language,cs,francouzský departement,,,
Q17063,description,language,co,dipartimentu di a Francia,,,
Q17063,description,language,cy,département Ffrainc,,,
Q17063,description,language,da,fransk departement,,,
Q17063,description,language,de,französisches Département,,,
Q17063,description,language,eo,Franca departemento,,,
Q17063,description,language,es,departamento francés,,,
Q17063,description,language,et,Prantsusmaa departemang,,,
Q17063,description,language,fi,Ranskan departementti,,,
Q17063,description,language,frp,dèpartement francês,,,
Q17063,description,language,fy,Frânsk departemint,,,
Q17063,description,language,gl,departamento francés,,,
Q17063,description,language,hu,"sziget az Indiai-óceánban, Franciaország tengerentúli régiója",,,
Q17063,description,language,id,sebuah departemen Perancis,,,
Q17063,description,language,io,departmento di Francia,,,
Q17063,description,language,it,dipartimento d'oltremare della Francia,,,
Q17063,description,language,ja,フランスの県,,,
Q17063,description,language,jv,Departemen ing Prancis,,,
Q17063,description,language,ko,프랑스의 주,,,
Q17063,description,language,la,praefectura Franciae,,,
Q17063,description,language,kg,kizunga ya Fwalansa,,,
Q17063,description,language,lad,departamento franses,,,
Q17063,description,language,lb,franséischt Departement,,,
Q17063,description,language,lt,Prancūzijos departamentas,,,
Q17063,description,language,lv,Francijas departaments,,,
Q17063,description,language,lmo,dipartiment fransés,,,
Q17063,description,language,ms,jabatan di Perancis,,,
Q17063,description,language,nds,Bezirke vun Frankriek,,,
Q17063,description,language,nl,Frans departement,,,
Q17063,description,language,nn,franske departement,,,
Q17063,description,language,oc,departament francés,,,
Q17063,description,language,pam,Departamentu ning France,,,
Q17063,description,language,pl,francuski departament,,,
Q17063,description,language,pt,departamento da França,,,
Q17063,description,language,ro,departament Franței,,,
Q17063,description,language,ru,департамент Франции,,,
Q17063,description,language,sco,French depairtment,,,
Q17063,description,language,se,Frankriikka departemeantta,,,
Q17063,description,language,simple,French department,,,
Q17063,description,language,sl,departement vo Francúzsku,,,
Q17063,description,language,sv,franskt departement,,,
Q17063,description,language,sw,département ya Ufaransa,,,
Q17063,description,language,th,จังหวัดในประเทศฝรั่งเศส,,,
Q17063,description,language,vec,dipartimento fransexe,,,
Q17063,description,language,vi,tỉnh của Pháp,,,
Q17063,description,language,vls,Frans departement,,,
Q17063,description,language,vo,Ziläk in Fransän,,,
Q17063,description,language,zea,Frans departement,,,
Q17063,description,language,zh,法国省份,,,
Q17063,description,language,zh-hans,法国省份,,,
Q17063,description,language,zh-hant,法國省份,,,
Q17063,description,language,is,sýsla í Frakklandi,,,
Q17063,description,language,he,"מחוז מעבר לים של צרפת, אי",,,
Q17063,description,language,nb,fransk oversjøisk departement i Indiahavet,,,
Q17063,description,language,gsw,Département z Frànkrich,,,
Q17063,description,language,nan,Hoat-kok ê chi̍t khóan,,,
Q17063,description,language,el,υπερπόντιο διαμέρισμα της Γαλλίας στον Ινδικό Ωκεανό,,,
,,,,,,,
Q17063,label,language,fr,Mayotte,,,
Q17063,label,language,af,Mayotte,,,
Q17063,label,language,an,Mayotte,,,
Q17063,label,language,ar,مايوت,,,
Q17063,label,language,ast,Mayotte,,,
Q17063,label,language,az,Mayotta,,,
Q17063,label,language,be,Востраў Маёта,,,
Q17063,label,language,bg,Майот,,,
Q17063,label,language,bn,মায়োত,,,
Q17063,label,language,bpy,মায়োটি,,,
Q17063,label,language,br,Mayotte,,,
Q17063,label,language,bs,Mayotte,,,
Q17063,label,language,ca,Mayotte,,,
Q17063,label,language,cs,Mayotte,,,
Q17063,label,language,cy,Mayotte,,,
Q17063,label,language,da,Mayotte,,,
Q17063,label,language,de,Mayotte,,,
Q17063,label,language,el,Μαγιότ,,,
Q17063,label,language,en,Mayotte,,,
Q17063,label,language,eo,Majoto,,,
Q17063,label,language,es,Mayotte,,,
Q17063,label,language,et,Mayotte,,,
Q17063,label,language,eu,Mayotte,,,
Q17063,label,language,fa,مایوت,,,
Q17063,label,language,fi,Mayotte,,,
Q17063,label,language,fy,Majot,,,
Q17063,label,language,gag,Mayotte,,,
Q17063,label,language,gl,Mayotte,,,
Q17063,label,language,he,מיוט,,,
Q17063,label,language,hi,मेयोट,,,
Q17063,label,language,hr,Mayotte,,,
Q17063,label,language,hu,Mayotte,,,
Q17063,label,language,id,Mayotte,,,
Q17063,label,language,ie,Mayotte,,,
Q17063,label,language,io,Mayotte,,,
Q17063,label,language,is,Mayotte,,,
Q17063,label,language,it,Mayotte,,,
Q17063,label,language,ja,マヨット,,,
Q17063,label,language,jv,Mayotte,,,
Q17063,label,language,ka,მაიოტა,,,
Q17063,label,language,kk,Майотт,,,
Q17063,label,language,ko,마요트,,,
Q17063,label,language,kw,Mayotte,,,
Q17063,label,language,la,Maiotta,,,
Q17063,label,language,lad,Mayotte,,,
Q17063,label,language,lb,Departement Mayotte,,,
Q17063,label,language,lij,Majotte,,,
Q17063,label,language,lt,Majotas,,,
Q17063,label,language,lv,Majota,,,
Q17063,label,language,mg,Mayotte,,,
Q17063,label,language,mk,Мајот,,,
Q17063,label,language,mr,मायोत,,,
Q17063,label,language,ms,Mayotte,,,
Q17063,label,language,nds,Mayotte,,,
Q17063,label,language,nl,Mayotte,,,
Q17063,label,language,nn,Mayotte,,,
Q17063,label,language,nov,Mayot,,,
Q17063,label,language,nso,Mayotte,,,
Q17063,label,language,oc,Maiòta,,,
Q17063,label,language,pl,Majotta,,,
Q17063,label,language,pms,Mayotte,,,
Q17063,label,language,pnb,مایوٹ,,,
Q17063,label,language,pt,Mayotte,,,
Q17063,label,language,ro,Mayotte,,,
Q17063,label,language,ru,Майотта,,,
Q17063,label,language,rw,Mayoti,,,
Q17063,label,language,scn,Mayotte,,,
Q17063,label,language,sco,Mayotte,,,
Q17063,label,language,se,Mayotte,,,
Q17063,label,language,sh,Mayotte,,,
Q17063,label,language,sk,Mayotte,,,
Q17063,label,language,sl,Mayotte,,,
Q17063,label,language,so,Mayotte,,,
Q17063,label,language,sr,Мајот,,,
Q17063,label,language,su,Mayotte,,,
Q17063,label,language,sv,Mayotte,,,
Q17063,label,language,sw,Mayotte,,,
Q17063,label,language,ta,மயோட்டே,,,
Q17063,label,language,th,มายอต,,,
Q17063,label,language,tl,Mayotte,,,
Q17063,label,language,tr,Mayotte,,,
Q17063,label,language,uk,Майотта,,,
Q17063,label,language,ur,مایوٹ,,,
Q17063,label,language,vi,Mayotte,,,
Q17063,label,language,war,Mayotte,,,
Q17063,label,language,wo,Mayoot,,,
Q17063,label,language,yo,Mayotte,,,
Q17063,label,language,zh,马约特,,,
Q17063,label,language,zu,IMayotte,,,
Q17063,label,language,en-ca,Mayotte,,,
Q17063,label,language,en-gb,Mayotte,,,
Q17063,label,language,zh-cn,马约特,,,
Q17063,label,language,zh-hans,马约特,,,
Q17063,label,language,zh-hant,马约特,,,
Q17063,label,language,gsw,Mayotte,,,
Q17063,label,language,pt-br,Mayotte,,,
Q17063,label,language,frr,Mayotte,,,
Q17063,label,language,pa,ਮੈਯੋਤ,,,
Q17063,label,language,nb,Mayotte,,,
Q17063,label,language,zea,Mayotte,,,
Q17063,label,language,os,Майоттæ,,,
Q17063,label,language,ml,മായോട്ടെ,,,
Q17063,label,language,hy,Մայոտ,,,
Q17063,label,language,kg,Mayota,,,
Q17063,label,language,nan,Mayotte,,,
Q17063,label,language,be-tarask,Маёта,,,
Q17063,label,language,yue,馬約特,,,
Q17063,label,language,ce,Майотта,,,
Q17063,label,language,arz,مايوت,,,
Q17063,label,language,gd,Mayotte,,,
Q17063,label,language,li,Mayotte,,,
,,,,,,,
Q17063,claim,P1151,wikibase-item,15633013,normal,,
Q17063,claim,P1036,string,2--6945,normal,,
Q17063,claim,P361,wikibase-item,634740,normal,,
Q17063,claim,P17,wikibase-item,142,normal,,
Q17063,claim,P31,wikibase-item,23442,normal,,
Q17063,claim,P31,wikibase-item,202216,normal,,
Q17063,claim,P31,wikibase-item,36784,normal,,
Q17063,claim,P36,wikibase-item,132676,normal,,
Q17063,claim,P297,string,YT,normal,,
Q17063,claim,P298,string,MYT,normal,,
Q17063,claim,P299,string,175,normal,,
Q17063,claim,P300,string,FR-YT,normal,,
Q17063,claim,P373,string,Mayotte,normal,,
Q17063,claim,P41,commonsMedia,Flag of Mayotte (local).svg,normal,,
Q17063,claim,P94,commonsMedia,Coat of Arms of Mayotte.svg,normal,,
Q17063,claim,P421,wikibase-item,6760,normal,,
Q17063,claim,P242,commonsMedia,Mayotte-CIA WFB Map.png,normal,,
Q17063,claim,P242,commonsMedia,LocationMayotte.png,normal,,
Q17063,claim,P473,string,262,normal,,
Q17063,claim,P78,wikibase-item,132639,normal,,
Q17063,claim,P30,wikibase-item,15,normal,,
Q17063,claim,P625,latitude,-12.843055555556,normal,,
Q17063,claim,P625,longitude,45.138333333333,normal,,
Q17063,claim,P131,wikibase-item,142,normal,,
Q17063,claim,P150,wikibase-item,2936643,normal,,
Q17063,claim,P150,wikibase-item,2936664,normal,,
Q17063,claim,P150,wikibase-item,2936666,normal,,
Q17063,claim,P150,wikibase-item,2936679,normal,,
Q17063,claim,P150,wikibase-item,2936691,normal,,
Q17063,claim,P150,wikibase-item,2936692,normal,,
Q17063,claim,P150,wikibase-item,2936707,normal,,
Q17063,claim,P150,wikibase-item,2936712,normal,,
Q17063,claim,P150,wikibase-item,2936728,normal,,
Q17063,claim,P150,wikibase-item,2936730,normal,,
Q17063,claim,P150,wikibase-item,2936751,normal,,
Q17063,claim,P150,wikibase-item,2936752,normal,,
Q17063,claim,P150,wikibase-item,2936750,normal,,
Q17063,claim,P150,wikibase-item,2936771,normal,,
Q17063,claim,P150,wikibase-item,2936748,normal,,
Q17063,claim,P150,wikibase-item,2936777,normal,,
Q17063,claim,P150,wikibase-item,2936778,normal,,
Q17063,claim,P150,wikibase-item,2936794,normal,,
Q17063,claim,P150,wikibase-item,2936828,normal,,
Q17063,claim,P150,wikibase-item,132676,normal,,
Q17063,claim,P150,wikibase-item,427213,normal,,
Q17063,claim,P150,wikibase-item,691779,normal,,
Q17063,claim,P150,wikibase-item,745108,normal,,
Q17063,claim,P150,wikibase-item,770411,normal,,
Q17063,claim,P150,wikibase-item,846048,normal,,
Q17063,claim,P150,wikibase-item,955825,normal,,
Q17063,claim,P150,wikibase-item,1010634,normal,,
Q17063,claim,P150,wikibase-item,1920630,normal,,
Q17063,claim,P150,wikibase-item,2086991,normal,,
Q17063,claim,P150,wikibase-item,2087001,normal,,
Q17063,claim,P150,wikibase-item,2087010,normal,,
Q17063,claim,P150,wikibase-item,2087020,normal,,
Q17063,claim,P150,wikibase-item,2087041,normal,,
Q17063,claim,P150,wikibase-item,2087082,normal,,
Q17063,claim,P150,wikibase-item,2087092,normal,,
Q17063,claim,P150,wikibase-item,2087100,normal,,
Q17063,claim,P910,wikibase-item,7484164,normal,,
Q17063,claim,P948,commonsMedia,Mayotte banner.jpg,normal,,
Q17063,claim,P227,string,6106489-0,normal,,
Q17063,claim,P214,string,312738295,normal,,
Q17063,claim,P244,string,n81141395,normal,,
Q17063,claim,P998,string,Regional/Africa/Mayotte/,normal,,
