Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q191,alias,language,en,1,Republic of Estonia,,,
Q191,alias,language,en,2,Estland,,,
Q191,alias,language,en,3,Eesti,,,
Q191,alias,language,en,4,ee,,,
Q191,alias,language,fr,1,Esthonie,,,
Q191,alias,language,fr,2,République d’Estonie,,,
Q191,alias,language,de,1,Republik Estland,,,
Q191,alias,language,be-tarask,1,Эстонская Рэспубліка,,,
Q191,alias,language,nan,1,Estonia,,,
Q191,alias,language,roa-tara,1,Estonia,,,
Q191,alias,language,yue,1,愛莎尼亞,,,
Q191,alias,language,lzh,1,愛沙尼亞共和國,,,
Q191,alias,language,id,1,Republik Estonia,,,
Q191,alias,language,id,2,Eesti Vabariik,,,
Q191,alias,language,en-gb,1,Estland,,,
Q191,alias,language,ko,1,에스토니아 공화국,,,
Q191,alias,language,et,1,Eesti Vabariik,,,
Q191,alias,language,nb,1,Republikken Estland,,,
Q191,alias,language,fi,1,Eesti,,,
Q191,alias,language,fi,2,Viron tasavalta,,,
Q191,alias,language,pt-br,1,República da Estônia,,,
Q191,alias,language,pt,1,Eesti,,,
Q191,alias,language,pt,2,Eesti Vabariik,,,
Q191,alias,language,pt,3,República da Estónia,,,
Q191,alias,language,ru,1,Эстонская Республика,,,
Q191,alias,language,hu,1,Észt Köztársaság,,,
Q191,alias,language,es,1,República de Estonia,,,
Q191,alias,language,zh-hans,1,爱沙尼亚共和国,,,
Q191,alias,language,new,1,ईस्टोनिया,,,
Q191,alias,language,af,1,Republiek van Estland,,,
,,,,,,,,
Q191,description,language,en,,country in Europe,,,
Q191,description,language,de,,Staat in Nordeuropa,,,
Q191,description,language,it,,Stato dell'Unione Europea,,,
Q191,description,language,es,,país de Europa,,,
Q191,description,language,ru,,государство в Прибалтике,,,
Q191,description,language,fr,,pays d'Europe,,,
Q191,description,language,en-gb,,country in Eastern Europe,,,
Q191,description,language,fi,,valtio Itämeren itärannalla Pohjois-Euroopassa Suomenlahden eteläpuolella,,,
Q191,description,language,ko,,북유럽에 위치한 나라,,,
Q191,description,language,nb,,land i Europa,,,
Q191,description,language,ilo,,pagilian idiay Europa,,,
Q191,description,language,nl,,land in Europa,,,
Q191,description,language,he,,מדינה,,,
Q191,description,language,la,,civitas Europae,,,
Q191,description,language,pt-br,,país da Europa,,,
Q191,description,language,lv,,valsts Eiropā,,,
Q191,description,language,pt,,país europeu,,,
Q191,description,language,ja,,ヨーロッパ北東部に位置する国家,,,
Q191,description,language,sr,,држава у северној Европи,,,
Q191,description,language,sr-ec,,држава у северној Европи,,,
Q191,description,language,sr-el,,država u severnoj Evropi,,,
Q191,description,language,cs,,stát v severní Evropě,,,
Q191,description,language,zh-hans,,波罗的海沿岸国家,,,
Q191,description,language,uk,,держава у Північній Європі,,,
Q191,description,language,hu,,balti állam Észak-Európában,,,
Q191,description,language,id,,Negara di Eropa,,,
Q191,description,language,sv,,stat i Europa,,,
Q191,description,language,ne,,युरोपको देश,,,
Q191,description,language,eo,,lando en norda Eŭropo,,,
Q191,description,language,af,,land in Noordoos-Europa,,,
,,,,,,,,
Q191,label,language,en,,Estonia,,,
Q191,label,language,fr,,Estonie,,,
Q191,label,language,de,,Estland,,,
Q191,label,language,it,,Estonia,,,
Q191,label,language,es,,Estonia,,,
Q191,label,language,ru,,Эстония,,,
Q191,label,language,be-tarask,,Эстонія,,,
Q191,label,language,sgs,,Estėjė,,,
Q191,label,language,rup,,Estonia,,,
Q191,label,language,nan,,Eesti,,,
Q191,label,language,vro,,Eesti,,,
