Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q916,alias,language,be-tarask,1,Анґола,,,
Q916,alias,language,nan,1,An-gò-là,,,
Q916,alias,language,nan,2,Eⁿ-go·-lē,,,
Q916,alias,language,es,1,República de Angola,,,
Q916,alias,language,en,1,Republic of Angola,,,
Q916,alias,language,en,2,ao,,,
Q916,alias,language,nb,1,Republikken Angola,,,
Q916,alias,language,fi,1,Angolan tasavalta,,,
Q916,alias,language,hu,1,Angolai Köztársaság,,,
Q916,alias,language,el,1,Δημοκρατία της Ανγκόλας,,,
Q916,alias,language,ru,1,Республика Ангола,,,
,,,,,,,,
Q916,description,language,de,,Staat im südlichen Afrika,,,
Q916,description,language,es,,país de África,,,
Q916,description,language,fr,,pays d'Afrique du sud-ouest,,,
Q916,description,language,it,,stato dell'Africa centrale,,,
Q916,description,language,en,,country in Africa,,,
Q916,description,language,ru,,страна в Африке,,,
Q916,description,language,ilo,,pagilian idiay Aprika,,,
Q916,description,language,nb,,land i Sørvest-Afrika,,,
Q916,description,language,fi,,valtio eteläisessä Afrikassa,,,
Q916,description,language,sr,,држава у јужној Африци,,,
Q916,description,language,sr-ec,,држава у јужној Африци,,,
Q916,description,language,sr-el,,država u južnoj Africi,,,
Q916,description,language,he,,מדינה באפריקה,,,
Q916,description,language,zh-hans,,位于非洲西南部的国家,,,
Q916,description,language,hu,,állam Délnyugat-Afrikában,,,
Q916,description,language,el,,χώρα της νοτιοκεντρικής Αφρικής,,,
Q916,description,language,nl,,land in Afrika,,,
Q916,description,language,sv,,stat i södra Afrika,,,
,,,,,,,,
Q916,label,language,en,,Angola,,,
Q916,label,language,fr,,Angola,,,
Q916,label,language,ru,,Ангола,,,
Q916,label,language,de,,Angola,,,
Q916,label,language,es,,Angola,,,
Q916,label,language,be-tarask,,Ангола,,,
Q916,label,language,nan,,Angola,,,
Q916,label,language,en-ca,,Angola,,,
Q916,label,language,en-gb,,Angola,,,
Q916,label,language,ar,,أنجولا,,,
Q916,label,language,nl,,Angola,,,
Q916,label,language,it,,Angola,,,
Q916,label,language,pt,,Angola,,,
Q916,label,language,pl,,Angola,,,
Q916,label,language,sw,,Angola,,,
Q916,label,language,af,,Angola,,,
Q916,label,language,am,,አንጎላ,,,
Q916,label,language,an,,Angola,,,
Q916,label,language,ang,,Angola,,,
Q916,label,language,arz,,انجولا,,,
Q916,label,language,ast,,Angola,,,
Q916,label,language,az,,Anqola,,,
Q916,label,language,bcl,,Angola,,,
Q916,label,language,be,,Ангола,,,
Q916,label,language,bg,,Ангола,,,
Q916,label,language,bjn,,Angola,,,
Q916,label,language,bm,,Angola,,,
Q916,label,language,bn,,অ্যাঙ্গোলা,,,
Q916,label,language,bo,,ཨང་གོ་ལ།,,,
Q916,label,language,bpy,,এঙ্গোলা,,,
Q916,label,language,br,,Angola,,,
Q916,label,language,bs,,Angola,,,
Q916,label,language,ca,,Angola,,,
Q916,label,language,ce,,Ангола,,,
Q916,label,language,ceb,,Angola,,,
Q916,label,language,ckb,,ئەنگۆلا,,,
Q916,label,language,co,,Angola,,,
Q916,label,language,cs,,Angola,,,
Q916,label,language,cv,,Ангола,,,
Q916,label,language,cy,,Angola,,,
Q916,label,language,da,,Angola,,,
Q916,label,language,diq,,Angola,,,
Q916,label,language,dsb,,Angola,,,
Q916,label,language,dv,,އެންގޯލާ,,,
Q916,label,language,ee,,Angola,,,
Q916,label,language,el,,Ανγκόλα,,,
Q916,label,language,eo,,Angolo,,,
Q916,label,language,et,,Angola,,,
Q916,label,language,eu,,Angola,,,
Q916,label,language,ext,,Angola,,,
Q916,label,language,fa,,آنگولا,,,
Q916,label,language,fi,,Angola,,,
Q916,label,language,fo,,Angola,,,
Q916,label,language,frp,,Angola,,,
Q916,label,language,fy,,Angoala,,,
Q916,label,language,ga,,Angóla,,,
Q916,label,language,gag,,Angola,,,
Q916,label,language,gd,,Angola,,,
Q916,label,language,gl,,Angola,,,
Q916,label,language,gn,,Angola,,,
Q916,label,language,gv,,Angoley,,,
Q916,label,language,ha,,Angola,,,
Q916,label,language,hak,,Ôn-kô-lâ,,,
Q916,label,language,he,,אנגולה,,,
Q916,label,language,hi,,अंगोला,,,
Q916,label,language,hif,,Angola,,,
Q916,label,language,hr,,Angola,,,
Q916,label,language,hsb,,Angola,,,
Q916,label,language,ht,,Angola,,,
Q916,label,language,hu,,Angola,,,
Q916,label,language,hy,,Անգոլա,,,
Q916,label,language,ia,,Angola,,,
Q916,label,language,id,,Angola,,,
Q916,label,language,ie,,Angola,,,
Q916,label,language,ig,,Angola,,,
Q916,label,language,ilo,,Angola,,,
Q916,label,language,io,,Angola,,,
Q916,label,language,is,,Angóla,,,
Q916,label,language,ja,,アンゴラ,,,
Q916,label,language,jbo,,angol,,,
Q916,label,language,jv,,Angola,,,
Q916,label,language,ka,,ანგოლა,,,
Q916,label,language,kaa,,Angola,,,
Q916,label,language,kg,,Ngola,,,
Q916,label,language,ki,,Angola,,,
Q916,label,language,kk,,Ангола,,,
Q916,label,language,kn,,ಅಂಗೋಲ,,,
Q916,label,language,ko,,앙골라,,,
Q916,label,language,ksh,,Angola,,,
Q916,label,language,ku,,Angola,,,
Q916,label,language,kw,,Angola,,,
Q916,label,language,la,,Angolia,,,
Q916,label,language,lb,,Angola,,,
Q916,label,language,li,,Angola,,,
Q916,label,language,lij,,Angòla,,,
Q916,label,language,lmo,,Angola,,,
Q916,label,language,ln,,Angola,,,
Q916,label,language,lt,,Angola,,,
Q916,label,language,ltg,,Angola,,,
Q916,label,language,lv,,Angola,,,
Q916,label,language,mg,,Angola,,,
Q916,label,language,mi,,Anakora,,,
Q916,label,language,mk,,Ангола,,,
Q916,label,language,ml,,അംഗോള,,,
Q916,label,language,mn,,Ангол,,,
Q916,label,language,mr,,अँगोला,,,
Q916,label,language,mrj,,Ангола,,,
Q916,label,language,ms,,Angola,,,
Q916,label,language,mt,,Angola,,,
Q916,label,language,mwl,,Angola,,,
Q916,label,language,my,,အင်ဂိုလာနိုင်ငံ,,,
Q916,label,language,mzn,,آنگولا,,,
Q916,label,language,na,,Angora,,,
Q916,label,language,nah,,Angola,,,
Q916,label,language,nds,,Angola,,,
Q916,label,language,nds-nl,,Angola,,,
Q916,label,language,ne,,एङ्गोला,,,
Q916,label,language,new,,एङ्गोला,,,
Q916,label,language,nn,,Angola,,,
Q916,label,language,nov,,Angola,,,
Q916,label,language,nso,,Angola,,,
Q916,label,language,nv,,Angóola,,,
Q916,label,language,oc,,Angòla,,,
Q916,label,language,or,,ଆଙ୍ଗୋଲା,,,
Q916,label,language,os,,Анголæ,,,
Q916,label,language,pa,,ਅੰਗੋਲਾ,,,
Q916,label,language,pam,,Angola,,,
Q916,label,language,pap,,Angola,,,
Q916,label,language,pdc,,Angola,,,
Q916,label,language,pih,,Angola,,,
Q916,label,language,pms,,Angòla,,,
Q916,label,language,pnb,,انگولا,,,
Q916,label,language,ps,,آنګولا,,,
Q916,label,language,qu,,Angula,,,
Q916,label,language,rm,,Angola,,,
Q916,label,language,ro,,Angola,,,
