"ISO Country Code","English Country Name","French Country Name","Date of Membership"
"BCT","British Caribbean Territories","Territoires britanniques des Caraïbes","1953-09-24 00:00:00"
"CUW","Curaçao and Sint Maarten","Curaçao et St Martin","1951-09-12 00:00:00"
"PYF","French Polynesia","Polynésie française","1949-12-05 00:00:00"
"HKG","Hong Kong, China","Hong Kong, Chine","1948-12-14 00:00:00"
"MAC","Macao, China","Macao, Chine","1996-01-24 00:00:00"
"NCL","New Caledonia","Nouvelle-Calédonie","1949-12-05 00:00:00"
